ENSG1	ENSG2	Name1	Name2	Cofrac_PPI_score	In_Corum	Dm	Xl	Mm	Hs	Dd	Sp	Ce	Sc	Nv
ENSG00000147677	ENSG00000149100	EIF3H	EIF3M	1	1	FBgn0022023--FBgn0033902		ENSMUSG00000022312--ENSMUSG00000027170	ENSG00000147677--ENSG00000149100	DDB_G0281153--DDB_G0287005	SPU_023965--SPU_022386	C41D11.2--K08F11.3		jgi|Nemve1|168210|estExt_gwp.C_1010083--jgi|Nemve1|192238|estExt_GenewiseH_1.C_2320090
ENSG00000108604	ENSG00000049618	SMARCD2	ARID1B	1	1	FBgn0025463--FBgn0261885		ENSMUSG00000078619--ENSMUSG00000069729	ENSG00000108604--ENSG00000049618					
ENSG00000115073	ENSG00000175203	ACTR1B	DCTN2	1	0	FBgn0011745--FBgn0021825		ENSMUSG00000037351--ENSMUSG00000025410	ENSG00000115073--ENSG00000175203		SPU_001366--SPU_018500			jgi|Nemve1|159077|estExt_gwp.C_60216--jgi|Nemve1|242304|estExt_fgenesh1_pg.C_610043
ENSG00000159479	ENSG00000180182	MED8	MED14	1	1	FBgn0034503--FBgn0035145			ENSG00000159479--ENSG00000180182					
ENSG00000065427	ENSG00000196305	KARS	IARS	1	1	FBgn0027084--FBgn0027086	XB-GENE-943473--XB-GENE-1001590	ENSMUSG00000031948--ENSMUSG00000037851	ENSG00000065427--ENSG00000196305	DDB_G0281437--DDB_G0278293		T02G5.9--R11A8.6		
ENSG00000127616	ENSG00000133884	SMARCA4	DPF2	1	1	FBgn0000212--FBgn0033015		ENSMUSG00000032187--ENSMUSG00000024826	ENSG00000127616--ENSG00000133884					
ENSG00000095261	ENSG00000110801	PSMD5	PSMD9	1	1	FBgn0030457--FBgn0038166	XB-GENE-866095--XB-GENE-5727812					F35G12.12--C44B7.1		
ENSG00000115484	ENSG00000156261	CCT4	CCT8	1	1	FBgn0032444--FBgn0033342	XB-GENE-974489--AAH97574 XB-GENE-974489--XB-GENE-974323	ENSMUSG00000007739--ENSMUSG00000025613	ENSG00000115484--ENSG00000156261		SPU_028735--SPU_006047	K01C8.10--Y55F3AR.3	YDL143W--YJL008C	jgi|Nemve1|176357|estExt_gwp.C_7080008--jgi|Nemve1|244189|estExt_fgenesh1_pg.C_1120053
ENSG00000100325	ENSG00000112249	ASCC2	ASCC3	1	1	FBgn0024973--FBgn0038344			ENSG00000100325--ENSG00000112249					
ENSG00000115540	ENSG00000196792	MOB4	STRN3	1	0	FBgn0259483--FBgn0044323			ENSG00000115540--ENSG00000196792			C30A5.3--K07C5.8		
ENSG00000119718	ENSG00000111361	EIF2B2	EIF2B1	1	0	FBgn0024996--FBgn0039726		ENSMUSG00000004788--ENSMUSG00000029388	ENSG00000119718--ENSG00000111361	DDB_G0291271--DDB_G0288961		Y47H9C.7--ZK1098.4		jgi|Nemve1|240614|estExt_fgenesh1_pg.C_320034--jgi|Nemve1|246207|estExt_fgenesh1_pg.C_2030033
ENSG00000154611	ENSG00000108294	PSMA8	PSMB3	1	0	FBgn0004066--FBgn0026380			ENSG00000154611--ENSG00000108294	DDB_G0272831--DDB_G0269772		C36B1.4--Y38A8.2	YOL038W--YER094C	jgi|Nemve1|179894|estExt_GenewiseH_1.C_140343--jgi|Nemve1|99390|e_gw.53.170.1
ENSG00000139675	ENSG00000169813	HNRNPA1L2	HNRNPF	1	0	FBgn0004237--FBgn0259139 FBgn0001215--FBgn0259139			ENSG00000139675--ENSG00000169813					
ENSG00000131966	ENSG00000132912	ACTR10	DCTN4	1	0				ENSG00000131966--ENSG00000132912		SPU_010800--SPU_006163			
ENSG00000020922	ENSG00000113522	MRE11A	RAD50	1	1	FBgn0020270--FBgn0034728	XB-GENE-957959--XB-GENE-1007573	ENSMUSG00000031928--ENSMUSG00000020380	ENSG00000020922--ENSG00000113522		SPU_028109--SPU_025732			
ENSG00000008018	ENSG00000100804	PSMB1	PSMB5	1	1	FBgn0002284--FBgn0029134	XB-GENE-970609--XB-GENE-975052	ENSMUSG00000014769--ENSMUSG00000022193	ENSG00000008018--ENSG00000100804	DDB_G0272969--DDB_G0293784		C02F5.9--K05C4.1	YBL041W--YPR103W	jgi|Nemve1|191787|estExt_GenewiseH_1.C_2170113--jgi|Nemve1|173323|estExt_gwp.C_2450065
ENSG00000104408	ENSG00000184110	EIF3E	EIF3C	1	1	FBgn0025582--FBgn0034258		ENSMUSG00000022336--ENSMUSG00000030738	ENSG00000104408--ENSG00000184110	DDB_G0293052--DDB_G0279109	SPU_009248--SPU_026863	B0511.10--T23D8.4		jgi|Nemve1|163572|estExt_gwp.C_410224--jgi|Nemve1|20376|gw.65.33.1
ENSG00000132912	ENSG00000175203	DCTN4	DCTN2	1	0				ENSG00000132912--ENSG00000175203		SPU_006163--SPU_018500	C26B2.1--C28H8.12		
ENSG00000101843	ENSG00000175575	PSMD10	PAAF1	1	0		AAI41732--XB-GENE-5904792 XB-GENE-6253009--XB-GENE-5904792		ENSG00000101843--ENSG00000175575		SPU_021647--SPU_004857			
ENSG00000137807	ENSG00000161800	KIF23	RACGAP1	1	1	FBgn0011692--FBgn0086356			ENSG00000137807--ENSG00000161800		SPU_019165--SPU_005298			
ENSG00000130772	ENSG00000175221	MED18	MED16	1	1	FBgn0026873--FBgn0034707			ENSG00000130772--ENSG00000175221					
ENSG00000125753	ENSG00000196405	VASP	EVL	1	0			ENSMUSG00000030403--ENSMUSG00000021262	ENSG00000125753--ENSG00000196405					
ENSG00000181789	ENSG00000122218	COPG1	COPA	1	0	FBgn0028968--FBgn0025725	XB-GENE-920005--XB-GENE-989765		ENSG00000181789--ENSG00000122218		SPU_019286--SPU_010747	T14G10.5--Y71F9AL.17		jgi|Nemve1|186367|estExt_GenewiseH_1.C_830052--jgi|Nemve1|187173|estExt_GenewiseH_1.C_960094
ENSG00000139613	ENSG00000108604	SMARCC2	SMARCD2	1	1	FBgn0002783--FBgn0025463		ENSMUSG00000025369--ENSMUSG00000078619	ENSG00000139613--ENSG00000108604		SPU_000801--SPU_003233	Y113G7B.23--ZK1128.5		
ENSG00000100519	ENSG00000175166	PSMC6	PSMD2	1	1	FBgn0028685--FBgn0028695	AAH45087--XB-GENE-972403	ENSMUSG00000021832--ENSMUSG00000006998	ENSG00000100519--ENSG00000175166	DDB_G0284517--DDB_G0293752		F23F1.8--T22D1.9		jgi|Nemve1|215693|fgenesh1_pg.scaffold_235000015--jgi|Nemve1|10204|gw.292.16.1
ENSG00000148606	ENSG00000168495	POLR3A	POLR3D	1	0	FBgn0030687--FBgn0036775		ENSMUSG00000025280--ENSMUSG00000000776	ENSG00000148606--ENSG00000168495					
ENSG00000083642	ENSG00000118007	PDS5B	STAG1	1	0			ENSMUSG00000034021--ENSMUSG00000037286	ENSG00000083642--ENSG00000118007					
ENSG00000004897	ENSG00000166295	CDC27	ANAPC16	1	0			ENSMUSG00000020687--ENSMUSG00000020107	ENSG00000004897--ENSG00000166295					
ENSG00000159479	ENSG00000008838	MED8	MED24	1	1	FBgn0034503--FBgn0035851			ENSG00000159479--ENSG00000008838					
ENSG00000215021	ENSG00000167085	PHB2	PHB	1	0		XB-GENE-5844904--XB-GENE-977676	ENSMUSG00000004264--ENSMUSG00000038845	ENSG00000215021--ENSG00000167085			T24H7.1--Y37E3.9		
ENSG00000063322	ENSG00000125686	MED29	MED1	1	1	FBgn0001276--FBgn0037109			ENSG00000063322--ENSG00000125686					
ENSG00000132141	ENSG00000166226	CCT6B	CCT2	1	0	FBgn0027329--FBgn0030086		ENSMUSG00000020698--ENSMUSG00000034024	ENSG00000132141--ENSG00000166226	DDB_G0277493--DDB_G0291358		F01F1.8--T21B10.7		jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|124119|e_gw.206.22.1 jgi|Nemve1|160314|estExt_gwp.C_130126--jgi|Nemve1|191440|estExt_GenewiseH_1.C_2060055
ENSG00000126067	ENSG00000108294	PSMB2	PSMB3	1	1	FBgn0032596--FBgn0026380	XB-GENE-946107--XB-GENE-1008330	ENSMUSG00000028837--ENSMUSG00000069744	ENSG00000126067--ENSG00000108294	DDB_G0269472--DDB_G0269772		T20F5.2--Y38A8.2	YER012W--YER094C	jgi|Nemve1|193516|estExt_GenewiseH_1.C_2970038--jgi|Nemve1|99390|e_gw.53.170.1
ENSG00000105618	ENSG00000144028	PRPF31	SNRNP200	1	1	FBgn0036487--FBgn0036548		ENSMUSG00000008373--ENSMUSG00000003660	ENSG00000105618--ENSG00000144028		SPU_016793--SPU_003407			
ENSG00000159352	ENSG00000185627	PSMD4	PSMD13	1	1	FBgn0015283--FBgn0028691		ENSMUSG00000005625--ENSMUSG00000025487	ENSG00000159352--ENSG00000185627	DDB_G0275775--DDB_G0285105		B0205.3--T06D8.8		
ENSG00000144834	ENSG00000158710	TAGLN3	TAGLN2	1	0	FBgn0035499--FBgn0035499		ENSMUSG00000022658--ENSMUSG00000026547	ENSG00000144834--ENSG00000158710			F43G9.9--F43G9.9 D1069.2--D1069.2		
ENSG00000131100	ENSG00000147416	ATP6V1E1	ATP6V1B2	1	0	FBgn0015324--FBgn0005671	XB-GENE-6255807--XB-GENE-941738	ENSMUSG00000019210--ENSMUSG00000006273	ENSG00000131100--ENSG00000147416	DDB_G0275701--DDB_G0277401	SPU_009588--SPU_016414	C17H12.14--Y110A7A.12 C17H12.14--F20B6.2		jgi|Nemve1|237075|estExt_fgenesh1_kg.C_1050003--jgi|Nemve1|99968|e_gw.55.94.1
ENSG00000100129	ENSG00000178982	EIF3L	EIF3K	1	1	FBgn0036258--FBgn0034654	XB-GENE-493737--XB-GENE-992848	ENSMUSG00000033047--ENSMUSG00000053565	ENSG00000100129--ENSG00000178982	DDB_G0272076--DDB_G0291404	SPU_021449--SPU_010303	C17G10.9--T16G1.11		
ENSG00000132383	ENSG00000106399	RPA1	RPA3	1	1	FBgn0010173--FBgn0030322	XB-GENE-945055--XB-GENE-991992	ENSMUSG00000000751--ENSMUSG00000012483	ENSG00000132383--ENSG00000106399					jgi|Nemve1|171280|estExt_gwp.C_1720089--jgi|Nemve1|236362|estExt_fgenesh1_kg.C_50019
ENSG00000135624	ENSG00000166226	CCT7	CCT2	1	1	FBgn0037632--FBgn0030086	AAH42312--XB-GENE-1006541 XB-GENE-988126--XB-GENE-1006541	ENSMUSG00000030007--ENSMUSG00000034024	ENSG00000135624--ENSG00000166226	DDB_G0291225--DDB_G0291358		T10B5.5--T21B10.7		jgi|Nemve1|238513|estExt_fgenesh1_pg.C_60092--jgi|Nemve1|191440|estExt_GenewiseH_1.C_2060055 jgi|Nemve1|238513|estExt_fgenesh1_pg.C_60092--jgi|Nemve1|124119|e_gw.206.22.1
