source	target	__relationship_score	__directed	__edge_source	__reverse_directed	interaction
SDC4	SDCBP	3.044522437723423	false	INDRA + NCI-PID	true	interacts with
SDC4	TFPI	1.791759469228055	false	INDRA + NCI-PID	false	interacts with
SDC4	THBS1	1.0986122886681098	false	INDRA	false	interacts with
SDC4	TNC	1.0986122886681098	false	INDRA + NCI-PID	false	interacts with
SDC4	SDC1	2.9444389791664403	true	INDRA	true	interacts with
SDC4	SPP1	3.091042453358316	true	INDRA	false	interacts with
SDC4	THY1	2.9444389791664403	false	INDRA + NCI-PID	true	interacts with
SDC4	RUNX2	1.0986122886681098	true	INDRA	false	interacts with
SDC4	SDC2	2.833213344056216	true	INDRA	true	interacts with
SDC4	CDH1	1.0986122886681098	false	INDRA	true	interacts with
SDC4	FGF1	0.6931471805599453	false	INDRA	false	interacts with
SDC4	SRC	3.044522437723423	false	INDRA	true	interacts with
ADAM12	ITGB1	1.791759469228055	true	INDRA + NCI-PID	false	interacts with
ADAM12	DLL1	1.6094379124341003	false	INDRA + NCI-PID	true	interacts with
ADAM12	NOTCH1	1.6094379124341003	true	INDRA	false	interacts with
ADAM12	MYC	0.6931471805599453	false	INDRA	true	interacts with
ADAM12	SRC	2.5649493574615367	true	INDRA	false	interacts with
ADAM12	ITGA9	0.0	false	INDRA + NCI-PID	false	interacts with
CCL5	MMP9	3.4965075614664802	true	INDRA	true	interacts with
CCL5	CXCR4	2.4849066497880004	false	INDRA	false	interacts with
CCL5	CXCL12	2.4849066497880004	true	INDRA	true	interacts with
CCL5	RAC1	1.0986122886681098	true	INDRA	false	interacts with
CCL5	PRKCA	1.0986122886681098	true	INDRA	false	interacts with
CCL5	PTK2	2.5649493574615367	true	INDRA	true	interacts with
CCL5	PRKCD	1.0986122886681098	true	INDRA	false	interacts with
CCL5	F2	1.0986122886681098	false	INDRA	true	interacts with
CCL5	MAPK1	1.791759469228055	true	INDRA	true	interacts with
CCL5	MAPK3	1.6094379124341003	true	INDRA	true	interacts with
CCL5	SDC1	2.1972245773362196	false	INDRA + NCI-PID	true	interacts with
CCL5	TGFB1	2.833213344056216	false	INDRA	true	interacts with
CCL5	MMP1	2.6390573296152584	true	INDRA	false	interacts with
CCL5	HGF	2.833213344056216	false	INDRA	true	interacts with
CCL5	MAX	0.0	true	INDRA + NCI-PID	false	interacts with
CCL5	MYC	1.6094379124341003	true	INDRA + NCI-PID	true	interacts with
CCL5	BCL2	0.6931471805599453	false	INDRA	true	interacts with
CCL5	ZBTB17	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
CCL5	CDKN1A	1.0986122886681098	true	INDRA	false	interacts with
CCL5	ERBB2	0.6931471805599453	false	INDRA	true	interacts with
CCL5	WNT5A	1.0986122886681098	false	INDRA	true	interacts with
CXCL12	MMP9	4.770684624465665	true	INDRA	true	interacts with
CXCL12	PLG	1.791759469228055	false	INDRA	true	interacts with
CXCL12	FN1	3.295836866004329	true	INDRA	true	interacts with
CXCL12	FGF2	3.332204510175204	true	INDRA	true	interacts with
CXCL12	RHOA	4.418840607796598	true	INDRA	false	interacts with
CXCL12	RAC1	4.04305126783455	true	INDRA + NCI-PID	false	interacts with
CXCL12	PTK2	4.3694478524670215	true	INDRA + NCI-PID	false	interacts with
CXCL12	F2	2.3978952727983707	true	INDRA	true	interacts with
CXCL12	MDK	2.0794415416798357	true	INDRA	false	interacts with
CXCL12	ITGB1	1.0986122886681098	true	INDRA	false	interacts with
CXCL12	ITGA5	1.791759469228055	true	INDRA	false	interacts with
CXCL12	CXCR4	8.732627099660395	true	INDRA	true	interacts with
CXCL12	AKT1	3.7612001156935624	true	INDRA	true	interacts with
CXCL12	FOXO1	0.6931471805599453	false	INDRA	true	interacts with
CXCL12	MTOR	3.6888794541139363	true	INDRA	true	interacts with
CXCL12	PDPK1	1.3862943611198906	false	INDRA	true	interacts with
CXCL12	ARRB2	3.1354942159291497	true	INDRA + NCI-PID	true	interacts with
CXCL12	SRC	4.0943445622221	true	INDRA	true	interacts with
CXCL12	CD4	3.7376696182833684	true	INDRA	true	interacts with
CXCL12	LIMK1	2.302585092994046	true	INDRA	true	interacts with
CXCL12	RGS1	1.791759469228055	false	INDRA	true	interacts with
CXCL12	PTK2B	2.8903717578961645	true	INDRA	false	interacts with
CXCL12	FYN	0.0	true	INDRA	false	interacts with
CXCL12	LYN	2.302585092994046	true	INDRA	false	interacts with
CXCL12	PLCB3	2.302585092994046	true	INDRA	false	interacts with
CXCL12	1D-myo-inositol 1,4,5-trisphosphate	0.6931471805599453	true	INDRA	false	interacts with
CXCL12	CDC42	2.8903717578961645	true	INDRA + NCI-PID	false	interacts with
CXCL12	JAK2	3.9318256327243257	true	INDRA + NCI-PID	true	interacts with
CXCL12	LCK	2.302585092994046	true	INDRA + NCI-PID	false	interacts with
CXCL12	PIK3CA	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
CXCL12	PIK3CB	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
CXCL12	PIK3CG	1.791759469228055	true	INDRA + NCI-PID	true	interacts with
CXCL12	PTPN6	1.3862943611198906	true	INDRA + NCI-PID	false	interacts with
CXCL12	PTPRC	1.6094379124341003	true	INDRA + NCI-PID	false	interacts with
CXCL12	PXN	1.6094379124341003	true	INDRA + NCI-PID	false	interacts with
CXCL12	STAT3	4.584967478670572	true	INDRA + NCI-PID	true	interacts with
CXCL12	VAV1	3.367295829986474	true	INDRA + NCI-PID	false	interacts with
CXCL12	GRK2	0.6931471805599453	false	INDRA + NCI-PID	true	interacts with
CXCL12	ARNT	1.0986122886681098	true	INDRA + NCI-PID	false	interacts with
CXCL12	HIF1A	4.276666119016055	true	INDRA + NCI-PID	false	interacts with
CXCL12	SP1	2.833213344056216	true	INDRA	true	interacts with
CXCL12	CA9	1.6094379124341003	false	INDRA	true	interacts with
CXCL12	ENG	0.6931471805599453	false	INDRA	true	interacts with
CXCL12	EGLN1	1.3862943611198906	false	INDRA	true	interacts with
CXCL12	JUN	3.1780538303479458	true	INDRA	true	interacts with
CXCL12	PGK1	2.1972245773362196	true	INDRA	true	interacts with
CXCL12	LEP	3.091042453358316	true	INDRA	true	interacts with
CXCL12	EPO	2.772588722239781	false	INDRA	true	interacts with
CXCL12	VEGFA	3.044522437723423	true	INDRA	true	interacts with
CXCL12	SERPINE1	0.6931471805599453	true	INDRA	false	interacts with
CXCL12	NOS2	3.4657359027997265	true	INDRA	false	interacts with
CXCL12	HMOX1	3.5263605246161616	true	INDRA	true	interacts with
CXCL12	SMAD3	3.044522437723423	true	INDRA	true	interacts with
CXCL12	FOS	1.0986122886681098	true	INDRA	false	interacts with
CXCL12	ITGB2	0.0	true	INDRA	false	interacts with
CXCL12	PKM	1.6094379124341003	false	INDRA	true	interacts with
CXCL12	NCOA1	1.3862943611198906	false	INDRA	true	interacts with
CXCR4	FGFR1	2.0794415416798357	true	INDRA	true	interacts with
CXCR4	MMP9	4.0943445622221	true	INDRA	true	interacts with
CXCR4	PRKCD	1.0986122886681098	false	INDRA	true	interacts with
CXCR4	PRKCA	2.4849066497880004	true	INDRA	false	interacts with
CXCR4	PLG	2.4849066497880004	false	INDRA	true	interacts with
CXCR4	FGF2	3.332204510175204	false	INDRA	true	interacts with
CXCR4	MDK	1.6094379124341003	true	INDRA	true	interacts with
CXCR4	RAC1	3.8501476017100584	true	INDRA	true	interacts with
CXCR4	PTK2	3.8066624897703196	true	INDRA + NCI-PID	false	interacts with
CXCR4	TNC	1.3862943611198906	false	INDRA	false	interacts with
CXCR4	RHOA	3.58351893845611	true	INDRA	true	interacts with
CXCR4	FN1	2.1972245773362196	true	INDRA	false	interacts with
CXCR4	F2	1.791759469228055	true	INDRA	false	interacts with
CXCR4	AKT1	3.258096538021482	true	INDRA	true	interacts with
CXCR4	BAD	0.6931471805599453	false	INDRA	true	interacts with
CXCR4	FOXO1	1.6094379124341003	true	INDRA	false	interacts with
CXCR4	MTOR	3.4657359027997265	true	INDRA	true	interacts with
CXCR4	ARRB2	4.189654742026425	true	INDRA + NCI-PID	false	interacts with
CXCR4	SRC	3.332204510175204	true	INDRA	true	interacts with
CXCR4	HCK	1.0986122886681098	false	INDRA	true	interacts with
CXCR4	UBQLN1	1.3862943611198906	false	INDRA	true	interacts with
CXCR4	Gi family	0.6931471805599453	true	INDRA + NCI-PID	true	interacts with
CXCR4	LYN	2.3978952727983707	true	INDRA	true	interacts with
CXCR4	CD4	5.846438775057725	true	INDRA	true	interacts with
CXCR4	LIMK1	2.1972245773362196	true	INDRA	true	interacts with
CXCR4	INPP5D	0.6931471805599453	false	INDRA	true	interacts with
CXCR4	PLCB3	0.6931471805599453	false	INDRA	true	interacts with
CXCR4	PTK2B	0.6931471805599453	true	INDRA	false	interacts with
CXCR4	CRK	0.0	true	INDRA	false	interacts with
CXCR4	CDC42	1.9459101490553132	true	INDRA + NCI-PID	true	interacts with
CXCR4	GNA13	1.9459101490553132	false	INDRA	true	interacts with
CXCR4	JAK2	3.4657359027997265	true	INDRA + NCI-PID	true	interacts with
CXCR4	LCK	1.6094379124341003	true	INDRA + NCI-PID	false	interacts with
CXCR4	PIK3CB	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
CXCR4	PIK3CG	2.0794415416798357	true	INDRA + NCI-PID	true	interacts with
CXCR4	PTPN11	1.0986122886681098	false	INDRA + NCI-PID	false	interacts with
CXCR4	PTPN6	0.6931471805599453	false	INDRA + NCI-PID	false	interacts with
CXCR4	PTPRC	2.70805020110221	true	INDRA + NCI-PID	false	interacts with
CXCR4	STAT1	1.0986122886681098	true	INDRA + NCI-PID	true	interacts with
CXCR4	STAT2	0.6931471805599453	true	INDRA + NCI-PID	true	interacts with
CXCR4	STAT3	3.8066624897703196	true	INDRA + NCI-PID	true	interacts with
CXCR4	STAT5B	0.0	true	INDRA + NCI-PID	false	interacts with
CXCR4	VAV1	0.0	false	INDRA + NCI-PID	false	interacts with
CXCR4	GRK2	2.1972245773362196	false	INDRA + NCI-PID	true	interacts with
CXCR4	GRK6	3.5263605246161616	false	INDRA + NCI-PID	true	interacts with
CXCR4	HGS	2.302585092994046	true	INDRA + NCI-PID	true	interacts with
CXCR4	ITCH	3.5553480614894135	false	INDRA + NCI-PID	true	interacts with
CXCR4	S1PR3	1.6094379124341003	true	INDRA + NCI-PID	false	interacts with
CXCR4	FLT1	0.6931471805599453	true	INDRA	false	interacts with
CXCR4	VEGFA	3.5553480614894135	true	INDRA	true	interacts with
CXCR4	MAPK1	2.772588722239781	true	INDRA	false	interacts with
CXCR4	MAPK3	2.302585092994046	true	INDRA	false	interacts with
CXCR4	ARNT	0.0	true	INDRA + NCI-PID	false	interacts with
CXCR4	HIF1A	5.14166355650266	true	INDRA + NCI-PID	true	interacts with
CXCR4	ABCG2	1.6094379124341003	false	INDRA	true	interacts with
CXCR4	NPM1	1.791759469228055	false	INDRA	true	interacts with
CXCR4	JUN	1.0986122886681098	true	INDRA	false	interacts with
CXCR4	PGK1	2.5649493574615367	true	INDRA	true	interacts with
CXCR4	SMAD3	3.1354942159291497	true	INDRA	true	interacts with
CXCR4	NT5E	0.0	false	INDRA	false	interacts with
CXCR4	NOS2	0.6931471805599453	true	INDRA	false	interacts with
CXCR4	ETS1	2.3978952727983707	true	INDRA	true	interacts with
CXCR4	FOS	0.6931471805599453	true	INDRA	false	interacts with
CXCR4	ID2	0.6931471805599453	true	INDRA	false	interacts with
CXCR4	EDN1	2.833213344056216	false	INDRA	true	interacts with
CXCR4	LEP	2.1972245773362196	false	INDRA	true	interacts with
CXCR4	EPO	1.6094379124341003	false	INDRA	true	interacts with
CXCR4	NCOA1	0.6931471805599453	false	INDRA	true	interacts with
DNM2	RAC1	3.1354942159291497	false	INDRA	true	interacts with
DNM2	PTK2	3.4011973816621555	false	INDRA	true	interacts with
DNM2	FN1	0.0	false	INDRA	false	interacts with
DNM2	KDR	1.0986122886681098	false	INDRA + NCI-PID	true	interacts with
DNM2	NOS3	2.5649493574615367	false	INDRA	true	interacts with
DNM2	SRC	4.290459441148391	true	INDRA	false	interacts with
DNM2	GRB2	2.0794415416798357	false	INDRA + NCI-PID	false	interacts with
DNM2	PIK3R1	0.0	false	INDRA	false	interacts with
DNM2	CAV1	2.772588722239781	false	INDRA	true	interacts with
DNM2	CDC42	0.6931471805599453	false	INDRA	true	interacts with
DNM2	PTPN11	2.8903717578961645	true	INDRA	false	interacts with
DNM2	CTNNB1	0.6931471805599453	false	INDRA + NCI-PID	true	interacts with
DNM2	DNM1	2.1972245773362196	false	INDRA	true	interacts with
DNM2	ARF6	3.9512437185814275	false	INDRA	true	interacts with
DNM2	CLTC	0.6931471805599453	false	INDRA	true	interacts with
DNM2	SLC2A4	1.3862943611198906	false	INDRA	true	interacts with
DNM2	BIN1	4.143134726391533	true	INDRA	false	interacts with
DNM2	ITGA4	0.0	false	INDRA	false	interacts with
DNM2	NME1	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
DNM2	choline	0.0	false	INDRA	true	interacts with
DNM2	CASP3	1.3862943611198906	false	INDRA	true	interacts with
DNM2	RAB5A	1.3862943611198906	false	INDRA	false	interacts with
DNM2	EGFR	1.791759469228055	true	INDRA	false	interacts with
DNM2	FER	0.0	false	INDRA	false	interacts with
DNM2	GDNF	0.0	false	INDRA	true	interacts with
DNM2	WASL	2.1972245773362196	false	INDRA	false	interacts with
DNM2	HCK	0.0	false	INDRA	false	interacts with
DNM2	LYN	0.6931471805599453	false	INDRA	false	interacts with
DNM2	SRF	0.6931471805599453	false	INDRA	true	interacts with
DNM2	ACTN4	2.4849066497880004	false	INDRA	false	interacts with
DNM2	JAK2	0.6931471805599453	false	INDRA	false	interacts with
DNM2	S1PR1	1.6094379124341003	false	INDRA	true	interacts with
DNM2	Src Family Kinases	4.290459441148391	true	INDRA	false	interacts with
DNM2	CTTN	4.248495242049359	false	INDRA	false	interacts with
DNM2	SHC1	0.0	false	INDRA	false	interacts with
DNM2	JUN	0.6931471805599453	true	INDRA	false	interacts with
F2	MMP9	4.382026634673881	true	INDRA	true	interacts with
F2	ITGA5	0.0	false	INDRA	false	interacts with
F2	PRKCD	3.871201010907891	true	INDRA	true	interacts with
F2	PLG	4.499809670330265	true	INDRA	true	interacts with
F2	FN1	4.330733340286331	true	INDRA	true	interacts with
F2	THBS1	3.871201010907891	true	INDRA	true	interacts with
F2	FGF2	3.1780538303479458	true	INDRA	false	interacts with
F2	RAC1	4.6443908991413725	true	INDRA	true	interacts with
F2	TFPI	4.653960350157523	true	INDRA	true	interacts with
F2	RHOA	6.0844994130751715	true	INDRA	true	interacts with
F2	PTK2	4.0943445622221	true	INDRA	false	interacts with
F2	PRKCA	2.0794415416798357	false	INDRA	true	interacts with
F2	TNC	3.6109179126442243	true	INDRA	true	interacts with
F2	MDK	1.9459101490553132	true	INDRA	false	interacts with
F2	ROCK2	1.6094379124341003	true	INDRA	true	interacts with
F2	GNA13	0.6931471805599453	true	INDRA	false	interacts with
F2	Gq family	0.0	true	INDRA	false	interacts with
F2	ROCK1	1.791759469228055	true	INDRA	false	interacts with
F2	1D-myo-inositol 1,4,5-trisphosphate	3.258096538021482	true	INDRA	false	interacts with
F2	F2RL2	4.859812404361672	true	INDRA + NCI-PID	true	interacts with
F2	F2RL3	5.8289456176102075	true	INDRA + NCI-PID	true	interacts with
F2	AKAP13	0.6931471805599453	false	INDRA	true	interacts with
F2	ARHGEF1	2.8903717578961645	false	INDRA	true	interacts with
F2	F2R	7.415776975415394	true	INDRA + NCI-PID	true	interacts with
F2	NOS3	4.634728988229636	true	INDRA	true	interacts with
F2	PRKCB	0.6931471805599453	false	INDRA	true	interacts with
F2	TRPC6	1.791759469228055	true	INDRA	false	interacts with
F2	VASP	1.9459101490553132	true	INDRA	false	interacts with
F2	PLCB1	0.0	true	INDRA	false	interacts with
F2	PLCB3	2.0794415416798357	true	INDRA	false	interacts with
F2	PIK3R1	0.6931471805599453	true	INDRA	false	interacts with
F2	ZYX	2.4849066497880004	true	INDRA + NCI-PID	false	interacts with
F2	ANGPT1	0.6931471805599453	false	INDRA + NCI-PID	true	interacts with
F2	ANGPT2	3.4011973816621555	true	INDRA + NCI-PID	true	interacts with
F2	MMP2	4.454347296253507	true	INDRA	true	interacts with
F2	TNF	4.564348191467836	true	INDRA	true	interacts with
F2	L-arginine	1.3862943611198906	false	INDRA	false	interacts with
F2	reactive oxygen species	5.123963979403259	true	INDRA	true	interacts with
F2	TEK	2.1972245773362196	true	INDRA	true	interacts with
F2	FYN	2.0794415416798357	true	INDRA	false	interacts with
F2	phosphatidic acid	2.8903717578961645	true	INDRA	true	interacts with
F2	GRB2	0.6931471805599453	false	INDRA	true	interacts with
F2	PAK1	3.9318256327243257	true	INDRA	false	interacts with
F2	RELA	3.7612001156935624	true	INDRA	false	interacts with
F2	ELK1	1.0986122886681098	true	INDRA	false	interacts with
F2	AKT1	2.4849066497880004	false	INDRA	true	interacts with
F2	RPS6KB1	4.007333185232471	true	INDRA	false	interacts with
F2	PTPN11	3.1780538303479458	true	INDRA	true	interacts with
F2	MAPK1	4.219507705176107	true	INDRA	false	interacts with
F2	MAPK8	1.9459101490553132	true	INDRA	false	interacts with
F2	choline	0.6931471805599453	true	INDRA	false	interacts with
F2	FOXO1	0.6931471805599453	true	INDRA	false	interacts with
F2	NFKB1	0.6931471805599453	true	INDRA	false	interacts with
F2	BMX	0.6931471805599453	false	INDRA	true	interacts with
F2	FOXA2	0.0	true	INDRA + NCI-PID	false	interacts with
F2	AFP	2.302585092994046	true	INDRA	false	interacts with
F2	INS	3.332204510175204	true	INDRA	true	interacts with
F2	ALB	2.6390573296152584	true	INDRA	true	interacts with
F2	HNF1A	0.6931471805599453	true	INDRA	false	interacts with
F2	HNF4A	0.6931471805599453	true	INDRA + NCI-PID	false	interacts with
F2	CEBPB	1.0986122886681098	false	INDRA	true	interacts with
F2	TAT	3.258096538021482	true	INDRA	true	interacts with
F2	TFRC	2.1972245773362196	true	INDRA	false	interacts with
F2	SP1	0.0	false	INDRA + NCI-PID	true	interacts with
MMP9	FN1	5.3981627015177525	true	INDRA	true	interacts with
MMP9	PLG	4.442651256490317	true	INDRA + NCI-PID	true	interacts with
MMP9	ITGB1	1.6094379124341003	true	INDRA	true	interacts with
MMP9	THBS1	4.499809670330265	true	INDRA	true	interacts with
MMP9	PTK2	4.189654742026425	true	INDRA	true	interacts with
MMP9	FGF2	4.07753744390572	true	INDRA	true	interacts with
MMP9	RHOA	3.2188758248682006	true	INDRA	true	interacts with
MMP9	RAC1	3.4965075614664802	true	INDRA	true	interacts with
MMP9	TFPI	1.6094379124341003	true	INDRA	true	interacts with
MMP9	ITGA5	1.791759469228055	true	INDRA	false	interacts with
MMP9	PRKCD	2.3978952727983707	true	INDRA	false	interacts with
MMP9	PRKCA	3.044522437723423	false	INDRA	true	interacts with
MMP9	MDK	0.6931471805599453	false	INDRA	true	interacts with
MMP9	SDCBP	1.0986122886681098	false	INDRA	true	interacts with
MMP9	TNC	2.995732273553991	false	INDRA	true	interacts with
MMP9	BSG	4.5217885770490405	true	INDRA	true	interacts with
MMP9	MAPK1	3.044522437723423	true	INDRA	false	interacts with
MMP9	MAPK3	2.302585092994046	true	INDRA	false	interacts with
MMP9	SDC1	3.6109179126442243	true	INDRA + NCI-PID	true	interacts with
MMP9	COL1A1	2.1972245773362196	true	INDRA	true	interacts with
MMP9	COL1A2	0.6931471805599453	false	INDRA	false	interacts with
MMP9	COL2A1	1.3862943611198906	false	INDRA	true	interacts with
MMP9	COL4A1	1.0986122886681098	false	INDRA	false	interacts with
MMP9	COL4A2	0.6931471805599453	false	INDRA	false	interacts with
MMP9	COL4A3	2.4849066497880004	false	INDRA	true	interacts with
MMP9	COL4A4	0.6931471805599453	false	INDRA	false	interacts with
MMP9	COL4A5	0.0	false	INDRA	false	interacts with
MMP9	COL4A6	0.0	false	INDRA	false	interacts with
MMP9	COL5A1	0.0	false	INDRA	false	interacts with
MMP9	COL6A1	0.0	false	INDRA	false	interacts with
MMP9	COL6A2	0.0	false	INDRA	false	interacts with
MMP9	FGFR2	0.6931471805599453	true	INDRA	false	interacts with
MMP9	FGFR4	0.6931471805599453	false	INDRA	false	interacts with
MMP9	HGF	4.406719247264253	false	INDRA	true	interacts with
MMP9	MET	1.6094379124341003	false	INDRA	true	interacts with
MMP9	HPSE	3.713572066704308	true	INDRA	true	interacts with
MMP9	MMP1	4.927253685157205	true	INDRA	true	interacts with
MMP9	MMP7	3.6888794541139363	true	INDRA	true	interacts with
MMP9	TGFB1	5.8888779583328805	true	INDRA	true	interacts with
MMP9	AKT1	2.5649493574615367	true	INDRA	true	interacts with
MMP9	FOXO1	3.8066624897703196	true	INDRA	true	interacts with
MMP9	MAPKAP1	1.0986122886681098	true	INDRA	false	interacts with
MMP9	MTOR	2.8903717578961645	true	INDRA	true	interacts with
MMP9	RICTOR	0.6931471805599453	true	INDRA	false	interacts with
MMP9	BCAR1	0.6931471805599453	true	INDRA	false	interacts with
MMP9	JAK2	1.9459101490553132	true	INDRA	false	interacts with
MMP9	LCK	1.0986122886681098	true	INDRA	false	interacts with
MMP9	LYN	0.6931471805599453	false	INDRA	true	interacts with
MMP9	SRC	3.871201010907891	true	INDRA	true	interacts with
MMP9	CD4	2.0794415416798357	true	INDRA	false	interacts with
MMP9	CDC42	1.791759469228055	true	INDRA	true	interacts with
MMP9	PAK1	2.8903717578961645	true	INDRA	false	interacts with
MMP9	PTK2B	2.3978952727983707	true	INDRA	true	interacts with
MMP9	PTPRC	1.6094379124341003	true	INDRA	true	interacts with
MMP9	GRK6	0.6931471805599453	true	INDRA	false	interacts with
MMP9	PIK3CG	0.6931471805599453	true	INDRA	false	interacts with
MMP9	PTPN11	0.6931471805599453	false	INDRA	true	interacts with
MMP9	RAP2A	0.6931471805599453	true	INDRA	false	interacts with
MMP9	STAT1	2.4849066497880004	false	INDRA	true	interacts with
MMP9	STAT3	4.787491742782046	true	INDRA	true	interacts with
MMP9	RHOC	2.833213344056216	true	INDRA	false	interacts with
MMP9	PRKCZ	0.0	false	INDRA + NCI-PID	true	interacts with
MMP9	CTNNB1	4.060443010546419	true	INDRA	true	interacts with
MMP9	LEF1	2.0794415416798357	true	INDRA + NCI-PID	false	interacts with
MMP9	APC	2.70805020110221	true	INDRA	false	interacts with
MMP9	AR	3.912023005428146	true	INDRA	true	interacts with
MMP9	SMARCA4	2.1972245773362196	true	INDRA	false	interacts with
MMP9	TERT	2.772588722239781	true	INDRA	true	interacts with
MMP9	BCL9	0.6931471805599453	true	INDRA	false	interacts with
MMP9	CDX1	1.0986122886681098	true	INDRA	false	interacts with
MMP9	CUL1	1.0986122886681098	true	INDRA	false	interacts with
MMP9	HBP1	0.6931471805599453	true	INDRA	false	interacts with
MMP9	CDH1	4.927253685157205	true	INDRA	true	interacts with
MMP9	EP300	2.772588722239781	true	INDRA	false	interacts with
MMP9	CXCL8	4.990432586778736	true	INDRA	true	interacts with
MMP9	DKK1	1.6094379124341003	true	INDRA	false	interacts with
MMP9	FGF4	0.6931471805599453	true	INDRA	false	interacts with
MMP9	HDAC1	2.833213344056216	true	INDRA	false	interacts with
MMP9	HDAC2	2.0794415416798357	true	INDRA	true	interacts with
MMP9	ID2	0.6931471805599453	true	INDRA	false	interacts with
MMP9	JUN	4.343805421853684	true	INDRA	true	interacts with
MMP9	KLF4	0.6931471805599453	true	INDRA	false	interacts with
MMP9	MMP2	6.966024187106113	true	INDRA	true	interacts with
MMP9	SNAI2	3.4339872044851463	true	INDRA	true	interacts with
MMP9	MYC	2.1972245773362196	true	INDRA + NCI-PID	true	interacts with
MMP9	ADCY3	1.3862943611198906	true	INDRA	false	interacts with
MMP9	CASP3	2.995732273553991	true	INDRA	true	interacts with
MMP9	LPAR1	1.0986122886681098	true	INDRA	false	interacts with
MMP9	EGFR	4.90527477843843	true	INDRA	true	interacts with
MMP9	FOS	3.1780538303479458	false	INDRA	true	interacts with
MMP9	HBEGF	2.833213344056216	true	INDRA + NCI-PID	true	interacts with
MMP9	NFKB1	3.7376696182833684	true	INDRA	true	interacts with
MMP9	RELA	4.77912349311153	true	INDRA	true	interacts with
MMP9	HRAS	3.044522437723423	true	INDRA	false	interacts with
MMP9	GSK3B	2.995732273553991	true	INDRA	true	interacts with
MMP9	MAPT	2.1972245773362196	true	INDRA	false	interacts with
MMP9	NFKBIA	3.1780538303479458	true	INDRA	true	interacts with
MMP9	LPA	4.007333185232471	true	INDRA	false	interacts with
MMP9	PLD2	0.6931471805599453	false	INDRA	true	interacts with
MMP9	PRKCE	0.6931471805599453	false	INDRA	true	interacts with
MMP9	AGT	4.927253685157205	true	INDRA	true	interacts with
