	id	length	mass
63671	Q6ZN96_HUMAN	568	63671
90933	DHX15_HUMAN	795	90933
74049	FLRT2_HUMAN	660	74049
200029	SI1L1_HUMAN	1804	200029
58449	B2R7V4_HUMAN	522	58449
20108	A0A2I2MP55_HUMAN	182	20108
92875	A0A024RCM1_HUMAN	834	92875
54099	DC1L2_HUMAN	492	54099
88829	ZW10_HUMAN	779	88829
49814	TGFI1_HUMAN	461	49814
67587	H0YKZ4_HUMAN	616	67587
43577	DHH_HUMAN	396	43577
77529	QSOX2_HUMAN	698	77529
67133	MTG8R_HUMAN	604	67133
48841	F8VVI9_HUMAN	434	48841
54671	KLF4_HUMAN	513	54671
22171	F8WCG6_HUMAN	195	22171
96742	KCNQ3_HUMAN	872	96742
95848	KCNQ2_HUMAN	872	95848
42207	CHSTA_HUMAN	356	42207
31956	B4DMG7_HUMAN	299	31956
80778	TGM5_HUMAN	720	80778
49851	Q86XV6_HUMAN	433	49851
61447	A0A0A0MTI1_HUMAN	528	61447
45501	SYT7_HUMAN	403	45501
127495	HAIR_HUMAN	1189	127495
19108	O19522_HUMAN	169	19108
41700	GALR2_HUMAN	387	41700
35122	A0A126GVG9_HUMAN	318	35122
8786	V5LL91_HUMAN	75	8786
85853	HTSF1_HUMAN	755	85853
24555	B7Z3Z6_HUMAN	224	24555
30251	RHGBB_HUMAN	267	30251
34567	PM34_HUMAN	307	34567
51841	A0A343SQK6_HUMAN	459	51841
76108	AKAP8_HUMAN	692	76108
49213	Q53HB3_HUMAN	440	49213
46360	A0A087WV01_HUMAN	426	46360
40018	ANGL7_HUMAN	346	40018
53765	Q9UQ60_HUMAN	483	53765
58951	A0A7I2YQJ8_HUMAN	507	58951
38088	F4NBQ3_HUMAN	337	38088
71926	A8K1Z3_HUMAN	660	71926
114709	POP1_HUMAN	1024	114709
34945	D2CGC9_HUMAN	324	34945
50283	A4D0P7_HUMAN	435	50283
12179	B5MDD7_HUMAN	108	12179
46263	A8K2M4_HUMAN	418	46263
121905	SMCA5_HUMAN	1052	121905
128960	ADCY3_HUMAN	1144	128960
304816	ZN292_HUMAN	2723	304816
115155	ST18_HUMAN	1047	115155
143137	MAST3_HUMAN	1309	143137
136447	ZEB2_HUMAN	1214	136447
57645	HBP1_HUMAN	514	57645
73906	NOBOX_HUMAN	691	73906
198311	LY75_HUMAN	1722	198311
222260	DSCAM_HUMAN	2012	222260
50569	H0YAU4_HUMAN	444	50569
102915	Q59GD1_HUMAN	950	102915
13784	Q8N809_HUMAN	126	13784
48748	B2R7S4_HUMAN	423	48748
84785	PLOD3_HUMAN	738	84785
26301	A0A0U1RQL8_HUMAN	232	26301
24148	TSN2_HUMAN	221	24148
43146	FAIM3_HUMAN	390	43146
59903	A0A994J420_HUMAN	525	59903
22068	G0ZI12_HUMAN	198	22068
52972	SRPX2_HUMAN	465	52972
174223	ABCC9_HUMAN	1549	174223
56802	B2RBU9_HUMAN	513	56802
98796	ESF1_HUMAN	851	98796
40010	K7EKB8_HUMAN	378	40010
53818	A0A7I2V4J2_HUMAN	468	53818
13890	H0YAD4_HUMAN	122	13890
19258	K7EN62_HUMAN	170	19258
125569	DIAP2_HUMAN	1101	125569
54387	MMP20_HUMAN	483	54387
45746	G3CIH0_HUMAN	450	45746
41972	B4GT2_HUMAN	372	41972
31691	W8NT44_HUMAN	273	31691
32064	O00446_HUMAN	328	32064
40509	A0A858LHX2_HUMAN	362	40509
24326	B4DUQ6_HUMAN	207	24326
71356	DTNB_HUMAN	627	71356
68557	A8K731_HUMAN	623	68557
53275	LIRA1_HUMAN	489	53275
69386	LIRB3_HUMAN	631	69386
53724	FKTN_HUMAN	461	53724
91926	ADA23_HUMAN	832	91926
130322	ZBED4_HUMAN	1171	130322
120775	PHF2_HUMAN	1096	120775
61246	SOCS5_HUMAN	536	61246
81872	CNOT3_HUMAN	753	81872
42990	F8W1J4_HUMAN	366	42990
36087	L8E9I9_HUMAN	309	36087
58382	Q6PII6_HUMAN	533	58382
89923	B7ZAC9_HUMAN	788	89923
43710	DUS11_HUMAN	377	43710
143291	LIPA2_HUMAN	1257	143291
132565	CILP1_HUMAN	1184	132565
37214	E9PIY1_HUMAN	320	37214
19535	B1AMU4_HUMAN	178	19535
39184	Q9UN28_HUMAN	339	39184
278164	FLNB_HUMAN	2602	278164
270210	NCOR1_HUMAN	2440	270210
16397	Q6IAZ3_HUMAN	141	16397
51712	A0A1B0GW98_HUMAN	453	51712
24741	X6RI37_HUMAN	221	24741
6961	S6CBA6_HUMAN	62	6961
239527	TECTA_HUMAN	2155	239527
55965	KTNA1_HUMAN	491	55965
49762	MSRE_HUMAN	451	49762
60103	CC181_HUMAN	509	60103
35793	B7Z469_HUMAN	330	35793
41497	A0A1X7SBT5_HUMAN	365	41497
42507	Q05DV4_HUMAN	365	42507
33196	A0A0G2JN91_HUMAN	292	33196
61815	JERKY_HUMAN	556	61815
21731	G8GIE8_HUMAN	183	21731
40880	B2G4X1_HUMAN	365	40880
36794	DEDD_HUMAN	318	36794
32947	Q9NTU2_HUMAN	281	32947
24075	A0A8I5KTT7_HUMAN	207	24075
21090	W5ZL11_HUMAN	199	21090
47745	MTU1_HUMAN	421	47745
52989	TM1L1_HUMAN	476	52989
35386	G3XAB9_HUMAN	321	35386
39512	Q659C3_HUMAN	351	39512
127501	TRPA1_HUMAN	1119	127501
42076	PALM_HUMAN	387	42076
73478	PR15A_HUMAN	674	73478
92566	A0A384MTS3_HUMAN	825	92566
35611	Q86SH3_HUMAN	318	35611
30850	V9HW40_HUMAN	277	30850
21644	TFKL7_HUMAN	198	21644
74767	PPR37_HUMAN	691	74767
61864	CPNE9_HUMAN	553	61864
158537	ATRN_HUMAN	1429	158537
21000	V5JAA6_HUMAN	181	21000
35520	ST1C4_HUMAN	302	35520
68240	A0A994J3Z2_HUMAN	626	68240
21119	X2KYR1_HUMAN	181	21119
52774	A0A024RC21_HUMAN	493	52774
13101	G3V1B6_HUMAN	114	13101
94751	V9HWD4_HUMAN	853	94751
38364	A0A7G1K9L7_HUMAN	337	38364
107519	CDKL5_HUMAN	960	107519
99985	PDE5A_HUMAN	875	99985
39110	DFFB_HUMAN	338	39110
23989	O43875_HUMAN	216	23989
44929	A0A1B5BA16_HUMAN	410	44929
108858	A0A6Q8PGD1_HUMAN	953	108858
42344	A0A669KBE5_HUMAN	373	42344
46877	A0A2R8Y6Q1_HUMAN	414	46877
76931	J3QRH7_HUMAN	693	76931
52946	Q4TT70_HUMAN	467	52946
71357	Q86VV6_HUMAN	626	71357
72083	B3KPK8_HUMAN	622	72083
118965	LRIG2_HUMAN	1065	118965
87110	H0YCQ7_HUMAN	780	87110
70101	GLCE_HUMAN	617	70101
159760	SOGA1_HUMAN	1423	159760
131530	CMTA2_HUMAN	1202	131530
109793	WDR59_HUMAN	974	109793
81854	H7C2B5_HUMAN	746	81854
34802	A0A126GVW2_HUMAN	310	34802
101397	ZO3_HUMAN	919	101397
74720	ZN202_HUMAN	648	74720
15489	H3BSB3_HUMAN	131	15489
200051	RIMB1_HUMAN	1857	200051
37206	A0A384MDN8_HUMAN	331	37206
146185	UBE4B_HUMAN	1302	146185
21766	F8W0C2_HUMAN	200	21766
68482	A0A087X0T6_HUMAN	624	68482
25703	A0A411PBV5_HUMAN	230	25703
208443	MTMR5_HUMAN	1868	208443
35971	B2RBR3_HUMAN	346	35971
90016	RASL1_HUMAN	804	90016
14188	Q8WYS3_HUMAN	142	14188
146407	ABCBB_HUMAN	1321	146407
35487	J3KRN5_HUMAN	308	35487
77960	ATG7_HUMAN	703	77960
63955	B2RB95_HUMAN	564	63955
119517	IPO7_HUMAN	1038	119517
48047	BMP10_HUMAN	424	48047
59852	AGM1_HUMAN	542	59852
13645	M0QYY3_HUMAN	127	13645
105810	PIGN_HUMAN	931	105810
49594	BAG4_HUMAN	457	49594
76505	LCA5L_HUMAN	670	76505
121854	FMNL1_HUMAN	1100	121854
63524	SGPL1_HUMAN	568	63524
88893	G6PE_HUMAN	791	88893
57012	Q9H803_HUMAN	498	57012
56911	A0A344AKF5_HUMAN	513	56911
49228	NADK_HUMAN	446	49228
27873	Q9NW50_HUMAN	249	27873
138908	A0A384P5Q5_HUMAN	1261	138908
48077	A0A140VK54_HUMAN	424	48077
13604	Q9Y3U5_HUMAN	118	13604
51418	F4MHC6_HUMAN	455	51418
527228	HERC2_HUMAN	4834	527228
61991	CPNE6_HUMAN	557	61991
24003	Q8IXJ5_HUMAN	206	24003
59690	A0A024RCP5_HUMAN	518	59690
10403	H8WV93_HUMAN	89	10403
107546	AP2A1_HUMAN	977	107546
63182	STAU1_HUMAN	577	63182
17400	H3BV59_HUMAN	149	17400
126870	LATS1_HUMAN	1130	126870
23822	Q9TQI7_HUMAN	206	23822
85084	FRITZ_HUMAN	746	85084
19206	Q9H722_HUMAN	167	19206
106040	TRAK1_HUMAN	953	106040
72758	ECD_HUMAN	644	72758
52319	A0A8Q3SHV0_HUMAN	451	52319
30677	A0A7P0T8W7_HUMAN	279	30677
41623	A0A0G2JQG6_HUMAN	370	41623
17455	Q6IAM1_HUMAN	144	17455
243949	APCL_HUMAN	2303	243949
20777	O95662_HUMAN	194	20777
23627	Q9BVX3_HUMAN	215	23627
76097	F4MHH4_HUMAN	681	76097
36689	V9HWB9_HUMAN	332	36689
21453	A0A4P2SSX6_HUMAN	183	21453
39935	OTC_HUMAN	354	39935
47518	AATM_HUMAN	430	47518
122873	ABL1_HUMAN	1130	122873
24817	X5CFG7_HUMAN	226	24817
47651	AACT_HUMAN	423	47651
17325	Q4W5J9_HUMAN	162	17325
12861	A4D1Z3_HUMAN	111	12861
20909	V5JAP5_HUMAN	181	20909
11981	Q71M28_HUMAN	99	11981
21728	W0G8I2_HUMAN	183	21728
19348	Q96GX3_HUMAN	175	19348
12737	F8VPN1_HUMAN	115	12737
12957	Q9H5M2_HUMAN	122	12957
25729	A0A678ZVX1_HUMAN	224	25729
12582	F8W052_HUMAN	114	12582
42334	LRC19_HUMAN	370	42334
27805	Q9NXZ6_HUMAN	247	27805
138911	CO1A1_HUMAN	1464	138911
20159	K7EM16_HUMAN	183	20159
60045	A0A0S2Z428_HUMAN	564	60045
36154	A0A126GW91_HUMAN	327	36154
51512	B4E0Z9_HUMAN	476	51512
25387	C9JSF2_HUMAN	226	25387
26017	C9JIR1_HUMAN	241	26017
25774	A0A140TA13_HUMAN	224	25774
63173	CO9_HUMAN	559	63173
68678	FETA_HUMAN	609	68678
52918	Q32NF0_HUMAN	477	52918
10845	J3QLI1_HUMAN	98	10845
84871	J3KP89_HUMAN	736	84871
40809	H0Y9H4_HUMAN	368	40809
67027	X5BWF0_HUMAN	603	67027
70109	A0A0G2JIW1_HUMAN	642	70109
54007	MMP1_HUMAN	469	54007
38719	Q8N798_HUMAN	338	38719
59716	A0A068F658_HUMAN	536	59716
11140	Q9H4C0_HUMAN	96	11140
21043	S4TZI1_HUMAN	181	21043
9150	V5L5L2_HUMAN	79	9150
24750	H0Y783_HUMAN	215	24750
49578	Q53HB8_HUMAN	440	49578
49561	A0A804HJ60_HUMAN	446	49561
37465	H7C1V3_HUMAN	338	37465
309265	VWF_HUMAN	2813	309265
36053	H6VQ59_HUMAN	317	36053
137910	X5DNK3_HUMAN	1255	137910
6120	Q8TAB0_HUMAN	51	6120
69284	A0A087WVA2_HUMAN	597	69284
87058	ITB3_HUMAN	788	87058
58407	Q0VGA5_HUMAN	511	58407
9393	H0YNI5_HUMAN	78	9393
57825	A0A384MEK5_HUMAN	532	57825
11514	Q8WY88_HUMAN	102	11514
18731	J3QL85_HUMAN	158	18731
22537	E7EV40_HUMAN	204	22537
53704	K2C8_HUMAN	483	53704
25150	B3KP15_HUMAN	216	25150
25382	A0A4D5RA69_HUMAN	234	25382
21145	R4I4Z3_HUMAN	181	21145
144910	CO5A2_HUMAN	1499	144910
9782	Q5BQ97_HUMAN	93	9782
37077	UBX2B_HUMAN	331	37077
12203	J3QKM1_HUMAN	111	12203
36469	A0A6Q8PH91_HUMAN	334	36469
116038	B7Z5J9_HUMAN	1047	116038
60703	A0A087WXI3_HUMAN	536	60703
13904	A0A7S5EXT2_HUMAN	125	13904
102472	A0A994J5A3_HUMAN	933	102472
20863	B6DX34_HUMAN	181	20863
71540	H0Y9A6_HUMAN	666	71540
81890	B4DPQ0_HUMAN	719	81890
6115	Q99888_HUMAN	54	6115
16213	H0YMS1_HUMAN	136	16213
57883	A0A6F7YAP6_HUMAN	517	57883
15054	E9PL83_HUMAN	138	15054
43363	A0A0S2Z3Y7_HUMAN	379	43363
33670	HNRPC_HUMAN	306	33670
198038	LAMB1_HUMAN	1786	198038
17644	W0UV93_HUMAN	156	17644
51715	Q32LZ0_HUMAN	448	51715
73882	MMP2_HUMAN	660	73882
226546	APOA_HUMAN	2040	226546
167553	CO4A2_HUMAN	1712	167553
22048	A0A7U3JW12_HUMAN	206	22048
51557	A0A0G2JPW3_HUMAN	449	51557
29089	FCG3A_HUMAN	254	29089
114536	ITA5_HUMAN	1049	114536
53652	V9HWE1_HUMAN	466	53652
17233	H7C100_HUMAN	158	17233
32854	D3YRI8_HUMAN	290	32854
51548	A0N0L5_HUMAN	468	51548
263915	ROS1_HUMAN	2347	263915
29811	Q29645_HUMAN	259	29811
30770	FGF2_HUMAN	288	30770
51209	B4E305_HUMAN	452	51209
20624	B4DU62_HUMAN	185	20624
36842	A0A8I5KTQ4_HUMAN	338	36842
32709	H0Y8X0_HUMAN	285	32709
27077	Q6PIA0_HUMAN	236	27077
35883	Q6LAM1_HUMAN	321	35883
47579	CN37_HUMAN	421	47579
40418	W8YMX3_HUMAN	362	40418
60179	Q8N7L2_HUMAN	557	60179
37394	A8K7Y3_HUMAN	335	37394
13016	Q3SXR8_HUMAN	125	13016
35709	E7ETT9_HUMAN	319	35709
59479	FGR_HUMAN	529	59479
218587	LPH_HUMAN	1927	218587
113084	PARP1_HUMAN	1014	113084
165913	A0A8V8TMH5_HUMAN	1483	165913
12927	A0A5C2GU98_HUMAN	120	12927
55360	IFIT1_HUMAN	478	55360
24824	S6BGD6_HUMAN	235	24824
26942	X5DR33_HUMAN	236	26942
14091	Q6ZP11_HUMAN	123	14091
12713	F1T0F3_HUMAN	109	12713
14216	H3BNU9_HUMAN	131	14216
35932	C9JV37_HUMAN	324	35932
41740	Q53RZ9_HUMAN	374	41740
59354	B4DVP4_HUMAN	541	59354
16445	Q5D221_HUMAN	143	16445
21118	U5IS98_HUMAN	181	21118
36185	B2R6W4_HUMAN	325	36185
12641	V9GYJ6_HUMAN	117	12641
15237	A0A7R6M8Q3_HUMAN	148	15237
49960	A8K3W7_HUMAN	429	49960
31544	B7VCC4_HUMAN	273	31544
59963	E9PJX3_HUMAN	528	59963
18354	W0UV60_HUMAN	161	18354
7579	E9PPB1_HUMAN	65	7579
50771	Q6I9R7_HUMAN	462	50771
45120	T2DL93_HUMAN	417	45120
54466	A0A1B0GWJ0_HUMAN	480	54466
17599	MGST1_HUMAN	155	17599
55825	CP2C8_HUMAN	490	55825
55769	B4DV74_HUMAN	490	55769
50688	B7Z2N1_HUMAN	437	50688
35015	Q0IJ56_HUMAN	310	35015
109865	KIT_HUMAN	976	109865
22905	J3KRS2_HUMAN	201	22905
52495	A0A9L9PXW6_HUMAN	449	52495
107673	MCF2_HUMAN	925	107673
18789	Q9H5T3_HUMAN	170	18789
223905	MYH3_HUMAN	1940	223905
199526	MTAP2_HUMAN	1827	199526
23567	R4GN84_HUMAN	216	23567
53838	A0A8V8TLX7_HUMAN	472	53838
17777	X6RKY7_HUMAN	157	17777
47223	PSG1_HUMAN	419	47223
21053	Q9TP38_HUMAN	181	21053
39724	Q6IRT1_HUMAN	374	39724
48035	KPSH1_HUMAN	424	48035
28769	B4DPC5_HUMAN	273	28769
64417	K2C3_HUMAN	628	64417
112479	NFH_HUMAN	1026	112479
50471	ODBA_HUMAN	445	50471
103058	A0A024R694_HUMAN	892	103058
97456	A0A0U2ZQU7_HUMAN	882	97456
34645	V9GYU7_HUMAN	322	34645
13964	Q9UK54_HUMAN	128	13964
27964	B3KPB1_HUMAN	256	27964
31911	HXD8_HUMAN	290	31911
44961	A0A142DV47_HUMAN	410	44961
49973	A0A286YEW8_HUMAN	451	49973
94574	NCAM1_HUMAN	858	94574
49588	K1C13_HUMAN	458	49588
62378	K2C5_HUMAN	590	62378
104786	CO6_HUMAN	934	104786
36599	PPA5_HUMAN	325	36599
57560	Q6ZND8_HUMAN	512	57560
36295	S4R3Y2_HUMAN	341	36295
30822	Q5QNS2_HUMAN	273	30822
73498	Q7RU04_HUMAN	658	73498
36881	EMB_HUMAN	327	36881
44802	YJU2B_HUMAN	396	44802
42252	Q4VBN6_HUMAN	373	42252
49880	GFAP_HUMAN	432	49880
12476	H3BN66_HUMAN	113	12476
54014	HCLS1_HUMAN	486	54014
36573	V9HWI0_HUMAN	325	36573
22764	H7C0V8_HUMAN	194	22764
37914	K7QT48_HUMAN	341	37914
24610	RSMB_HUMAN	240	24610
117968	IDE_HUMAN	1019	117968
61117	PALS2_HUMAN	540	61117
51802	GBRA1_HUMAN	456	51802
39474	A0A024RBI1_HUMAN	347	39474
14719	S4R2X8_HUMAN	132	14719
42064	A0A866W340_HUMAN	361	42064
55756	A0A590UK29_HUMAN	521	55756
54405	A0A0S2Z3Y2_HUMAN	489	54405
56833	VATB1_HUMAN	513	56833
26183	A0A140VJZ4_HUMAN	230	26183
61128	CD19_HUMAN	556	61128
28977	B3CJB8_HUMAN	267	28977
27895	H3BN42_HUMAN	250	27895
43747	A9QQ20_HUMAN	407	43747
22963	X6R4A7_HUMAN	205	22963
59687	A0A8I5QJA8_HUMAN	499	59687
31324	A0A0S2Z6U5_HUMAN	281	31324
67600	TFE2_HUMAN	654	67600
122102	MUC1_HUMAN	1255	122102
261329	PGCA_HUMAN	2530	261329
40322	V9HW39_HUMAN	359	40322
122670	A0A6G8IU23_HUMAN	1097	122670
89385	GCFC2_HUMAN	781	89385
56717	Q96BL7_HUMAN	506	56717
24656	CTLA4_HUMAN	223	24656
21646	H7C506_HUMAN	193	21646
86830	TAF5_HUMAN	800	86830
94638	W0S0X4_HUMAN	822	94638
114757	A0A0S2Z3L2_HUMAN	1042	114757
53151	Q0PTK2_HUMAN	474	53151
40090	YBOX3_HUMAN	372	40090
62288	ZNF18_HUMAN	549	62288
52449	A0PJI6_HUMAN	484	52449
117541	ZSC20_HUMAN	1043	117541
46565	B0AZL9_HUMAN	421	46565
11676	R4GNE6_HUMAN	105	11676
76750	L7RSM7_HUMAN	672	76750
69936	ASM_HUMAN	631	69936
25432	A0A343GG65_HUMAN	227	25432
47504	A0A804HK94_HUMAN	428	47504
60724	CP4V2_HUMAN	525	60724
36106	U3KQ39_HUMAN	316	36106
57019	Q5SXY3_HUMAN	502	57019
66690	PYRG1_HUMAN	591	66690
28695	Q14400_HUMAN	258	28695
31083	Q2TA76_HUMAN	280	31083
60344	TCPA_HUMAN	556	60344
86909	ERCC2_HUMAN	760	86909
49313	B4DM42_HUMAN	430	49313
88054	L7RT22_HUMAN	799	88054
29226	Q8IU55_HUMAN	269	29226
33899	B3KR97_HUMAN	308	33899
20055	Q0ZAJ5_HUMAN	184	20055
21397	G0KXH8_HUMAN	181	21397
28804	Q6FHU2_HUMAN	254	28804
38590	E7BWS1_HUMAN	348	38590
101736	DNLI1_HUMAN	919	101736
108332	AMD_HUMAN	973	108332
74141	B7ZKU8_HUMAN	664	74141
60751	Q5DSZ8_HUMAN	532	60751
102486	HXK1_HUMAN	917	102486
50495	SERC1_HUMAN	453	50495
52865	PLPL3_HUMAN	481	52865
61521	B4DQY1_HUMAN	555	61521
90763	SL9A1_HUMAN	815	90763
79322	CEL_HUMAN	753	79322
11389	V9GYC0_HUMAN	107	11389
29381	X5CKE2_HUMAN	260	29381
48207	DBNL_HUMAN	430	48207
34625	A0A1B0GVL5_HUMAN	298	34625
18157	Q5I6F9_HUMAN	159	18157
24390	B4DZH1_HUMAN	217	24390
26489	O19707_HUMAN	229	26489
66408	GRAM4_HUMAN	578	66408
70581	A0A140VK28_HUMAN	623	70581
57109	K7EJS6_HUMAN	525	57109
67356	HNF1A_HUMAN	631	67356
28357	C4BPB_HUMAN	252	28357
92620	CD11B_HUMAN	795	92620
46872	SYT2_HUMAN	419	46872
319372	NF1_HUMAN	2839	319372
141523	MDR3_HUMAN	1286	141523
30899	SCF_HUMAN	273	30899
63368	5NTD_HUMAN	574	63368
214714	TAF1_HUMAN	1893	214714
108127	EPHA1_HUMAN	976	108127
49293	DRD1_HUMAN	446	49293
30773	A0A1L1UHR1_HUMAN	283	30773
35148	Q86WV4_HUMAN	302	35148
148098	ERBB3_HUMAN	1342	148098
25416	A0A140T963_HUMAN	221	25416
77329	V9HWG3_HUMAN	687	77329
458388	TENX_HUMAN	4244	458388
67796	ACES_HUMAN	614	67796
61873	IDS_HUMAN	550	61873
58994	A0A0S2Z3Z5_HUMAN	522	58994
87954	FGFR4_HUMAN	802	87954
22019	Q03837_HUMAN	200	22019
53837	Q5JVD3_HUMAN	467	53837
38096	F6IR58_HUMAN	337	38096
54974	GTR5_HUMAN	501	54974
89787	TGM1_HUMAN	817	89787
166012	MRC1_HUMAN	1456	166012
13085	E9PMX1_HUMAN	124	13085
33970	C0KTQ6_HUMAN	298	33970
26953	Q9NWJ5_HUMAN	235	26953
52002	GLRA2_HUMAN	452	52002
133277	JAK1_HUMAN	1154	133277
214760	PTPRD_HUMAN	1912	214760
73777	A0A140VK13_HUMAN	658	73777
90070	RIR1_HUMAN	792	90070
39272	A0A8I5KW29_HUMAN	350	39272
48990	H0YED8_HUMAN	444	48990
