diseaseid	disease_name	disease_class	disease_class_name	disease_semantic_type	hpo_name	do_name	source	num_genes	num_variants	num_diseases	type
C0004604	Back Pain	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom	Constitutional symptom; Abnormality of the skeletal system		GWASCAT	3	4	29	phenotype
C0004610	Bacteremia	C23;C01	   Pathological Conditions, Signs and Symptoms;    Infections	Disease or Syndrome	Abnormality of metabolism/homeostasis		GWASCAT	1	2	11	disease
C0004763	Barrett Esophagus	C06;C04	   Digestive System Diseases;    Neoplasms	Disease or Syndrome	Abnormality of the digestive system; Neoplasm	disease of anatomical entity	GWASCAT	16	31	82	disease
C0004936	Mental disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	15	28	47	group
C0004943	Behcet Syndrome	C16;C11;C17;C07;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Eye Diseases;    Skin and Connective Tissue Diseases;    Stomatognathic Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	10	17	81	disease
C0005411	Biliary Atresia	C16;C06	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases	Congenital Abnormality	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	2	2	15	disease
C0005586	Bipolar Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	213	366	361	disease
C0005612	Birth Weight	C23	   Pathological Conditions, Signs and Symptoms	Organism Attribute			GWASCAT	206	363	362	phenotype
C0005689	Bladder Exstrophy	C16;C13;C12	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the genitourinary system	disease of anatomical entity; physical disorder	GWASCAT	3	7	2	disease
C0005823	Blood Pressure			Organism Function			GWASCAT	30	36	191	phenotype
C0005833	Blood Sedimentation			Laboratory Procedure			GWASCAT	7	8	17	phenotype
C0005845	Blood urea nitrogen measurement			Laboratory Procedure			GWASCAT	90	174	308	phenotype
C0005848	Blood Viscosity			Physiologic Function			GWASCAT	1	1	8	phenotype
C0005890	Body Height			Organism Attribute			GWASCAT	1903	3972	670	phenotype
C0005893	Body mass index procedure			Diagnostic Procedure			GWASCAT	12	23	112	phenotype
C0005910	Body Weight	C23	   Pathological Conditions, Signs and Symptoms	Organism Attribute			GWASCAT	45	91	230	phenotype
C0005938	Bone Density			Clinical Attribute			GWASCAT	135	361	289	phenotype
C0006287	Bronchopulmonary Dysplasia	C16;C08	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Respiratory Tract Diseases	Disease or Syndrome			GWASCAT	3	4	18	disease
C0006370	Bulimia	C23	   Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	5	12	39	disease
C0006826	Malignant Neoplasms	C04	   Neoplasms	Neoplastic Process	Neoplasm	disease of cellular proliferation	GWASCAT	71	199	261	group
C0007095	Carcinoid Tumor	C04	   Neoplasms	Neoplastic Process	Abnormality of the nervous system; Abnormality of the endocrine system; Neoplasm		GWASCAT	1	1	4	phenotype
C0007102	Malignant tumor of colon	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	165	368	350	disease
C0007113	Rectal Carcinoma	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	2	3	disease
C0007117	Basal cell carcinoma	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	55	109	251	disease
C0007131	Non-Small Cell Lung Carcinoma	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process	Neoplasm; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	22	36	132	disease
C0007134	Renal Cell Carcinoma	C04;C13;C12	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	21	35	99	disease
C0007137	Squamous cell carcinoma	C04	   Neoplasms	Neoplastic Process	Abnormality of the integument; Neoplasm	disease of cellular proliferation	GWASCAT	29	43	177	disease
C0007193	Cardiomyopathy, Dilated	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	genetic disease; disease of anatomical entity	GWASCAT	2	2	3	group
C0007222	Cardiovascular Diseases	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	225	326	391	group
C0007286	Carpal Tunnel Syndrome	C10;C26	   Nervous System Diseases;    Wounds and Injuries	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	10	16	61	disease
C0007570	Celiac Disease	C06;C18	   Digestive System Diseases;    Nutritional and Metabolic Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	87	178	262	disease
C0007766	Intracranial Aneurysm	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the nervous system; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	42	60	169	disease
C0007930	Chagas Cardiomyopathy	C01;C14	   Infections;    Cardiovascular Diseases	Disease or Syndrome			GWASCAT	2	3	21	disease
C0008074	Child Development Disorders, Pervasive	F03	   Mental Disorders	Mental or Behavioral Dysfunction			GWASCAT	165	379	348	group
C0008312	Primary biliary cirrhosis	C23;C06	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	49	107	214	disease
C0008313	Cholangitis, Sclerosing	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	149	276	338	disease
C0008350	Cholelithiasis	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	8	1	9	disease
C0008677	Bronchitis, Chronic	C01;C08	   Infections;    Respiratory Tract Diseases	Disease or Syndrome	Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	6	9	48	disease
C0008810	Circadian Rhythms			Organism Function			GWASCAT	45	84	130	phenotype
C0008924	Cleft upper lip	C16;C07	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Stomatognathic Diseases	Congenital Abnormality	Abnormality of head or neck	disease of anatomical entity; syndrome; physical disorder	GWASCAT	45	98	148	disease
C0008925	Cleft Palate	C16;C05;C07	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases;    Stomatognathic Diseases	Congenital Abnormality		syndrome; physical disorder	GWASCAT	47	109	140	disease
C0009324	Ulcerative Colitis	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	genetic disease; disease of anatomical entity	GWASCAT	211	464	356	disease
C0009375	Colonic Neoplasms	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	3	12	group
C0009402	Colorectal Carcinoma	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	165	368	350	disease
C0009404	Colorectal Neoplasms	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	165	368	350	group
C0009447	Common Variable Immunodeficiency	C20	   Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	28	46	126	disease
C0009952	Febrile Convulsions	C23;C10	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system		GWASCAT	8	7	27	disease
C0010051	Coronary Aneurysm	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	8	9	25	disease
C0010068	Coronary heart disease	C14	   Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	86	169	365	disease
C0010346	Crohn Disease	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	genetic disease; disease of anatomical entity	GWASCAT	239	616	378	disease
C0010403	Cryoglobulinemia	C20;C15;C14	   Immune System Diseases;    Hemic and Lymphatic Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the immune system	disease of anatomical entity	GWASCAT	2	2	52	disease
C0010674	Cystic Fibrosis	C16;C06;C08	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases;    Respiratory Tract Diseases	Disease or Syndrome		genetic disease	GWASCAT	3	12	26	disease
C0010823	Cytomegalovirus Infections	C01	   Infections	Disease or Syndrome			GWASCAT	1	1	12	group
C0011269	Dementia, Vascular	C10;F03;C14	   Nervous System Diseases;    Mental Disorders;    Cardiovascular Diseases	Disease or Syndrome		disease of mental health	GWASCAT	3	3	45	disease
C0011334	Dental caries	C07	   Stomatognathic Diseases	Disease or Syndrome	Abnormality of head or neck	disease of anatomical entity	GWASCAT	40	64	128	disease
C0011615	Dermatitis, Atopic	C16;C17;C20	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Skin and Connective Tissue Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of the immune system	disease of anatomical entity	GWASCAT	44	89	219	disease
C0011633	Dermatomyositis	C17;C05;C10	   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	4	25	disease
C0011847	Diabetes	C19	   Endocrine System Diseases	Disease or Syndrome		disease of metabolism	GWASCAT	63	104	331	disease
C0011849	Diabetes Mellitus	C18;C19	   Nutritional and Metabolic Diseases;    Endocrine System Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the endocrine system	disease of metabolism	GWASCAT	63	104	331	group
C0011854	Diabetes Mellitus, Insulin-Dependent	C18;C20;C19	   Nutritional and Metabolic Diseases;    Immune System Diseases;    Endocrine System Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the endocrine system	genetic disease; disease of metabolism	GWASCAT	104	198	331	disease
C0011860	Diabetes Mellitus, Non-Insulin-Dependent	C18;C19	   Nutritional and Metabolic Diseases;    Endocrine System Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the endocrine system	disease of metabolism	GWASCAT	353	844	492	disease
C0011881	Diabetic Nephropathy	C13;C12;C19	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases;    Endocrine System Diseases	Disease or Syndrome			GWASCAT	12	21	68	disease
C0011884	Diabetic Retinopathy	C11;C19;C14	   Eye Diseases;    Endocrine System Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	11	31	47	disease
C0011904	Diagnostic Techniques, Cardiovascular			Diagnostic Procedure			GWASCAT	6	6	44	phenotype
C0011991	Diarrhea	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	3	3	31	phenotype
C0012242	Digestive System Disorders	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	4	8	54	group
C0012715	Iron Metabolism Disorders	C18	   Nutritional and Metabolic Diseases	Disease or Syndrome		genetic disease; disease of metabolism	GWASCAT	1	1	18	group
C0012813	Diverticulitis	C06	   Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	5	8	41	disease
C0013124	Drinking behavior processes	F01	   Behavior and Behavior Mechanisms	Individual Behavior			GWASCAT	3	3	48	disease
C0013146	Drug abuse	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	1	1	6	group
C0013264	Muscular Dystrophy, Duchenne	C16;C05;C10	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	8	13	38	disease
C0013295	Duodenal Ulcer	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	3	2	65	disease
C0013312	Dupuytren Contracture	C04;C17;C05	   Neoplasms;    Skin and Connective Tissue Diseases;    Musculoskeletal Diseases	Disease or Syndrome	Abnormality of limbs; Abnormality of the skeletal system; Abnormality of connective tissue; Abnormality of the musculature		GWASCAT	19	33	46	disease
C0013473	Eating Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	6	11	22	group
C0013595	Eczema	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument; Abnormality of the immune system	disease of anatomical entity	GWASCAT	129	198	310	disease
C0013990	Pathological accumulation of air in tissues	C23	   Pathological Conditions, Signs and Symptoms	Pathologic Function			GWASCAT	1	6	2	phenotype
C0014170	Endometrial Neoplasms	C04;C13	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	12	17	113	group
C0014175	Endometriosis	C13	   Female Urogenital Diseases and Pregnancy Complications	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	35	74	183	disease
C0014518	Toxic Epidermal Necrolysis	C17;C20;C25;C07	   Skin and Connective Tissue Diseases;    Immune System Diseases;    Chemically-Induced Disorders;    Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	8	14	104	disease
C0014544	Epilepsy	C10	   Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	17	54	89	disease
C0014547	Epilepsies, Partial	C10	   Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	6	26	disease
C0014548	Epilepsy, Generalized	C10	   Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	8	14	35	disease
C0014743	Erythema Nodosum	C17;C20;C25	   Skin and Connective Tissue Diseases;    Immune System Diseases;    Chemically-Induced Disorders	Disease or Syndrome	Abnormality of the integument; Abnormality of the immune system		GWASCAT	1	1	1	disease
C0014772	Red Blood Cell Count measurement			Laboratory Procedure			GWASCAT	685	1141	546	phenotype
C0014859	Esophageal Neoplasms	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	17	27	157	group
C0015382	Extraversion (Psychology)	F01	   Behavior and Behavior Mechanisms	Mental Process			GWASCAT	3	4	20	phenotype
C0015396	Eye Color			Organism Attribute			GWASCAT	12	21	72	phenotype
C0015745	Feeding behaviors	F01	   Behavior and Behavior Mechanisms	Organism Function			GWASCAT	3	7	24	phenotype
C0015944	Fetal Membranes, Premature Rupture	C13	   Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	Abnormality of prenatal development or birth		GWASCAT	14	21	63	phenotype
C0016529	Forced expiratory volume function			Organ or Tissue Function			GWASCAT	264	1145	424	phenotype
C0016781	Fuchs Endothelial Dystrophy	C16;C11	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	6	8	52	disease
C0016978	gallbladder neoplasm	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	4	28	disease
C0017154	Gastritis, Atrophic	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	2	2	7	disease
C0017168	Gastroesophageal reflux disease	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	19	29	173	disease
C0017178	Gastrointestinal Diseases	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system	disease of anatomical entity	GWASCAT	4	8	54	group
C0017205	Gaucher Disease	C16;C18;C10	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Nervous System Diseases	Disease or Syndrome		genetic disease; disease of metabolism	GWASCAT	1	1	4	disease
C0017565	Gingival Hemorrhage	C23;C07	   Pathological Conditions, Signs and Symptoms;    Stomatognathic Diseases	Pathologic Function	Abnormality of blood and blood-forming tissues; Abnormality of head or neck		GWASCAT	2	2	23	phenotype
C0017601	Glaucoma	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	29	65	177	disease
C0017606	Primary angle-closure glaucoma	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	7	8	47	disease
C0017612	Glaucoma, Open-Angle	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye	disease of anatomical entity	GWASCAT	40	87	237	disease
C0017636	Glioblastoma	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	13	20	120	disease
C0017638	Glioma	C04	   Neoplasms	Neoplastic Process	Abnormality of the nervous system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	29	49	155	disease
C0017654	Glomerular Filtration Rate			Diagnostic Procedure			GWASCAT	399	1031	485	phenotype
C0017661	IGA Glomerulonephritis	C13;C12;C20	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	17	30	155	disease
C0017665	Membranous glomerulonephritis	C13;C12;C20	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases;    Immune System Diseases	Disease or Syndrome	Abnormality of the genitourinary system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	22	23	165	disease
C0017668	Focal glomerulosclerosis	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	1	1	3	disease
C0017741	Glucose tolerance test			Laboratory Procedure			GWASCAT	17	28	131	phenotype
C0017979	Glycosuria	C18;C13;C12	   Nutritional and Metabolic Diseases;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Finding	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system		GWASCAT	7	7	63	phenotype
C0018099	Gout	C16;C18;C05	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	55	92	247	disease
C0018213	Graves Disease	C11;C20;C19	   Eye Diseases;    Immune System Diseases;    Endocrine System Diseases	Disease or Syndrome	Abnormality of the endocrine system	disease of anatomical entity	GWASCAT	33	57	208	disease
C0018498	Hair Color			Organism Attribute			GWASCAT	126	294	251	phenotype
C0018621	Hay fever	C08;C20;C09	   Respiratory Tract Diseases;    Immune System Diseases;    Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of head or neck	disease of anatomical entity	GWASCAT	11	25	102	disease
C0018671	Head and Neck Neoplasms	C04	   Neoplasms	Neoplastic Process	Neoplasm	disease of cellular proliferation	GWASCAT	4	5	42	group
C0018681	Headache	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom	Abnormality of the nervous system		GWASCAT	18	28	104	phenotype
C0018781	Noise-induced hearing loss	C23;C10;C09	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Otorhinolaryngologic Diseases	Injury or Poisoning			GWASCAT	1	1	2	disease
C0018798	Congenital Heart Defects	C16;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases	Congenital Abnormality	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	3	13	48	group
C0018800	Cardiomegaly	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Finding	Abnormality of the cardiovascular system		GWASCAT	5	10	41	phenotype
C0018801	Heart failure	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	38	82	252	disease
C0018803	Heart Function Tests			Diagnostic Procedure			GWASCAT	8	14	53	phenotype
C0018810	heart rate			Clinical Attribute			GWASCAT	34	101	143	phenotype
C0018935	Hematocrit procedure			Laboratory Procedure			GWASCAT	138	216	417	phenotype
C0018965	Hematuria	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system		GWASCAT	4	3	18	phenotype
C0019100	Severe Dengue	C01	   Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	4	4	64	disease
C0019158	Hepatitis	C06	   Digestive System Diseases	Disease or Syndrome	Abnormality of the digestive system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	4	9	47	group
C0019163	Hepatitis B	C06;C01	   Digestive System Diseases;    Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	14	17	131	disease
C0019196	Hepatitis C	C06;C01	   Digestive System Diseases;    Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	15	32	42	disease
C0019294	Hernia, Inguinal	C23	   Pathological Conditions, Signs and Symptoms	Anatomical Abnormality	Abnormality of the digestive system; Abnormality of connective tissue	disease of anatomical entity	GWASCAT	2	4	7	phenotype
C0019337	Heroin Dependence	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	4	5	30	disease
C0019360	Herpes zoster disease	C01	   Infections	Disease or Syndrome		disease of anatomical entity; disease by infectious agent	GWASCAT	6	10	100	group
