	Modularity	ClusteringCoeff	Homogeneity	Cluster_size
Cluster7-0	0.02868773898851656	0.22089220303506013	0.0035494315726198045	28
Cluster3-31	0.00536493518785046	0.21527777777777776	0.03425851727658747	28
Cluster6-2	0.032135990833526584	0.8335286452677758	0.016429337896768554	28
Cluster2-42	0.012215729528007747	0.5808879612451042	0.019381236069269153	28
Cluster2-43	0.018527026904384545	0.5268947322518751	0.007268141689089749	28
Cluster3-32	0.015569551313584394	0.4545147239591683	0.015643703018565155	27
Cluster3-33	0.008084068630236913	0.4530570252792475	0.037680665378673026	27
Cluster3-34	0.009440062424016805	0.25249318582651914	0.01586992254415499	27
Cluster4-14	0.046732590293076845	0.9040901771336552	0.009404684025156226	27
Cluster2-44	0.00827108575173526	0.500920634920635	0.01903830565748855	25
Cluster5-7	0.012363233388955298	0.6837113997113997	0.03541526933925654	25
Cluster4-15	0.028037858165997936	0.8612521499828002	0.03173437157230574	25
Cluster2-45	0.006200370794487197	0.29078787878787876	0.03593958832164746	25
Cluster5-8	0.012022399480963659	0.6607753357753358	0.013218153787692996	24
Cluster2-46	0.005876572363192275	0.07564935064935065	0.03431949251281804	24
Cluster6-3	0.0182679858980022	0.7051022370875312	0.0035743860531323828	24
Cluster4-16	0.025229265857488487	0.8881679903082514	0.016965264653776912	23
Cluster3-35	0.004322032349857647	0.15942028985507248	0.028523436133247936	23
Cluster3-36	0.013335879961216941	0.46913774631165944	0.010795982630817042	23
Cluster2-47	0.005861455262079308	0.5115464245899028	0.012754530281273298	23
Cluster4-17	0.011168605509948512	0.7639751552795032	0.01772914418785228	23
Cluster3-37	0.013431218328146702	0.5859852707678795	0.010751506870753923	23
Cluster1-32	0.005681180721955031	0.34470457079152733	0.0336245727846043	23
Cluster5-11	0.013458173577999742	0.5660175573219051	0.007542907551685168	23
Cluster2-48	0.006573639948596801	0.14848484848484847	0.026596157641405372	22
Cluster3-38	0.00639685165093813	0.43787878787878787	0.024455712571721896	22
Cluster2-49	0.00415557086771865	0.24898989898989898	0.048709408808599315	22
Cluster3-39	0.015131177994771188	0.8116661116661117	0.02368726879655415	22
Cluster3-40	0.00466172050897414	0.23787878787878783	0.02298552249618252	22
Cluster1-33	0.004834724820216123	0.2735537190082645	0.024108865346076022	22
Cluster2-50	0.01053132792505683	0.6444444444444444	0.023898312838812844	21
Cluster5-9	0.016117667776304384	0.7565069850784135	0.016235895990097667	21
Cluster2-51	0.00501967280969969	0.2682539682539683	0.02716686132149985	21
Cluster5-10	0.02955148665288484	0.899749373433584	0.02698885780017037	21
Cluster1-34	0.003976830274279201	0.18888888888888888	0.02888374156681413	21
Cluster2-52	0.005517308481517522	0.16099773242630386	0.023426992870162255	21
Cluster2-53	0.004157587234982619	0.3289285714285714	0.02105010404155277	20
Cluster3-41	0.005021108764704407	0.5211038961038962	0.026209779968917397	20
Cluster3-42	0.016695490793741864	0.7207634470792366	0.008384586933491875	19
Cluster2-54	0.0037983384289508914	0.12397660818713448	0.012064675094336534	19
Cluster1-35	0.0037971776044326087	0.0649122807017544	0.03875217765171434	19
Cluster4-18	0.009479530457638302	0.6448378781712115	0.029735331453781006	18
Cluster2-55	0.004482772625442203	0.2683760683760684	0.022487045079902197	18
Cluster3-43	0.019198888014534968	0.8457570207570209	0.01706120370498254	18
Cluster5-12	0.005670326258927027	0.435978835978836	0.01633669884431032	18
Cluster4-19	0.007563144858748837	0.5463771522595052	0.016838531804570667	17
Cluster3-44	0.00433044455870444	0.09173669467787114	0.0474073000430428	17
Cluster2-56	0.004665968071416077	0.32306255835667597	0.019167658187913262	17
Cluster2-57	0.003110105170399756	0.24719887955182074	0.026827473814526315	17
Cluster3-45	0.007429634963503756	0.7519013666072489	0.044080633001219505	17
Cluster2-58	0.003637044123482599	0.3686274509803922	0.023382814405647535	17
Cluster6-4	0.011961648408203508	0.7353933648051294	0.004807249546871109	17
Cluster3-46	0.014305850606829148	0.8996794871794872	0.02286179559668122	16
Cluster3-47	0.016159220017583575	0.8793498168498168	0.010470679012345678	16
Cluster2-59	0.0029354839964359737	0.17083333333333334	0.012555028549797958	16
Cluster2-60	0.00415719903717294	0.26666666666666666	0.028498948385794795	16
Cluster3-48	0.007773092033393911	0.7415178571428572	0.03680610050470696	16
Cluster1-36	0.0038041840095607354	0.3041666666666667	0.03327215629881885	16
Cluster1-37	0.003803690282249434	0.50625	0.022618821450634558	16
Cluster2-61	0.003965874050660219	0.09226190476190477	0.01812718185437487	16
Cluster1-38	0.003106543549718692	0.12723214285714285	0.030858254981471493	16
Cluster2-62	0.00432461405373751	0.4674074074074073	0.006337016475370795	15
Cluster2-63	0.008618368266060644	0.6072727272727272	0.00989555612454772	15
Cluster1-39	0.003099578602608996	0.3242424242424242	0.014540072409843003	15
Cluster5-13	0.004997907349982003	0.5570370370370371	0.01685088363995343	15
Cluster1-40	0.013452297846103627	0.9058441558441557	0.015740314971927658	14
Cluster2-64	0.008469974942170487	0.6629097093382808	0.01960839464186062	14
Cluster1-41	0.004149962728487455	0.5857142857142856	0.041828631165494956	14
Cluster3-49	0.007263079258595517	0.8267006802721089	0.054420600682564574	14
Cluster2-65	0.0031201003217714287	0.2619047619047619	0.021034230884081434	14
Cluster4-20	0.002599734349077845	0.10714285714285714	0.02258477922468959	14
Cluster3-50	0.005877838717212291	0.6503401360544218	0.021439041966676096	14
Cluster3-51	0.005539092785789103	0.8434065934065933	0.023169882148516733	13
Cluster2-66	0.003282265245628433	0.31794871794871793	0.007258196615809319	13
Cluster3-52	0.002427585580581548	0.158974358974359	0.05676400918326293	13
Cluster3-53	0.0025798910338546625	0.2371794871794872	0.024639636702570605	13
Cluster3-54	0.008641298319207371	0.7564102564102565	0.029319406583080743	13
Cluster4-21	0.0022545888071610768	0.28333333333333327	0.040135947401377624	12
Cluster2-67	0.006735812410275429	0.7000000000000001	0.035483353962459614	12
Cluster2-68	0.0034658564272334997	0.7011363636363637	0.03277743395112274	12
Cluster5-14	0.004146751616508396	0.6857142857142856	0.0204701120421306	12
Cluster1-42	0.007955597768696265	0.890909090909091	0.008313765359219905	11
Cluster4-22	0.006574846000044382	0.797979797979798	0.05497012744813351	11
Cluster5-15	0.003797761785602507	0.551948051948052	0.029610944420387534	11
Cluster4-23	0.002077046727347696	0.3484848484848485	0.053179213947559034	11
Cluster3-55	0.001907882936184078	0.1	0.046346894059880246	10
Cluster3-56	0.001734241679021386	0.13333333333333336	0.040362670519744064	10
Cluster2-69	0.003110105170399756	0.765	0.025440311900945974	10
Cluster1-43	0.00208152419334677	0.0	0.024184014288180955	9
Cluster1-44	0.004158341017137329	0.9523809523809523	0.022289757770386425	9
Cluster3-57	0.0015614107376749713	0.16666666666666666	0.0993959587421126	9
Cluster3-58	0.0032856158073061425	0.798941798941799	0.013732332482332485	9
Cluster2-70	0.002081339516718821	0.36296296296296293	0.0734249264135114	9
Cluster1-45	0.004677323799577008	0.9642857142857143	0.04400628306878307	8
Cluster4-24	0.0017277290012045609	0.4125	0.0348616146840165	8
Cluster2-71	0.0013880408420879572	0.29166666666666663	0.04195013673091535	8
Cluster1-46	0.0017349050073174998	0.5	0.040363604649318936	7
Cluster1-47	0.0010413048198246854	0.0	0.020816964117751316	7
Cluster1-48	0.0012147500936271593	0.2952380952380952	0.1411222779278335	7
Cluster1-49	0.001908229675975216	0.8095238095238094	0.07358049920880609	7
Cluster2-72	0.002253944323418745	0.6761904761904763	0.039392913342493174	7
Cluster1-50	0.0008678293947361605	0.0	0.07701879704657483	6
Cluster1-51	0.0008678293947361605	0.0	0.1363473249859354	6
Cluster1-52	0.0008678293947361605	0.0	0.06886439650970463	6
Cluster4-25	0.0008677502476098333	0.0	0.040591820603856674	6
Cluster4-26	0.0012146407952147813	0.25	0.0529027005750432	6
Cluster3-59	0.0008677502476098333	0.0	0.05982056017252574	6
Cluster2-73	0.0015612637501548079	0.47222222222222227	0.033930138488962015	6
Cluster1-53	0.0012147500936271593	0.7666666666666666	0.11503818369453045	5
Cluster1-54	0.000694323818361252	0.0	0.022212466356616837	5
Cluster1-55	0.000694323818361252	0.0	0.01034186630168773	5
Cluster1-56	0.000694323818361252	0.0	0.028303663928663927	5
Cluster1-57	0.000694323818361252	0.0	0.02125	5
Cluster1-58	0.000694323818361252	0.0	0.09018505592688598	5
Cluster1-59	0.000694323818361252	0.0	0.042637806637806634	5
Cluster1-60	0.000694323818361252	0.0	0.0033333333333333335	5
Cluster5-16	0.0017345884188125237	1.0	0.09398148148148149	5
Cluster4-27	0.0008676635626619932	0.4333333333333333	0.011480916203138425	5
Cluster4-28	0.0006942597468781721	0.0	0.07875812921646254	5
Cluster1-61	0.000694323818361252	0.5833333333333334	0.12164794218472674	4
Cluster1-62	0.0008678293947361605	0.8333333333333333	0.0829816606777391	4
Cluster1-63	0.000694323818361252	0.5833333333333333	0.257805579496756	4
Cluster1-64	0.0005207880907001816	0.0	0.0712366506569036	4
Cluster1-65	0.0005207880907001816	0.0	0.042452609119275786	4
Cluster1-66	0.0005207880907001816	0.0	0.02072882784570091	4
Cluster1-67	0.0005207880907001816	0.0	0.10991044944175321	4
Cluster1-68	0.0005207880907001816	0.0	0.11370833608521373	4
Cluster4-29	0.0006942597468781721	0.5833333333333333	0.01728297743922744	4
Cluster3-60	0.0005207390948601271	0.0	0.015214613769825329	4
Cluster4-30	0.0005205468804106655	0.0	0.0	4
Cluster6-5	0.0010409995380520893	1.0	0.05847953216374269	4
Cluster0-0			0.016777480272553328	3202
