	ComplexID	ComplexName	GO ID	GO description	NumSubunits
50	126	CCT complex (chaperonin containing TCP1 complex)	GO:0050821;GO:0006457;GO:0005524;GO:0005737	protein stabilization;protein folding;ATP binding;cytoplasm	8
51	127	NDC80 kinetochore complex	GO:0000278;GO:0007059;GO:0000775	mitotic cell cycle;chromosome segregation;chromosome, centromeric region	4
52	129	PIDDsome complex	GO:0006919;GO:0006915	activation of cysteine-type endopeptidase activity involved in apoptotic process;apoptotic process	3
53	138	Telomere-associated protein complex	GO:0003677;GO:0051276;GO:0005634;GO:0000723;GO:0019048;GO:0009615	DNA binding;chromosome organization;nucleus;telomere maintenance;modulation by virus of host process;response to virus	6
54	140	E-box sequence-binding complex	GO:2001141;GO:0006355;GO:0022008;GO:0048699;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;neurogenesis;generation of neurons;nucleus	4
55	142	CD147-gamma-secretase complex	GO:0016485;GO:0023052;GO:0005886;GO:0005794	protein processing;signaling;plasma membrane;Golgi apparatus	5
56	143	APP695-APBB1-LRP1 complex	GO:0016485	protein processing	3
57	144	Gamma-BAR-AP1 complex	GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle	9
58	149	PBAF complex (Polybromo- and BAF containing complex)	GO:0006338;GO:0005634;GO:0003677;GO:0006355	chromatin remodeling;nucleus;DNA binding;regulation of DNA-templated transcription	10
59	152	TFIIE complex	GO:0006352;GO:2001141;GO:0006355;GO:0005634	DNA-templated transcription initiation;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	2
60	153	TFIIF complex (transcription factor IIF)	GO:0006352;GO:0000287;GO:0005524;GO:0005634	DNA-templated transcription initiation;magnesium ion binding;ATP binding;nucleus	2
61	155	TFIID complex	GO:0006352;GO:2001141;GO:0006355;GO:0003677;GO:0005634	DNA-templated transcription initiation;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;DNA binding;nucleus	9
62	156	Retrotranslocation complex	GO:0015031;GO:0140318	protein transport;protein transporter activity	3
63	159	Condensin I-PARP-1-XRCC1 complex	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	7
64	160	Condensin II	GO:0000278;GO:0030261;GO:0051276;GO:0005634	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	5
65	162	COG complex	GO:0006486;GO:0007030;GO:0005794;GO:0017119;GO:0016192	protein glycosylation;Golgi organization;Golgi apparatus;Golgi transport complex;vesicle-mediated transport	8
66	164	Cohesin-SA1 complex	GO:0000279;GO:0007059;GO:0003677;GO:0051276;GO:0005694;GO:0000278	M phase;chromosome segregation;DNA binding;chromosome organization;chromosome;mitotic cell cycle	4
67	166	Cohesin-SA2 complex	GO:0000279;GO:0007059;GO:0003677;GO:0005694;GO:0000278	M phase;chromosome segregation;DNA binding;chromosome;mitotic cell cycle	4
68	168	Protein-sorting ternary complex (EPS15, HGS, STAM2)	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	3
69	169	Protein-sorting ternary complex (EPS15, HGS, STAM1)	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	3
70	173	MRN complex	GO:0006308;GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634;GO:0004519;GO:0004527	DNA catabolic process;DNA repair;cell cycle checkpoint signaling;DNA binding;cellular response to DNA damage stimulus;nucleus;endonuclease activity;exonuclease activity	3
71	178	Respiratory chain complex I (holoenzyme), mitochondrial	GO:0022904;GO:0005743;GO:0006119;GO:0009060;GO:1902600	respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration;proton transmembrane transport	44
72	180	PNUTS-PPP1CA complex	GO:0004857	enzyme inhibitor activity	2
73	181	26S proteasome	GO:0043161;GO:0006511;GO:0005515;GO:0006950;GO:0005737;GO:0005634	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus	22
74	186	Wave-2 complex	GO:0007264;GO:0016477;GO:0030036;GO:0015629	small GTPase mediated signal transduction;cell migration;actin cytoskeleton organization;actin cytoskeleton	5
75	189	BAF complex	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;nucleus	13
76	190	Mitotic checkpoint complex	GO:0000075	cell cycle checkpoint signaling	4
77	192	PA28-20S proteasome	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	16
78	193	PA700-20S-PA28 complex	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	36
79	194	PA28gamma-20S proteasome	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	15
80	201	HUIC complex	GO:0000075;GO:0005634;GO:0051726	cell cycle checkpoint signaling;nucleus;regulation of cell cycle	2
81	205	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
82	207	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
83	208	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
84	209	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
85	210	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
86	211	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	5
87	213	DNA ligase IV-XRCC1 complex	GO:0006281;GO:0005634	DNA repair;nucleus	2
88	214	Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0007224;GO:0005783	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum	5
89	218	CRSP complex	GO:0045893;GO:0005515;GO:0005634	positive regulation of DNA-templated transcription;protein binding;nucleus	8
90	219	CAND1-CUL1-RBX1 complex	GO:0005515;GO:0010265;GO:0051444	protein binding;SCF complex assembly;negative regulation of ubiquitin-protein transferase activity	3
91	220	ARF-Mule complex	GO:0005515;GO:0005634	protein binding;nucleus	3
92	221	CAND1-CUL2-RBX1 complex	GO:0010265;GO:0051444	SCF complex assembly;negative regulation of ubiquitin-protein transferase activity	3
93	222	CAND1-CUL3-RBX1 complex	GO:0010265;GO:0051444	SCF complex assembly;negative regulation of ubiquitin-protein transferase activity	3
94	223	CAND1-CUL4A-RBX1 complex	GO:0010265;GO:0051444	SCF complex assembly;negative regulation of ubiquitin-protein transferase activity	3
95	224	CAND1-CUL4B-RBX1 complex	GO:0010265;GO:0051444	SCF complex assembly;negative regulation of ubiquitin-protein transferase activity	3
96	226	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	GO:0016567;GO:0005515;GO:0006511	protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process	3
97	227	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	GO:0016567;GO:0043161;GO:0045087;GO:0051607;GO:0043123;GO:0051092;GO:0019048	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;innate immune response;defense response to virus;positive regulation of I-kappaB kinase/NF-kappaB signaling;positive regulation of NF-kappaB transcription factor activity;modulation by virus of host process	3
98	228	SMCC complex	GO:0045893;GO:0045892;GO:0005634	positive regulation of DNA-templated transcription;negative regulation of DNA-templated transcription;nucleus	8
99	229	NAT complex	GO:0045892;GO:0005515;GO:0005634	negative regulation of DNA-templated transcription;protein binding;nucleus	7
100	230	Mediator complex	GO:0045893;GO:0005634	positive regulation of DNA-templated transcription;nucleus	32
101	232	ARC complex	GO:0045893;GO:0005515;GO:0035556;GO:0005634	positive regulation of DNA-templated transcription;protein binding;intracellular signal transduction;nucleus	15
102	234	HuCHRAC complex	GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005634	DNA topological change;protein binding;DNA binding;ATP binding;nucleus	4
103	236	WICH complex	GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005694	DNA topological change;protein binding;DNA binding;ATP binding;chromosome	2
104	238	SWI-SNF chromatin remodeling-related-BRCA1 complex	GO:0006265;GO:2001141;GO:0006355;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;chromosome organization;nucleus	10
105	240	BRCA1-CTIP-ZBRK1 repressor complex	GO:0045892;GO:0003677;GO:0005634	negative regulation of DNA-templated transcription;DNA binding;nucleus	3
106	242	BRCA1-BACH1 complex	GO:0006281;GO:0005634	DNA repair;nucleus	2
107	243	RalBP1-CDC2-CCNB1 complex	GO:0000278;GO:0006468;GO:0005634	mitotic cell cycle;protein phosphorylation;nucleus	3
108	244	BRAFT complex	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	13
109	245	FA core complex (Fanconi anemia core complex)	GO:0016567;GO:0016579;GO:0006974;GO:0005634	protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	9
110	246	BLM complex III	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	4
111	247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	GO:0000278;GO:0006897;GO:0005634	mitotic cell cycle;endocytosis;nucleus	5
112	248	BRAFT complex	GO:0051276;GO:0006281;GO:0016567;GO:0006974;GO:0005634	chromosome organization;DNA repair;protein ubiquitination;cellular response to DNA damage stimulus;nucleus	11
113	254	TBPIP/HOP2-MND1 complex	GO:0007131;GO:0000280;GO:0007059;GO:0003677;GO:0005515;GO:0005634;GO:0051321	reciprocal meiotic recombination;nuclear division;chromosome segregation;DNA binding;protein binding;nucleus;meiotic cell cycle	2
114	256	RAD51B-RAD51C complex	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;nucleus	2
115	261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	5
116	262	RAD51L3-XRCC2 complex	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	2
117	265	ATR-ATRIP complex	GO:0000075;GO:0003677;GO:0006974;GO:0005634	cell cycle checkpoint signaling;DNA binding;cellular response to DNA damage stimulus;nucleus	2
118	266	RAD17-RFC complex	GO:0000075;GO:0003677;GO:0005524;GO:0006974;GO:0005634	cell cycle checkpoint signaling;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	5
119	271	9-1-1 complex	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint signaling;cellular response to DNA damage stimulus;nucleus	3
120	274	9-1-1-RAD17-RFC complex	GO:0000077;GO:0003677;GO:0006974	DNA damage checkpoint signaling;DNA binding;cellular response to DNA damage stimulus	8
121	278	RFC core complex	GO:0006260;GO:0003677;GO:0005524;GO:0005634	DNA replication;DNA binding;ATP binding;nucleus	3
122	279	RFC complex	GO:0006260;GO:0003677;GO:0005524;GO:0005634;GO:0000075;GO:0006281	DNA replication;DNA binding;ATP binding;nucleus;cell cycle checkpoint signaling;DNA repair	5
123	280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	5
124	282	SNF2h-cohesin-NuRD complex	GO:0006265;GO:0003677;GO:0051276;GO:0005694	DNA topological change;DNA binding;chromosome organization;chromosome	16
125	283	SIN3 complex	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276	DNA topological change;negative regulation of DNA-templated transcription;protein acetylation;protein deacetylation;chromosome organization	7
126	285	PCNA-MLH1-PMS1 complex	GO:0006260;GO:0006281;GO:0005634	DNA replication;DNA repair;nucleus	3
127	286	PCNA-MSH2-MSH6 complex	GO:0006260;GO:0006281;GO:0005634	DNA replication;DNA repair;nucleus	3
128	287	ARC-L complex	GO:0005515;GO:0051090;GO:0005694	protein binding;regulation of DNA-binding transcription factor activity;chromosome	14
129	290	MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	4
130	291	MSH2-MLH1-PMS2 DNA-repair initiation complex	GO:0006281;GO:0003677;GO:0005634	DNA repair;DNA binding;nucleus	3
131	297	PCNA-DNA polymerase delta complex	GO:0006260;GO:0006281;GO:0005634	DNA replication;DNA repair;nucleus	5
132	298	VEGF transcriptional complex	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	4
133	299	CBP-IRF3 complex	GO:0006355	regulation of DNA-templated transcription	2
134	300	PC2 complex	GO:0045893;GO:0005515;GO:0005634	positive regulation of DNA-templated transcription;protein binding;nucleus	12
135	301	SMCC complex	GO:2001141;GO:0006355;GO:0005515;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein binding;nucleus	17
136	302	INO80 chromatin remodeling complex	GO:0006265;GO:0003677;GO:0005524;GO:0051276;GO:0005694	DNA topological change;DNA binding;ATP binding;chromosome organization;chromosome	13
137	304	SRCAP complex	GO:0006338;GO:0005634	chromatin remodeling;nucleus	10
138	305	40S ribosomal subunit, cytoplasmic	GO:0006412;GO:0005737	translation;cytoplasm	33
139	306	Ribosome, cytoplasmic	GO:0006412;GO:0005737	translation;cytoplasm	80
140	308	60S ribosomal subunit, cytoplasmic	GO:0006412;GO:0005737	translation;cytoplasm	47
141	310	Cell cycle kinase complex CDC2	GO:0000278	mitotic cell cycle	6
142	311	Cell cycle kinase complex CDK2	GO:0000278	mitotic cell cycle	4
143	312	Cell cycle kinase complex CDK4	GO:0000278	mitotic cell cycle	4
144	313	Cell cycle kinase complex CDK5	GO:0000278;GO:0006468	mitotic cell cycle;protein phosphorylation	5
145	314	PCNA-p21 complex	GO:0000075;GO:0005634	cell cycle checkpoint signaling;nucleus	2
146	315	28S ribosomal subunit, mitochondrial	GO:0006412;GO:0005759	translation;mitochondrial matrix	30
147	320	55S ribosome, mitochondrial	GO:0006412;GO:0005759	translation;mitochondrial matrix	78
148	322	DNA-PK-Ku complex	GO:0006468;GO:0046777;GO:0003677;GO:0005634;GO:0006303	protein phosphorylation;protein autophosphorylation;DNA binding;nucleus;double-strand break repair via nonhomologous end joining	3
149	324	39S ribosomal subunit, mitochondrial	GO:0006412;GO:0005759	translation;mitochondrial matrix	48
150	328	Ku antigen complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	2
151	335	p54(nrb)-PSF-matrin3 complex	GO:0003723;GO:0050658;GO:0051033;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nucleus	3
152	336	DNA ligase IV-XRCC4-AHNK complex	GO:0006281;GO:0006312;GO:0003677;GO:0005634	DNA repair;mitotic recombination;DNA binding;nucleus	3
153	338	40S ribosomal subunit, cytoplasmic	GO:0006412;GO:0005737	translation;cytoplasm	31
154	343	Sarcoglycan-sarcospan complex SG-SPN	GO:0006941;GO:0007517;GO:0005886	striated muscle contraction;muscle organ development;plasma membrane	5
155	348	DNA ligase IV-XRCC4 complex	GO:0003677;GO:0005634;GO:0006302	DNA binding;nucleus;double-strand break repair	2
156	350	DNA ligase IV-XRCC4-PNK complex	GO:0006281;GO:0005694	DNA repair;chromosome	3
157	353	DNA ligase IV-condensin complex	GO:0006281;GO:0007049;GO:0005694	DNA repair;cell cycle;chromosome	3
158	359	DNA ligase IV-XRCC4-XLF complex	GO:0006281;GO:0005634	DNA repair;nucleus	3
159	361	Artemis-DNA-PK complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634;GO:0004519;GO:0033151	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus;endonuclease activity;V(D)J recombination	2
160	362	DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	4
161	365	DNA ligase III-XRCC1 complex	GO:0006281;GO:0005634	DNA repair;nucleus	2
162	368	ERCC1-ERCC4-MSH2 complex	GO:0006308;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	3
163	369	MSH2-MSH6-PMS2-MLH1 complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	4
164	370	MSH2-MSH6-PMS1-MLH1 complex	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	4
