index,Network,Performance,parent,InteractionType,GeneSet
413,GM_domain,14.554890107040231,GeneMANIA,Domain,Performance_gwas
246,GM_colocal,14.543397433836503,GeneMANIA,Colocalization,Performance_gwas
498,GM_domain,14.512839187014553,GeneMANIA,Domain,Performance_gwas
938,GM_physical,14.507250637618942,GeneMANIA,Physical,Performance_gwas
976,GM_physical,14.414229595258195,GeneMANIA,Physical,Performance_gwas
720,GM_pathway,14.38601147480652,GeneMANIA,Pathway,Performance_gwas
1144,GM_predicted,14.373458341683424,GeneMANIA,Orthology,Performance_gwas
759,GM_pathway,14.337245322137164,GeneMANIA,Pathway,Performance_gwas
464,GM_domain,14.321920704861377,GeneMANIA,Domain,Performance_gwas
488,GM_domain,14.189542639233345,GeneMANIA,Domain,Performance_gwas
466,GM_domain,13.98434488398291,GeneMANIA,Domain,Performance_gwas
522,GM_domain,13.944557034704967,GeneMANIA,Domain,Performance_gwas
423,GM_domain,13.749954094814,GeneMANIA,Domain,Performance_gwas
456,GM_domain,13.68106031645632,GeneMANIA,Domain,Performance_gwas
499,GM_domain,13.64632112106982,GeneMANIA,Domain,Performance_gwas
449,GM_domain,13.565763169489466,GeneMANIA,Domain,Performance_gwas
290,GM_colocal,13.480864704940794,GeneMANIA,Colocalization,Performance_gwas
457,GM_domain,13.440116569253544,GeneMANIA,Domain,Performance_gwas
1033,GM_physical,13.31005249199,GeneMANIA,Physical,Performance_gwas
814,GM_pathway,13.257940500985464,GeneMANIA,Pathway,Performance_gwas
442,GM_domain,13.230378697143657,GeneMANIA,Domain,Performance_gwas
406,GM_domain,13.20141489003282,GeneMANIA,Domain,Performance_gwas
336,GM_colocal,13.118504502999125,GeneMANIA,Colocalization,Performance_gwas
387,GM_domain,13.033907929674204,GeneMANIA,Domain,Performance_gwas
458,GM_domain,12.9967516089196,GeneMANIA,Domain,Performance_gwas
1035,GM_physical,12.916141927859758,GeneMANIA,Physical,Performance_gwas
682,GM_genetic_90,12.778587410964857,GeneMANIA,Genetic,Performance_gwas
827,GM_pathway,12.7249409309328,GeneMANIA,Pathway,Performance_gwas
361,GM_domain,12.709095569377284,GeneMANIA,Domain,Performance_gwas
399,GM_domain,12.66316618849009,GeneMANIA,Domain,Performance_gwas
497,GM_domain,12.604996946346334,GeneMANIA,Domain,Performance_gwas
275,GM_colocal,12.60431012041366,GeneMANIA,Colocalization,Performance_gwas
418,GM_domain,12.511918827464164,GeneMANIA,Domain,Performance_gwas
743,GM_pathway,12.35998313300879,GeneMANIA,Pathway,Performance_gwas
1257,GM_predicted,12.308796528159576,GeneMANIA,Orthology,Performance_gwas
243,GM_colocal,12.274592536202126,GeneMANIA,Colocalization,Performance_gwas
935,GM_physical,12.248882700687911,GeneMANIA,Physical,Performance_gwas
911,GM_physical,12.197214039350268,GeneMANIA,Physical,Performance_gwas
1173,GM_predicted,12.12732956247954,GeneMANIA,Orthology,Performance_gwas
867,GM_pathway,12.107076075896018,GeneMANIA,Pathway,Performance_gwas
515,GM_domain,12.068704291006824,GeneMANIA,Domain,Performance_gwas
396,GM_domain,12.02305690034957,GeneMANIA,Domain,Performance_gwas
1209,GM_predicted,12.011542610727616,GeneMANIA,Orthology,Performance_gwas
1129,GM_predicted,11.939828549614022,GeneMANIA,Orthology,Performance_gwas
227,GM_colocal,11.894636317939865,GeneMANIA,Colocalization,Performance_gwas
370,GM_domain,11.871257907595142,GeneMANIA,Domain,Performance_gwas
789,GM_pathway,11.750553598651257,GeneMANIA,Pathway,Performance_gwas
1177,GM_predicted,11.69686929562375,GeneMANIA,Orthology,Performance_gwas
477,GM_domain,11.589644362426116,GeneMANIA,Domain,Performance_gwas
438,GM_domain,11.466044026932726,GeneMANIA,Domain,Performance_gwas
459,GM_domain,11.402064029798767,GeneMANIA,Domain,Performance_gwas
283,GM_colocal,11.374863586015929,GeneMANIA,Colocalization,Performance_gwas
327,GM_colocal,11.329383463516251,GeneMANIA,Colocalization,Performance_gwas
538,GM_domain,11.3044081355772,GeneMANIA,Domain,Performance_gwas
1107,GM_predicted,11.235292167688334,GeneMANIA,Orthology,Performance_gwas
525,GM_domain,11.175689750439991,GeneMANIA,Domain,Performance_gwas
817,GM_pathway,11.0970979679749,GeneMANIA,Pathway,Performance_gwas
954,GM_physical,11.07531266743532,GeneMANIA,Physical,Performance_gwas
391,GM_domain,11.043873092419974,GeneMANIA,Domain,Performance_gwas
425,GM_domain,11.036509661094048,GeneMANIA,Domain,Performance_gwas
394,GM_domain,11.03487638449698,GeneMANIA,Domain,Performance_gwas
426,GM_domain,10.989620279018716,GeneMANIA,Domain,Performance_gwas
1256,GM_predicted,10.882154015841284,GeneMANIA,Orthology,Performance_gwas
277,GM_colocal,10.873838442057345,GeneMANIA,Colocalization,Performance_gwas
485,GM_domain,10.824108256630224,GeneMANIA,Domain,Performance_gwas
220,GM_colocal,10.822989131586697,GeneMANIA,Colocalization,Performance_gwas
969,GM_physical,10.822069222772436,GeneMANIA,Physical,Performance_gwas
1253,GM_predicted,10.7972883852194,GeneMANIA,Orthology,Performance_gwas
409,GM_domain,10.785889323756106,GeneMANIA,Domain,Performance_gwas
1178,GM_predicted,10.736682860092554,GeneMANIA,Orthology,Performance_gwas
889,GM_pathway,10.67435005307581,GeneMANIA,Pathway,Performance_gwas
368,GM_domain,10.650048287509016,GeneMANIA,Domain,Performance_gwas
1119,GM_predicted,10.649009164174396,GeneMANIA,Orthology,Performance_gwas
1255,GM_predicted,10.582012926721916,GeneMANIA,Orthology,Performance_gwas
1052,GM_physical,10.484825242594,GeneMANIA,Physical,Performance_gwas
852,GM_pathway,10.39484142754521,GeneMANIA,Pathway,Performance_gwas
537,GM_domain,10.388131055013856,GeneMANIA,Domain,Performance_gwas
211,GM_colocal,10.387943696587676,GeneMANIA,Colocalization,Performance_gwas
853,GM_pathway,10.38336522382208,GeneMANIA,Pathway,Performance_gwas
765,GM_pathway,10.337177717346542,GeneMANIA,Pathway,Performance_gwas
520,GM_domain,10.30253921154253,GeneMANIA,Domain,Performance_gwas
758,GM_pathway,10.225266073503272,GeneMANIA,Pathway,Performance_gwas
1229,GM_predicted,10.214770254432532,GeneMANIA,Orthology,Performance_gwas
420,GM_domain,10.171599210923686,GeneMANIA,Domain,Performance_gwas
1014,GM_physical,10.117357663669097,GeneMANIA,Physical,Performance_gwas
1195,GM_predicted,10.063548005538886,GeneMANIA,Orthology,Performance_gwas
378,GM_domain,9.970965147739756,GeneMANIA,Domain,Performance_gwas
768,GM_pathway,9.908279260582626,GeneMANIA,Pathway,Performance_gwas
375,GM_domain,9.905425596406603,GeneMANIA,Domain,Performance_gwas
64,GM_coexp_97,9.812163967137888,GeneMANIA,Coexpression,Performance_gwas
1010,GM_physical,9.801362861348585,GeneMANIA,Physical,Performance_gwas
465,GM_domain,9.773315935604645,GeneMANIA,Domain,Performance_gwas
1091,GM_predicted,9.76179055276656,GeneMANIA,Orthology,Performance_gwas
785,GM_pathway,9.735677562565831,GeneMANIA,Pathway,Performance_gwas
830,GM_pathway,9.717333401769954,GeneMANIA,Pathway,Performance_gwas
487,GM_domain,9.67544864427885,GeneMANIA,Domain,Performance_gwas
421,GM_domain,9.672214288146662,GeneMANIA,Domain,Performance_gwas
224,GM_colocal,9.666955001870347,GeneMANIA,Colocalization,Performance_gwas
416,GM_domain,9.635313710073968,GeneMANIA,Domain,Performance_gwas
835,GM_pathway,9.627634465194395,GeneMANIA,Pathway,Performance_gwas
533,GM_domain,9.622929654160112,GeneMANIA,Domain,Performance_gwas
256,GM_colocal,9.544230804665233,GeneMANIA,Colocalization,Performance_gwas
1179,GM_predicted,9.518090103415371,GeneMANIA,Orthology,Performance_gwas
481,GM_domain,9.498036960279046,GeneMANIA,Domain,Performance_gwas
310,GM_colocal,9.438850617437335,GeneMANIA,Colocalization,Performance_gwas
215,GM_colocal,9.436779602598598,GeneMANIA,Colocalization,Performance_gwas
249,GM_colocal,9.37267921863658,GeneMANIA,Colocalization,Performance_gwas
355,GM_colocal,9.371761840506595,GeneMANIA,Colocalization,Performance_gwas
766,GM_pathway,9.357750208947024,GeneMANIA,Pathway,Performance_gwas
763,GM_pathway,9.352755151194396,GeneMANIA,Pathway,Performance_gwas
752,GM_pathway,9.31104675501501,GeneMANIA,Pathway,Performance_gwas
340,GM_colocal,9.30508735206362,GeneMANIA,Colocalization,Performance_gwas
377,GM_domain,9.299151893366574,GeneMANIA,Domain,Performance_gwas
365,GM_domain,9.298388946314311,GeneMANIA,Domain,Performance_gwas
511,GM_domain,9.2875955683104,GeneMANIA,Domain,Performance_gwas
248,GM_colocal,9.276284137832764,GeneMANIA,Colocalization,Performance_gwas
362,GM_domain,9.17715579732564,GeneMANIA,Domain,Performance_gwas
1053,GM_physical,9.167182319471262,GeneMANIA,Physical,Performance_gwas
927,GM_physical,9.144447297996486,GeneMANIA,Physical,Performance_gwas
818,GM_pathway,9.092396107916484,GeneMANIA,Pathway,Performance_gwas
404,GM_domain,9.03946510785164,GeneMANIA,Domain,Performance_gwas
535,GM_domain,9.034765171199297,GeneMANIA,Domain,Performance_gwas
1007,GM_physical,9.01683100046976,GeneMANIA,Physical,Performance_gwas
507,GM_domain,9.01597930679087,GeneMANIA,Domain,Performance_gwas
850,GM_pathway,9.000963365150879,GeneMANIA,Pathway,Performance_gwas
274,GM_colocal,8.95398903224574,GeneMANIA,Colocalization,Performance_gwas
1088,GM_predicted,8.904049958548262,GeneMANIA,Orthology,Performance_gwas
1180,GM_predicted,8.893876238596556,GeneMANIA,Orthology,Performance_gwas
1246,GM_predicted,8.868938884420343,GeneMANIA,Orthology,Performance_gwas
1127,GM_predicted,8.801077197206123,GeneMANIA,Orthology,Performance_gwas
796,GM_pathway,8.772092210528102,GeneMANIA,Pathway,Performance_gwas
1141,GM_predicted,8.767847314978926,GeneMANIA,Orthology,Performance_gwas
536,GM_domain,8.761635160926565,GeneMANIA,Domain,Performance_gwas
820,GM_pathway,8.759326047540068,GeneMANIA,Pathway,Performance_gwas
903,GM_physical,8.750297490414603,GeneMANIA,Physical,Performance_gwas
761,GM_pathway,8.749480611807327,GeneMANIA,Pathway,Performance_gwas
726,GM_pathway,8.713454893440458,GeneMANIA,Pathway,Performance_gwas
1095,GM_predicted,8.675070084745903,GeneMANIA,Orthology,Performance_gwas
1098,GM_predicted,8.628158955405532,GeneMANIA,Orthology,Performance_gwas
475,GM_domain,8.543393484548012,GeneMANIA,Domain,Performance_gwas
1145,GM_predicted,8.518977704691155,GeneMANIA,Orthology,Performance_gwas
315,GM_colocal,8.509608254203734,GeneMANIA,Colocalization,Performance_gwas
848,GM_pathway,8.466492625212519,GeneMANIA,Pathway,Performance_gwas
412,GM_domain,8.431385977727906,GeneMANIA,Domain,Performance_gwas
271,GM_colocal,8.397709685965083,GeneMANIA,Colocalization,Performance_gwas
539,GM_domain,8.364176386985537,GeneMANIA,Domain,Performance_gwas
445,GM_domain,8.352823169487703,GeneMANIA,Domain,Performance_gwas
1089,GM_predicted,8.312645675978937,GeneMANIA,Orthology,Performance_gwas
1232,GM_predicted,8.281143346077684,GeneMANIA,Orthology,Performance_gwas
467,GM_domain,8.21710320746692,GeneMANIA,Domain,Performance_gwas
997,GM_physical,8.10275770054939,GeneMANIA,Physical,Performance_gwas
750,GM_pathway,8.100011574150102,GeneMANIA,Pathway,Performance_gwas
1081,GM_predicted,8.07494561573256,GeneMANIA,Orthology,Performance_gwas
1240,GM_predicted,8.067746749076882,GeneMANIA,Orthology,Performance_gwas
453,GM_domain,8.046864896738526,GeneMANIA,Domain,Performance_gwas
472,GM_domain,8.017925947434087,GeneMANIA,Domain,Performance_gwas
1009,GM_physical,7.947210573491368,GeneMANIA,Physical,Performance_gwas
222,GM_colocal,7.938467277683927,GeneMANIA,Colocalization,Performance_gwas
764,GM_pathway,7.938175161783661,GeneMANIA,Pathway,Performance_gwas
1183,GM_predicted,7.923608459164082,GeneMANIA,Orthology,Performance_gwas
786,GM_pathway,7.879109740812296,GeneMANIA,Pathway,Performance_gwas
781,GM_pathway,7.8739171108234,GeneMANIA,Pathway,Performance_gwas
1084,GM_predicted,7.870906030862591,GeneMANIA,Orthology,Performance_gwas
255,GM_colocal,7.858312386741096,GeneMANIA,Colocalization,Performance_gwas
239,GM_colocal,7.8521870273270435,GeneMANIA,Colocalization,Performance_gwas
489,GM_domain,7.838872646202345,GeneMANIA,Domain,Performance_gwas
1117,GM_predicted,7.821476495903377,GeneMANIA,Orthology,Performance_gwas
978,GM_physical,7.817137808697481,GeneMANIA,Physical,Performance_gwas
468,GM_domain,7.803285943156664,GeneMANIA,Domain,Performance_gwas
478,GM_domain,7.787114048887282,GeneMANIA,Domain,Performance_gwas
1094,GM_predicted,7.722072173523021,GeneMANIA,Orthology,Performance_gwas
1087,GM_predicted,7.7076562748917725,GeneMANIA,Orthology,Performance_gwas
476,GM_domain,7.692665783511377,GeneMANIA,Domain,Performance_gwas
1186,GM_predicted,7.674194795398219,GeneMANIA,Orthology,Performance_gwas
1146,GM_predicted,7.513191901161794,GeneMANIA,Orthology,Performance_gwas
400,GM_domain,7.468717826348047,GeneMANIA,Domain,Performance_gwas
1108,GM_predicted,7.466652507511172,GeneMANIA,Orthology,Performance_gwas
974,GM_physical,7.464636500690013,GeneMANIA,Physical,Performance_gwas
372,GM_domain,7.4613067541186195,GeneMANIA,Domain,Performance_gwas
1083,GM_predicted,7.441074461464723,GeneMANIA,Orthology,Performance_gwas
1102,GM_predicted,7.378263548825633,GeneMANIA,Orthology,Performance_gwas
679,GM_genetic_90,7.367505318470635,GeneMANIA,Genetic,Performance_gwas
991,GM_physical,7.285860922851557,GeneMANIA,Physical,Performance_gwas
330,GM_colocal,7.222167617582024,GeneMANIA,Colocalization,Performance_gwas
739,GM_pathway,7.21047223298573,GeneMANIA,Pathway,Performance_gwas
496,GM_domain,7.193052849467881,GeneMANIA,Domain,Performance_gwas
1185,GM_predicted,7.188370781464031,GeneMANIA,Orthology,Performance_gwas
534,GM_domain,7.181284103223287,GeneMANIA,Domain,Performance_gwas
408,GM_domain,7.179724250771647,GeneMANIA,Domain,Performance_gwas
85,GM_coexp_97,7.161666814181989,GeneMANIA,Coexpression,Performance_gwas
807,GM_pathway,7.121849895133617,GeneMANIA,Pathway,Performance_gwas
995,GM_physical,7.087260220086286,GeneMANIA,Physical,Performance_gwas
732,GM_pathway,7.086440638545398,GeneMANIA,Pathway,Performance_gwas
393,GM_domain,7.065446927011174,GeneMANIA,Domain,Performance_gwas
346,GM_colocal,7.064400548151895,GeneMANIA,Colocalization,Performance_gwas
760,GM_pathway,7.0586833520191,GeneMANIA,Pathway,Performance_gwas
1100,GM_predicted,7.051048798643127,GeneMANIA,Orthology,Performance_gwas
501,GM_domain,7.017657866931544,GeneMANIA,Domain,Performance_gwas
944,GM_physical,7.002805541410852,GeneMANIA,Physical,Performance_gwas
972,GM_physical,6.966873731257293,GeneMANIA,Physical,Performance_gwas
1202,GM_predicted,6.950008560094013,GeneMANIA,Orthology,Performance_gwas
1116,GM_predicted,6.937653155433636,GeneMANIA,Orthology,Performance_gwas
1061,GM_physical,6.916625919875115,GeneMANIA,Physical,Performance_gwas
252,GM_colocal,6.913926485707159,GeneMANIA,Colocalization,Performance_gwas
342,GM_colocal,6.909484306832394,GeneMANIA,Colocalization,Performance_gwas
1155,GM_predicted,6.906767064697696,GeneMANIA,Orthology,Performance_gwas
424,GM_domain,6.888565906946036,GeneMANIA,Domain,Performance_gwas
721,GM_pathway,6.877955953470405,GeneMANIA,Pathway,Performance_gwas
939,GM_physical,6.872798970456852,GeneMANIA,Physical,Performance_gwas
322,GM_colocal,6.837968970062355,GeneMANIA,Colocalization,Performance_gwas
1060,GM_physical,6.835678000656602,GeneMANIA,Physical,Performance_gwas
738,GM_pathway,6.760512288161199,GeneMANIA,Pathway,Performance_gwas
729,GM_pathway,6.759337232664633,GeneMANIA,Pathway,Performance_gwas
1218,GM_predicted,6.758433030734238,GeneMANIA,Orthology,Performance_gwas
469,GM_domain,6.723439862873391,GeneMANIA,Domain,Performance_gwas
68,GM_coexp_97,6.688479037690875,GeneMANIA,Coexpression,Performance_gwas
936,GM_physical,6.637574904044116,GeneMANIA,Physical,Performance_gwas
1200,GM_predicted,6.613041557224353,GeneMANIA,Orthology,Performance_gwas
432,GM_domain,6.611631702361517,GeneMANIA,Domain,Performance_gwas
1207,GM_predicted,6.601048224344545,GeneMANIA,Orthology,Performance_gwas
521,GM_domain,6.563650893467392,GeneMANIA,Domain,Performance_gwas
403,GM_domain,6.5548599906174525,GeneMANIA,Domain,Performance_gwas
286,GM_colocal,6.54018765496131,GeneMANIA,Colocalization,Performance_gwas
723,GM_pathway,6.512586210200298,GeneMANIA,Pathway,Performance_gwas
1028,GM_physical,6.511938963415315,GeneMANIA,Physical,Performance_gwas
448,GM_domain,6.507137273730382,GeneMANIA,Domain,Performance_gwas
1073,GM_physical,6.505122324427722,GeneMANIA,Physical,Performance_gwas
359,GM_colocal,6.484157040166759,GeneMANIA,Colocalization,Performance_gwas
550,GM_genetic_90,6.447921218928575,GeneMANIA,Genetic,Performance_gwas
994,GM_physical,6.422504714507831,GeneMANIA,Physical,Performance_gwas
868,GM_pathway,6.40882436049927,GeneMANIA,Pathway,Performance_gwas
851,GM_pathway,6.407945274984654,GeneMANIA,Pathway,Performance_gwas
1126,GM_predicted,6.407277520856221,GeneMANIA,Orthology,Performance_gwas
360,GM_domain,6.396248801869132,GeneMANIA,Domain,Performance_gwas
831,GM_pathway,6.37074477339506,GeneMANIA,Pathway,Performance_gwas
887,GM_pathway,6.363441806044488,GeneMANIA,Pathway,Performance_gwas
1167,GM_predicted,6.361436386627902,GeneMANIA,Orthology,Performance_gwas
276,GM_colocal,6.344720202338396,GeneMANIA,Colocalization,Performance_gwas
293,GM_colocal,6.3436261129136025,GeneMANIA,Colocalization,Performance_gwas
125,GM_coexp_97,6.27330698572076,GeneMANIA,Coexpression,Performance_gwas
963,GM_physical,6.258284398893264,GeneMANIA,Physical,Performance_gwas
800,GM_pathway,6.25597008794555,GeneMANIA,Pathway,Performance_gwas
882,GM_pathway,6.238180879557015,GeneMANIA,Pathway,Performance_gwas
859,GM_pathway,6.236920044083925,GeneMANIA,Pathway,Performance_gwas
419,GM_domain,6.2251306942956806,GeneMANIA,Domain,Performance_gwas
819,GM_pathway,6.187390073694333,GeneMANIA,Pathway,Performance_gwas
1062,GM_physical,6.183255498365907,GeneMANIA,Physical,Performance_gwas
269,GM_colocal,6.1805934547094346,GeneMANIA,Colocalization,Performance_gwas
319,GM_colocal,6.158130501271874,GeneMANIA,Colocalization,Performance_gwas
491,GM_domain,6.122527803313208,GeneMANIA,Domain,Performance_gwas
953,GM_physical,6.115926038375863,GeneMANIA,Physical,Performance_gwas
415,GM_domain,6.088419560646772,GeneMANIA,Domain,Performance_gwas
949,GM_physical,6.080092182341267,GeneMANIA,Physical,Performance_gwas
486,GM_domain,6.068011671986905,GeneMANIA,Domain,Performance_gwas
506,GM_domain,6.057901434349509,GeneMANIA,Domain,Performance_gwas
725,GM_pathway,6.055557274493743,GeneMANIA,Pathway,Performance_gwas
1247,GM_predicted,6.0465767427128485,GeneMANIA,Orthology,Performance_gwas
444,GM_domain,6.031992542576117,GeneMANIA,Domain,Performance_gwas
865,GM_pathway,6.013871867991705,GeneMANIA,Pathway,Performance_gwas
828,GM_pathway,6.01377950601959,GeneMANIA,Pathway,Performance_gwas
757,GM_pathway,5.974163409829802,GeneMANIA,Pathway,Performance_gwas
527,GM_domain,5.9695830201513,GeneMANIA,Domain,Performance_gwas
1045,GM_physical,5.965434637665507,GeneMANIA,Physical,Performance_gwas
483,GM_domain,5.947225598864183,GeneMANIA,Domain,Performance_gwas
112,GM_coexp_97,5.914207045911152,GeneMANIA,Coexpression,Performance_gwas
411,GM_domain,5.910485214033531,GeneMANIA,Domain,Performance_gwas
981,GM_physical,5.897509117072123,GeneMANIA,Physical,Performance_gwas
1065,GM_physical,5.88889443429454,GeneMANIA,Physical,Performance_gwas
857,GM_pathway,5.884892368109258,GeneMANIA,Pathway,Performance_gwas
384,GM_domain,5.875775631707114,GeneMANIA,Domain,Performance_gwas
233,GM_colocal,5.868793253207203,GeneMANIA,Colocalization,Performance_gwas
783,GM_pathway,5.847262280263163,GeneMANIA,Pathway,Performance_gwas
10,GM_coexp_97,5.837610834437019,GeneMANIA,Coexpression,Performance_gwas
843,GM_pathway,5.837410984845554,GeneMANIA,Pathway,Performance_gwas
1039,GM_physical,5.763681784468349,GeneMANIA,Physical,Performance_gwas
1047,GM_physical,5.748572380929205,GeneMANIA,Physical,Performance_gwas
218,GM_colocal,5.734047697117137,GeneMANIA,Colocalization,Performance_gwas
389,GM_domain,5.724566484805636,GeneMANIA,Domain,Performance_gwas
1219,GM_predicted,5.702269501163864,GeneMANIA,Orthology,Performance_gwas
1231,GM_predicted,5.688759091737448,GeneMANIA,Orthology,Performance_gwas
374,GM_domain,5.676667308198272,GeneMANIA,Domain,Performance_gwas
1034,GM_physical,5.669085001766383,GeneMANIA,Physical,Performance_gwas
897,GM_pathway,5.635067948425296,GeneMANIA,Pathway,Performance_gwas
284,GM_colocal,5.601612961611803,GeneMANIA,Colocalization,Performance_gwas
405,GM_domain,5.544388155648557,GeneMANIA,Domain,Performance_gwas
226,GM_colocal,5.535836886676727,GeneMANIA,Colocalization,Performance_gwas
1076,GM_physical,5.5217464284378925,GeneMANIA,Physical,Performance_gwas
1241,GM_predicted,5.515687281194424,GeneMANIA,Orthology,Performance_gwas
441,GM_domain,5.504194364156459,GeneMANIA,Domain,Performance_gwas
952,GM_physical,5.488402836711914,GeneMANIA,Physical,Performance_gwas
289,GM_colocal,5.473586240974463,GeneMANIA,Colocalization,Performance_gwas
946,GM_physical,5.448592199824385,GeneMANIA,Physical,Performance_gwas
294,GM_colocal,5.442500612409755,GeneMANIA,Colocalization,Performance_gwas
1030,GM_physical,5.436609717418317,GeneMANIA,Physical,Performance_gwas
1077,GM_physical,5.426794181460874,GeneMANIA,Physical,Performance_gwas
832,GM_pathway,5.421776879441349,GeneMANIA,Pathway,Performance_gwas
447,GM_domain,5.417655229868518,GeneMANIA,Domain,Performance_gwas
1040,GM_physical,5.416295393645735,GeneMANIA,Physical,Performance_gwas
367,GM_domain,5.408634906675358,GeneMANIA,Domain,Performance_gwas
450,GM_domain,5.399223297851044,GeneMANIA,Domain,Performance_gwas
208,GM_colocal,5.393092978835219,GeneMANIA,Colocalization,Performance_gwas
253,GM_colocal,5.3862043722059605,GeneMANIA,Colocalization,Performance_gwas
784,GM_pathway,5.3826601019163975,GeneMANIA,Pathway,Performance_gwas
1237,GM_predicted,5.382027493098796,GeneMANIA,Orthology,Performance_gwas
754,GM_pathway,5.338720670191576,GeneMANIA,Pathway,Performance_gwas
876,GM_pathway,5.3341839377934175,GeneMANIA,Pathway,Performance_gwas
999,GM_physical,5.330450697256489,GeneMANIA,Physical,Performance_gwas
503,GM_domain,5.325261907443413,GeneMANIA,Domain,Performance_gwas
1140,GM_predicted,5.308054945559601,GeneMANIA,Orthology,Performance_gwas
