Network	GO Branch	Term	Term name	P-value	Term_size	Intersection	Expected	Observed/Expected
DIP	CC	GO:0005739	mitochondrion	1.05E-02	1671	323	284.76	1.13
DIP	CC	GO:0005783	endoplasmic reticulum	1.88E-02	2020	382	344.24	1.11
DIP	CC	GO:0005929	cilium	4.82E-01	842	151	143.49	1.05
DIP	CC	GO:0031012	extracellular matrix	6.91E-01	564	92	96.11	0.96
DIP	CC	GO:0005811	lipid droplet	7.93E-01	102	16	17.38	0.92
FunCoup	CC	GO:0005783	endoplasmic reticulum	1.48E-31	2020	1988	1880.04	1.06
FunCoup	CC	GO:0005615	extracellular space	1.01E-28	3190	3101	2968.97	1.04
FunCoup	CC	GO:0005768	endosome	5.79E-22	1037	1028	965.15	1.07
FunCoup	CC	GO:0005730	nucleolus	6.15E-19	988	977	919.54	1.06
FunCoup	CC	GO:0005764	lysosome	2.23E-17	747	742	695.24	1.07
FunCoup	CC	GO:0005794	Golgi apparatus	1.15E-14	1636	1591	1522.65	1.04
FunCoup	CC	GO:0005815	microtubule organizing center	3.67E-14	843	831	784.59	1.06
FunCoup	CC	GO:0005739	mitochondrion	3.25E-13	1671	1621	1555.22	1.04
FunCoup	CC	GO:0005635	nuclear envelope	4.27E-12	493	490	458.84	1.07
FunCoup	CC	GO:0000228	nuclear chromosome	5.82E-07	206	206	191.73	1.07
FunCoup	CC	GO:0005929	cilium	8.16E-04	842	807	783.66	1.03
FunCoup	CC	GO:0005840	ribosome	3.11E-03	222	217	206.62	1.05
FunCoup	CC	GO:0031012	extracellular matrix	5.29E-03	564	541	524.92	1.03
FunCoup	CC	GO:0005777	peroxisome	1.89E-02	142	139	132.16	1.05
FunCoup	CC	GO:0005811	lipid droplet	4.80E-02	102	100	94.93	1.05
GeneMANIA	CC	GO:0005739	mitochondrion	7.34E-08	1671	1666	1642.70	1.01
GeneMANIA	CC	GO:0005615	extracellular space	1.53E-05	3190	3163	3135.98	1.01
GeneMANIA	CC	GO:0005794	Golgi apparatus	3.21E-05	1636	1627	1608.29	1.01
GeneMANIA	CC	GO:0005764	lysosome	6.21E-05	747	746	734.35	1.02
GeneMANIA	CC	GO:0005783	endoplasmic reticulum	7.35E-05	2020	2006	1985.79	1.01
GeneMANIA	CC	GO:0005730	nucleolus	3.18E-04	988	984	971.27	1.01
GeneMANIA	CC	GO:0005815	microtubule organizing center	2.34E-03	843	839	828.72	1.01
GeneMANIA	CC	GO:0005768	endosome	6.00E-03	1037	1030	1019.44	1.01
GeneMANIA	CC	GO:0005635	nuclear envelope	1.96E-02	493	491	484.65	1.01
GeneMANIA	CC	GO:0031012	extracellular matrix	2.89E-02	564	561	554.45	1.01
GeneMANIA	CC	GO:0000228	nuclear chromosome	5.35E-02	206	206	202.51	1.02
GeneMANIA	CC	GO:0005840	ribosome	1.92E-01	222	221	218.24	1.01
GeneMANIA	CC	GO:0005929	cilium	3.36E-01	842	832	827.74	1.01
GeneMANIA	CC	GO:0005811	lipid droplet	4.23E-01	102	102	100.27	1.02
GeneMANIA	CC	GO:0005777	peroxisome	7.36E-01	142	141	139.60	1.01
GIANT	CC	GO:0005615	extracellular space	2.10E-51	3190	2969	2712.50	1.09
GIANT	CC	GO:0005739	mitochondrion	9.37E-45	1671	1594	1420.87	1.12
GIANT	CC	GO:0005768	endosome	1.58E-34	1037	1000	881.77	1.13
GIANT	CC	GO:0005730	nucleolus	2.13E-34	988	955	840.11	1.14
GIANT	CC	GO:0005783	endoplasmic reticulum	2.24E-33	2020	1885	1717.63	1.10
GIANT	CC	GO:0005764	lysosome	2.37E-28	747	725	635.18	1.14
GIANT	CC	GO:0005794	Golgi apparatus	2.78E-28	1636	1530	1391.11	1.10
GIANT	CC	GO:0005815	microtubule organizing center	2.10E-15	843	790	716.81	1.10
GIANT	CC	GO:0005840	ribosome	3.31E-13	222	220	188.77	1.17
GIANT	CC	GO:0005635	nuclear envelope	3.82E-11	493	466	419.20	1.11
GIANT	CC	GO:0031012	extracellular matrix	1.97E-06	564	517	479.58	1.08
GIANT	CC	GO:0005777	peroxisome	7.52E-05	142	136	120.74	1.13
GIANT	CC	GO:0000228	nuclear chromosome	5.24E-04	206	192	175.16	1.10
GIANT	CC	GO:0005811	lipid droplet	9.38E-02	102	93	86.73	1.07
GIANT	CC	GO:0005929	cilium	1.03E-01	842	699	715.96	0.98
Havugimana	CC	GO:0005840	ribosome	1.52E-89	222	169	35.25	4.79
Havugimana	CC	GO:0005730	nucleolus	8.75E-55	988	351	156.86	2.24
Havugimana	CC	GO:0005739	mitochondrion	2.03E-52	1671	501	265.30	1.89
Havugimana	CC	GO:0005615	extracellular space	1.42E-35	3190	751	506.47	1.48
Havugimana	CC	GO:0000228	nuclear chromosome	2.08E-25	206	96	32.71	2.94
Havugimana	CC	GO:0005635	nuclear envelope	9.02E-15	493	146	78.27	1.87
Havugimana	CC	GO:0005764	lysosome	8.68E-09	747	178	118.60	1.50
Havugimana	CC	GO:0005815	microtubule organizing center	2.22E-07	843	190	133.84	1.42
Havugimana	CC	GO:0031012	extracellular matrix	2.25E-07	564	48	89.55	0.54
Havugimana	CC	GO:0005768	endosome	1.66E-04	1037	209	164.64	1.27
Havugimana	CC	GO:0005929	cilium	4.19E-04	842	98	133.68	0.73
Havugimana	CC	GO:0005777	peroxisome	3.65E-03	142	36	22.55	1.60
Havugimana	CC	GO:0005783	endoplasmic reticulum	1.38E-01	2020	344	320.71	1.07
Havugimana	CC	GO:0005811	lipid droplet	7.86E-01	102	17	16.19	1.05
Havugimana	CC	GO:0005794	Golgi apparatus	9.72E-01	1636	260	259.75	1.00
Hein	CC	GO:0005730	nucleolus	2.53E-106	988	594	273.98	2.17
Hein	CC	GO:0005840	ribosome	8.39E-76	222	192	61.56	3.12
Hein	CC	GO:0005815	microtubule organizing center	1.59E-54	843	443	233.77	1.89
Hein	CC	GO:0005739	mitochondrion	5.86E-32	1671	676	463.39	1.46
Hein	CC	GO:0000228	nuclear chromosome	4.72E-29	206	134	57.13	2.35
Hein	CC	GO:0005635	nuclear envelope	6.62E-27	493	248	136.71	1.81
Hein	CC	GO:0031012	extracellular matrix	9.09E-20	564	68	156.40	0.43
Hein	CC	GO:0005768	endosome	9.02E-11	1037	381	287.57	1.32
Hein	CC	GO:0005764	lysosome	4.52E-04	747	250	207.15	1.21
Hein	CC	GO:0005794	Golgi apparatus	1.10E-02	1636	498	453.68	1.10
Hein	CC	GO:0005811	lipid droplet	2.22E-01	102	34	28.29	1.20
Hein	CC	GO:0005777	peroxisome	3.01E-01	142	45	39.38	1.14
Hein	CC	GO:0005783	endoplasmic reticulum	4.15E-01	2020	576	560.17	1.03
Hein	CC	GO:0005615	extracellular space	5.15E-01	3190	900	884.62	1.02
Hein	CC	GO:0005929	cilium	6.94E-01	842	228	233.50	0.98
HuRI	CC	GO:0031012	extracellular matrix	2.90E-15	564	177	268.03	0.66
HuRI	CC	GO:0005730	nucleolus	1.55E-07	988	550	469.54	1.17
HuRI	CC	GO:0005815	microtubule organizing center	2.17E-06	843	468	400.63	1.17
HuRI	CC	GO:0005635	nuclear envelope	4.26E-04	493	273	234.29	1.17
HuRI	CC	GO:0005768	endosome	1.71E-03	1037	542	492.82	1.10
HuRI	CC	GO:0005615	extracellular space	3.51E-03	3190	1441	1516.01	0.95
HuRI	CC	GO:0000228	nuclear chromosome	2.48E-02	206	114	97.90	1.16
HuRI	CC	GO:0005811	lipid droplet	3.73E-01	102	53	48.47	1.09
HuRI	CC	GO:0005929	cilium	5.25E-01	842	391	400.15	0.98
HuRI	CC	GO:0005794	Golgi apparatus	5.34E-01	1636	765	777.49	0.98
HuRI	CC	GO:0005764	lysosome	6.54E-01	747	361	355.00	1.02
HuRI	CC	GO:0005777	peroxisome	9.33E-01	142	68	67.48	1.01
HuRI	CC	GO:0005783	endoplasmic reticulum	9.44E-01	2020	958	959.98	1.00
HuRI	CC	GO:0005840	ribosome	9.46E-01	222	106	105.50	1.00
HuRI	CC	GO:0005739	mitochondrion	1.00E+00	1671	794	794.12	1.00
HINT	CC	GO:0005739	mitochondrion	5.87E-36	1671	1568	1406.50	1.11
HINT	CC	GO:0005730	nucleolus	2.64E-32	988	947	831.61	1.14
HINT	CC	GO:0005815	microtubule organizing center	1.13E-25	843	805	709.56	1.13
HINT	CC	GO:0005768	endosome	1.82E-19	1037	967	872.85	1.11
HINT	CC	GO:0005840	ribosome	3.01E-14	222	220	186.86	1.18
HINT	CC	GO:0005635	nuclear envelope	3.07E-13	493	467	414.96	1.13
HINT	CC	GO:0005764	lysosome	1.04E-12	747	693	628.76	1.10
HINT	CC	GO:0005783	endoplasmic reticulum	2.13E-12	2020	1805	1700.26	1.06
HINT	CC	GO:0005615	extracellular space	8.52E-12	3190	2810	2685.06	1.05
HINT	CC	GO:0005794	Golgi apparatus	1.23E-10	1636	1464	1377.04	1.06
HINT	CC	GO:0000228	nuclear chromosome	5.15E-10	206	201	173.39	1.16
HINT	CC	GO:0005777	peroxisome	5.50E-03	142	131	119.52	1.10
HINT	CC	GO:0005811	lipid droplet	9.46E-03	102	95	85.85	1.11
HINT	CC	GO:0031012	extracellular matrix	1.14E-01	564	461	474.73	0.97
HINT	CC	GO:0005929	cilium	9.23E-01	842	708	708.72	1.00
HIPPIE	CC	GO:0005615	extracellular space	1.80E-35	3190	3143	3015.49	1.04
HIPPIE	CC	GO:0005739	mitochondrion	1.80E-18	1671	1647	1579.59	1.04
HIPPIE	CC	GO:0005783	endoplasmic reticulum	2.22E-14	2020	1976	1909.50	1.03
HIPPIE	CC	GO:0005794	Golgi apparatus	6.54E-13	1636	1603	1546.50	1.04
HIPPIE	CC	GO:0005768	endosome	8.54E-13	1037	1024	980.27	1.04
HIPPIE	CC	GO:0005730	nucleolus	1.37E-12	988	976	933.95	1.05
HIPPIE	CC	GO:0005815	microtubule organizing center	1.11E-11	843	834	796.88	1.05
HIPPIE	CC	GO:0005764	lysosome	1.08E-09	747	738	706.14	1.05
HIPPIE	CC	GO:0005635	nuclear envelope	4.82E-09	493	490	466.03	1.05
HIPPIE	CC	GO:0005840	ribosome	7.88E-06	222	222	209.86	1.06
HIPPIE	CC	GO:0031012	extracellular matrix	1.03E-04	564	552	533.15	1.04
HIPPIE	CC	GO:0000228	nuclear chromosome	1.67E-03	206	204	194.73	1.05
HIPPIE	CC	GO:0005777	peroxisome	5.01E-03	142	141	134.23	1.05
HIPPIE	CC	GO:0005929	cilium	4.34E-02	842	809	795.94	1.02
HIPPIE	CC	GO:0005811	lipid droplet	1.83E-01	102	100	96.42	1.04
HPRD	CC	GO:0005615	extracellular space	2.22E-106	3190	2143	1583.84	1.35
HPRD	CC	GO:0005730	nucleolus	3.05E-31	988	667	490.54	1.36
HPRD	CC	GO:0005768	endosome	2.71E-27	1037	683	514.87	1.33
HPRD	CC	GO:0005815	microtubule organizing center	1.32E-20	843	550	418.55	1.31
HPRD	CC	GO:0005794	Golgi apparatus	1.25E-16	1636	972	812.28	1.20
HPRD	CC	GO:0005635	nuclear envelope	2.77E-12	493	321	244.77	1.31
HPRD	CC	GO:0000228	nuclear chromosome	4.51E-12	206	151	102.28	1.48
HPRD	CC	GO:0031012	extracellular matrix	7.79E-12	564	360	280.03	1.29
HPRD	CC	GO:0005764	lysosome	8.03E-10	747	453	370.89	1.22
HPRD	CC	GO:0005783	endoplasmic reticulum	6.04E-06	2020	1099	1002.93	1.10
HPRD	CC	GO:0005840	ribosome	6.82E-02	222	124	110.22	1.12
HPRD	CC	GO:0005777	peroxisome	9.17E-02	142	81	70.50	1.15
HPRD	CC	GO:0005811	lipid droplet	3.73E-01	102	46	50.64	0.91
HPRD	CC	GO:0005739	mitochondrion	6.63E-01	1671	821	829.65	0.99
HPRD	CC	GO:0005929	cilium	8.88E-01	842	416	418.05	1.00
HumanNet-XC	CC	GO:0005615	extracellular space	2.10E-10	3190	3136	3080.76	1.02
HumanNet-XC	CC	GO:0005783	endoplasmic reticulum	5.05E-06	2020	1984	1950.83	1.02
HumanNet-XC	CC	GO:0005794	Golgi apparatus	3.51E-04	1636	1604	1579.98	1.02
HumanNet-XC	CC	GO:0005768	endosome	5.63E-04	1037	1020	1001.49	1.02
HumanNet-XC	CC	GO:0005815	microtubule organizing center	4.81E-03	843	828	814.13	1.02
HumanNet-XC	CC	GO:0000228	nuclear chromosome	1.11E-02	206	205	198.95	1.03
HumanNet-XC	CC	GO:0005730	nucleolus	1.15E-02	988	968	954.17	1.01
HumanNet-XC	CC	GO:0005739	mitochondrion	2.00E-02	1671	1630	1613.78	1.01
HumanNet-XC	CC	GO:0005840	ribosome	3.79E-02	222	220	214.40	1.03
HumanNet-XC	CC	GO:0005764	lysosome	5.04E-02	747	731	721.42	1.01
HumanNet-XC	CC	GO:0031012	extracellular matrix	5.84E-02	564	553	544.69	1.02
HumanNet-XC	CC	GO:0005777	peroxisome	9.78E-02	142	141	137.14	1.03
HumanNet-XC	CC	GO:0005811	lipid droplet	2.69E-01	102	101	98.51	1.03
HumanNet-XC	CC	GO:0005635	nuclear envelope	3.81E-01	493	480	476.12	1.01
HumanNet-XC	CC	GO:0005929	cilium	5.60E-01	842	817	813.17	1.00
HumanNet-FN	CC	GO:0005615	extracellular space	3.55E-14	3190	3133	3063.04	1.02
HumanNet-FN	CC	GO:0005783	endoplasmic reticulum	1.69E-06	2020	1977	1939.61	1.02
HumanNet-FN	CC	GO:0005768	endosome	1.79E-05	1037	1020	995.73	1.02
HumanNet-FN	CC	GO:0005794	Golgi apparatus	4.93E-05	1636	1600	1570.89	1.02
HumanNet-FN	CC	GO:0005730	nucleolus	5.79E-04	988	968	948.68	1.02
HumanNet-FN	CC	GO:0005739	mitochondrion	8.06E-04	1671	1629	1604.50	1.02
HumanNet-FN	CC	GO:0005815	microtubule organizing center	1.54E-03	843	826	809.45	1.02
HumanNet-FN	CC	GO:0000228	nuclear chromosome	3.67E-03	206	205	197.80	1.04
HumanNet-FN	CC	GO:0005764	lysosome	7.16E-03	747	731	717.27	1.02
HumanNet-FN	CC	GO:0005840	ribosome	1.39E-02	222	220	213.16	1.03
HumanNet-FN	CC	GO:0031012	extracellular matrix	2.09E-02	564	552	541.55	1.02
HumanNet-FN	CC	GO:0005777	peroxisome	4.78E-02	142	141	136.35	1.03
HumanNet-FN	CC	GO:0005635	nuclear envelope	1.30E-01	493	480	473.38	1.01
HumanNet-FN	CC	GO:0005811	lipid droplet	4.44E-01	102	100	97.94	1.02
HumanNet-FN	CC	GO:0005929	cilium	9.28E-01	842	808	808.49	1.00
huMAP	CC	GO:0005739	mitochondrion	4.00E-68	1671	1489	1208.24	1.23
huMAP	CC	GO:0005730	nucleolus	6.96E-56	988	908	714.39	1.27
huMAP	CC	GO:0005815	microtubule organizing center	1.74E-37	843	758	609.54	1.24
huMAP	CC	GO:0005840	ribosome	2.87E-24	222	217	160.52	1.35
huMAP	CC	GO:0005768	endosome	3.53E-18	1037	866	749.82	1.15
huMAP	CC	GO:0005794	Golgi apparatus	9.16E-16	1636	1318	1182.93	1.11
huMAP	CC	GO:0005635	nuclear envelope	1.16E-13	493	425	356.47	1.19
huMAP	CC	GO:0005764	lysosome	2.71E-13	747	624	540.13	1.16
huMAP	CC	GO:0005615	extracellular space	8.38E-13	3190	2469	2306.57	1.07
huMAP	CC	GO:0005783	endoplasmic reticulum	8.45E-12	2020	1588	1460.59	1.09
huMAP	CC	GO:0000228	nuclear chromosome	1.06E-07	206	181	148.95	1.22
huMAP	CC	GO:0005777	peroxisome	6.49E-05	142	123	102.67	1.20
huMAP	CC	GO:0005929	cilium	1.40E-03	842	649	608.82	1.07
huMAP	CC	GO:0005811	lipid droplet	2.57E-03	102	87	73.75	1.18
huMAP	CC	GO:0031012	extracellular matrix	4.17E-01	564	399	407.81	0.98
IID	CC	GO:0005739	mitochondrion	2.49E-16	1671	1653	1596.10	1.04
IID	CC	GO:0005615	extracellular space	9.56E-12	3190	3115	3047.02	1.02
IID	CC	GO:0005730	nucleolus	6.87E-11	988	979	943.72	1.04
IID	CC	GO:0005815	microtubule organizing center	6.82E-10	843	836	805.22	1.04
IID	CC	GO:0005783	endoplasmic reticulum	8.19E-10	2020	1979	1929.46	1.03
IID	CC	GO:0005764	lysosome	4.15E-09	747	741	713.52	1.04
IID	CC	GO:0005794	Golgi apparatus	6.44E-09	1636	1605	1562.67	1.03
IID	CC	GO:0005768	endosome	1.18E-08	1037	1023	990.52	1.03
IID	CC	GO:0031012	extracellular matrix	2.30E-07	564	560	538.72	1.04
IID	CC	GO:0005635	nuclear envelope	8.24E-04	493	485	470.90	1.03
IID	CC	GO:0005840	ribosome	8.40E-04	222	221	212.05	1.04
IID	CC	GO:0000228	nuclear chromosome	9.73E-03	206	204	196.77	1.04
IID	CC	GO:0005777	peroxisome	2.27E-02	142	141	135.64	1.04
IID	CC	GO:0005929	cilium	4.93E-02	842	816	804.26	1.01
IID	CC	GO:0005811	lipid droplet	9.28E-02	102	101	97.43	1.04
InBio	CC	GO:0005739	mitochondrion	5.27E-28	1671	1621	1509.60	1.07
InBio	CC	GO:0005730	nucleolus	1.37E-20	988	965	892.57	1.08
InBio	CC	GO:0005768	endosome	1.49E-18	1037	1008	936.84	1.08
InBio	CC	GO:0005783	endoplasmic reticulum	2.71E-18	2020	1926	1824.90	1.06
InBio	CC	GO:0005615	extracellular space	1.79E-13	3190	2989	2881.89	1.04
InBio	CC	GO:0005764	lysosome	6.83E-13	747	725	674.85	1.07
InBio	CC	GO:0005794	Golgi apparatus	1.28E-10	1636	1547	1477.98	1.05
InBio	CC	GO:0005815	microtubule organizing center	5.51E-10	843	809	761.58	1.06
InBio	CC	GO:0005635	nuclear envelope	9.61E-10	493	480	445.38	1.08
InBio	CC	GO:0005840	ribosome	6.82E-09	222	221	200.56	1.10
