Interactome	Fold	Prediction Method	Test Set	P@k
HuRI	8	L3	Held-out	0.066368011
HuRI	9	L3	Held-out	0.074135363
HuRI	10	L3	Held-out	0.069451351
HINT	1	L3	Held-out	0.077522611
HINT	2	L3	Held-out	0.07732432
HINT	3	L3	Held-out	0.077696222
HINT	4	L3	Held-out	0.074697791
HINT	5	L3	Held-out	0.076210737
HINT	6	L3	Held-out	0.079871672
HINT	7	L3	Held-out	0.079610276
HINT	8	L3	Held-out	0.07762538
HINT	9	L3	Held-out	0.078736877
HINT	10	L3	Held-out	0.078302201
HIPPIE	1	L3	Held-out	0.105652634
HIPPIE	2	L3	Held-out	0.104774107
HIPPIE	3	L3	Held-out	0.10367893
HIPPIE	4	L3	Held-out	0.105047817
HIPPIE	5	L3	Held-out	0.105887473
HIPPIE	6	L3	Held-out	0.105807735
HIPPIE	7	L3	Held-out	0.104864488
HIPPIE	8	L3	Held-out	0.103705178
HIPPIE	9	L3	Held-out	0.105862888
HIPPIE	10	L3	Held-out	0.105967922
HPRD	1	L3	Held-out	0.058022499
HPRD	2	L3	Held-out	0.051349765
HPRD	3	L3	Held-out	0.050131926
HPRD	4	L3	Held-out	0.050688544
HPRD	5	L3	Held-out	0.049705882
HPRD	6	L3	Held-out	0.049545588
HPRD	7	L3	Held-out	0.05444379
HPRD	8	L3	Held-out	0.055166375
HPRD	9	L3	Held-out	0.059292035
HPRD	10	L3	Held-out	0.055457746
HumanNet	1	L3	Held-out	0.215394457
HumanNet	2	L3	Held-out	0.216954393
HumanNet	3	L3	Held-out	0.215270065
HumanNet	4	L3	Held-out	0.21690301
HumanNet	5	L3	Held-out	0.215763801
HumanNet	6	L3	Held-out	0.218486499
HumanNet	7	L3	Held-out	0.218084728
HumanNet	8	L3	Held-out	0.21607933
HumanNet	9	L3	Held-out	0.216476526
HumanNet	10	L3	Held-out	0.216203009
huMAP	1	L3	Held-out	0.208605307
huMAP	2	L3	Held-out	0.209268192
huMAP	3	L3	Held-out	0.208873437
huMAP	4	L3	Held-out	0.210519044
huMAP	5	L3	Held-out	0.209547713
huMAP	6	L3	Held-out	0.208943712
huMAP	7	L3	Held-out	0.209473539
huMAP	8	L3	Held-out	0.141321053
huMAP	9	L3	Held-out	0.209806472
huMAP	10	L3	Held-out	0.141325121
IID	1	L3	Held-out	0.132951034
IID	2	L3	Held-out	0.134391401
IID	3	L3	Held-out	0.133301979
IID	4	L3	Held-out	0.132980108
IID	5	L3	Held-out	0.132404562
IID	6	L3	Held-out	0.131143135
IID	7	L3	Held-out	0.132247852
IID	8	L3	Held-out	0.132434203
IID	9	L3	Held-out	0.132178309
IID	10	L3	Held-out	0.132803117
InBio	1	L3	Held-out	0.236794051
InBio	2	L3	Held-out	0.238670943
InBio	3	L3	Held-out	0.239084658
InBio	4	L3	Held-out	0.237372075
InBio	5	L3	Held-out	0.237919805
InBio	6	L3	Held-out	0.23559124
InBio	7	L3	Held-out	0.234539474
InBio	8	L3	Held-out	0.236242229
InBio	9	L3	Held-out	0.237389359
InBio	10	L3	Held-out	0.237525705
InnateDB	1	L3	Held-out	0.103970807
InnateDB	2	L3	Held-out	0.107048159
InnateDB	3	L3	Held-out	0.108313745
InnateDB	4	L3	Held-out	0.101909647
InnateDB	5	L3	Held-out	0.104468375
InnateDB	6	L3	Held-out	0.105158853
InnateDB	7	L3	Held-out	0.104098411
InnateDB	8	L3	Held-out	0.104914992
InnateDB	9	L3	Held-out	0.10681354
InnateDB	10	L3	Held-out	0.106977319
IntAct	1	L3	Held-out	0.06458638
IntAct	2	L3	Held-out	0.06514364
IntAct	3	L3	Held-out	0.065698199
IntAct	4	L3	Held-out	0.066726781
IntAct	5	L3	Held-out	0.063378967
IntAct	6	L3	Held-out	0.064516129
IntAct	8	L3	Held-out	0.061568615
IntAct	9	L3	Held-out	0.067508711
IntAct	10	L3	Held-out	0.061916615
iRefIndex	1	L3	Held-out	0.145223316
iRefIndex	2	L3	Held-out	0.146728375
iRefIndex	3	L3	Held-out	0.145693356
iRefIndex	4	L3	Held-out	0.146691775
iRefIndex	5	L3	Held-out	0.147857314
iRefIndex	6	L3	Held-out	0.146939101
iRefIndex	7	L3	Held-out	0.145763848
iRefIndex	8	L3	Held-out	0.144621768
iRefIndex	9	L3	Held-out	0.145775806
MatrixDB	1	L3	Held-out	0.079752066
MatrixDB	2	L3	Held-out	0.076944178
MatrixDB	3	L3	Held-out	0.075193157
MatrixDB	4	L3	Held-out	0.074690509
MatrixDB	5	L3	Held-out	0.077356417
MatrixDB	6	L3	Held-out	0.074828061
MatrixDB	7	L3	Held-out	0.075298313
MatrixDB	8	L3	Held-out	0.07161548
MatrixDB	9	L3	Held-out	0.080434484
MatrixDB	10	L3	Held-out	0.081865713
Mentha	1	L3	Held-out	0.068478095
Mentha	2	L3	Held-out	0.069150886
Mentha	3	L3	Held-out	0.068641508
Mentha	4	L3	Held-out	0.064943388
Mentha	5	L3	Held-out	0.072293936
Mentha	6	L3	Held-out	0.068977099
Mentha	7	L3	Held-out	0.068770795
Mentha	8	L3	Held-out	0.069675884
Mentha	9	L3	Held-out	0.067108356
Mentha	10	L3	Held-out	0.068106921
MINT	1	L3	Held-out	0.078045874
MINT	2	L3	Held-out	0.083209067
MINT	3	L3	Held-out	0.080825959
MINT	4	L3	Held-out	0.091314694
MINT	5	L3	Held-out	0.079941003
MINT	6	L3	Held-out	0.083872866
MINT	7	L3	Held-out	0.07751938
MINT	8	L3	Held-out	0.086401425
MINT	9	L3	Held-out	0.087781732
MINT	10	L3	Held-out	0.083922261
MultiNet	1	L3	Held-out	0.118391023
MultiNet	2	L3	Held-out	0.117296223
MultiNet	3	L3	Held-out	0.116981849
MultiNet	4	L3	Held-out	0.116698292
MultiNet	5	L3	Held-out	0.113930065
MultiNet	6	L3	Held-out	0.116970734
MultiNet	7	L3	Held-out	0.112239089
MultiNet	8	L3	Held-out	0.120555239
MultiNet	9	L3	Held-out	0.111237661
MultiNet	10	L3	Held-out	0.112907828
PathwayCommons	1	L3	Held-out	0.140716255
PathwayCommons	2	L3	Held-out	0.139606384
PathwayCommons	3	L3	Held-out	0.136941816
PathwayCommons	4	L3	Held-out	0.141546527
PathwayCommons	5	L3	Held-out	0.140935069
PathwayCommons	6	L3	Held-out	0.137105791
PathwayCommons	7	L3	Held-out	0.14077829
PathwayCommons	8	L3	Held-out	0.143350039
PathwayCommons	9	L3	Held-out	0.140139542
PathwayCommons	10	L3	Held-out	0.137642886
PhosphoSitePlus	1	L3	Held-out	0.065517241
PhosphoSitePlus	2	L3	Held-out	0.071304348
PhosphoSitePlus	3	L3	Held-out	0.063356164
PhosphoSitePlus	4	L3	Held-out	0.053633218
PhosphoSitePlus	5	L3	Held-out	0.070205479
PhosphoSitePlus	6	L3	Held-out	0.072413793
PhosphoSitePlus	7	L3	Held-out	0.066666667
PhosphoSitePlus	8	L3	Held-out	0.055555556
PhosphoSitePlus	9	L3	Held-out	0.0642978
PhosphoSitePlus	10	L3	Held-out	0.056761269
PID2	1	L3	Held-out	0.124684343
PID2	2	L3	Held-out	0.115736361
PID2	3	L3	Held-out	0.115566782
PID2	4	L3	Held-out	0.124881741
PID2	5	L3	Held-out	0.120820189
PID2	6	L3	Held-out	0.111356467
PID2	7	L3	Held-out	0.122596911
PID2	8	L3	Held-out	0.124327744
PID2	9	L3	Held-out	0.13593455
PID2	10	L3	Held-out	0.110201511
PIPs	1	L3	Held-out	0.118510158
PIPs	2	L3	Held-out	0.132567265
PIPs	3	L3	Held-out	0.117580872
PIPs	4	L3	Held-out	0.118012422
PIPs	5	L3	Held-out	0.125212465
PIPs	6	L3	Held-out	0.124366911
PIPs	7	L3	Held-out	0.116239797
PIPs	8	L3	Held-out	0.125809175
PIPs	9	L3	Held-out	0.127593943
PIPs	10	L3	Held-out	0.130777903
PrePPI	1	L3	Held-out	0
PrePPI	2	L3	Held-out	0
PrePPI	3	L3	Held-out	0
PrePPI	4	L3	Held-out	0
PrePPI	5	L3	Held-out	0
PrePPI	6	L3	Held-out	0
PrePPI	7	L3	Held-out	0
PrePPI	8	L3	Held-out	0
PrePPI	9	L3	Held-out	0
PrePPI	10	L3	Held-out	0
PROPER	1	L3	Held-out	0.174527622
PROPER	2	L3	Held-out	0.170940582
PROPER	3	L3	Held-out	0.163915492
PROPER	4	L3	Held-out	0.170950848
PROPER	5	L3	Held-out	0.16893484
PROPER	6	L3	Held-out	0.170867808
PROPER	7	L3	Held-out	0.166746803
PROPER	8	L3	Held-out	0.171362631
PROPER	9	L3	Held-out	0.170187172
PROPER	10	L3	Held-out	0.17192543
ProteomeHD	1	L3	Held-out	0.208053691
ProteomeHD	2	L3	Held-out	0.219581749
ProteomeHD	3	L3	Held-out	0.205202312
ProteomeHD	4	L3	Held-out	0.218631179
ProteomeHD	5	L3	Held-out	0.23507109
ProteomeHD	6	L3	Held-out	0.241148325
ProteomeHD	7	L3	Held-out	0.21192053
ProteomeHD	8	L3	Held-out	0.210727969
ProteomeHD	9	L3	Held-out	0.232889734
ProteomeHD	10	L3	Held-out	0.229961832
PTMCode2	1	L3	Held-out	0.101727447
PTMCode2	2	L3	Held-out	0.110032362
PTMCode2	3	L3	Held-out	0.102613129
PTMCode2	4	L3	Held-out	0.091486658
PTMCode2	5	L3	Held-out	0.116940582
PTMCode2	6	L3	Held-out	0.096630642
PTMCode2	7	L3	Held-out	0.098528471
PTMCode2	8	L3	Held-out	0.109771574
PTMCode2	9	L3	Held-out	0.101467773
PTMCode2	10	L3	Held-out	0.101804124
Reactome	1	L3	Held-out	0.131726457
Reactome	2	L3	Held-out	0.139966273
Reactome	3	L3	Held-out	0.138339921
Reactome	4	L3	Held-out	0.144149237
Reactome	5	L3	Held-out	0.147457627
Reactome	6	L3	Held-out	0.120611552
Reactome	7	L3	Held-out	0.134453782
Reactome	8	L3	Held-out	0.145225843
Reactome	9	L3	Held-out	0.152504221
Reactome	10	L3	Held-out	0.132990868
ReactomeFI	1	L3	Held-out	0.202552536
ReactomeFI	2	L3	Held-out	0.200762995
ReactomeFI	3	L3	Held-out	0.194976164
ReactomeFI	4	L3	Held-out	0.192794976
ReactomeFI	5	L3	Held-out	0.199728709
ReactomeFI	6	L3	Held-out	0.194059406
ReactomeFI	7	L3	Held-out	0.190895096
ReactomeFI	8	L3	Held-out	0.193466784
ReactomeFI	9	L3	Held-out	0.199662645
ReactomeFI	10	L3	Held-out	0.196955246
SignaLink	1	L3	Held-out	0.120350771
SignaLink	2	L3	Held-out	0.121293053
SignaLink	3	L3	Held-out	0.121460244
SignaLink	4	L3	Held-out	0.118082855
SignaLink	5	L3	Held-out	0.119760177
SignaLink	6	L3	Held-out	0.12204893
SignaLink	7	L3	Held-out	0.119397344
SignaLink	8	L3	Held-out	0.121144153
SignaLink	9	L3	Held-out	0.121235794
SignaLink	10	L3	Held-out	0.12171525
SIGNOR	1	L3	Held-out	0.088978766
SIGNOR	2	L3	Held-out	0.069346734
SIGNOR	3	L3	Held-out	0.089832182
SIGNOR	4	L3	Held-out	0.098277609
SIGNOR	5	L3	Held-out	0.1
SIGNOR	6	L3	Held-out	0.086345382
SIGNOR	7	L3	Held-out	0.083248731
SIGNOR	8	L3	Held-out	0.070841889
SIGNOR	9	L3	Held-out	0.083588175
SIGNOR	10	L3	Held-out	0.086119554
SPIKE	1	L3	Held-out	0.101182033
SPIKE	2	L3	Held-out	0.103327085
SPIKE	3	L3	Held-out	0.108996946
SPIKE	4	L3	Held-out	0.09887271
SPIKE	5	L3	Held-out	0.101325758
SPIKE	6	L3	Held-out	0.107345972
SPIKE	7	L3	Held-out	0.100303951
SPIKE	8	L3	Held-out	0.102002356
SPIKE	9	L3	Held-out	0.100826446
SPIKE	10	L3	Held-out	0.104519774
Wan	1	L3	Held-out	0.162716208
Wan	2	L3	Held-out	0.181173436
Wan	3	L3	Held-out	0.184497117
Wan	4	L3	Held-out	0.171263631
Wan	5	L3	Held-out	0.170006464
Wan	6	L3	Held-out	0.173660426
Wan	7	L3	Held-out	0.175130208
Wan	8	L3	Held-out	0.158064516
Wan	9	L3	Held-out	0.174135723
Wan	10	L3	Held-out	0.197309417
Youn	1	L3	Held-out	0.214530266
Youn	2	L3	Held-out	0.212386955
Youn	3	L3	Held-out	0.21592775
Youn	4	L3	Held-out	0.215390935
Youn	5	L3	Held-out	0.210198067
Youn	6	L3	Held-out	0.217245164
Youn	7	L3	Held-out	0.216729517
Youn	8	L3	Held-out	0.213610197
Youn	9	L3	Held-out	0.211738892
Youn	10	L3	Held-out	0.212579563
APID	1	MPS	Held-out	0.097496398
APID	2	MPS	Held-out	0.095996573
APID	3	MPS	Held-out	0.095909073
APID	4	MPS	Held-out	0.098593744
APID	5	MPS	Held-out	0.096413691
APID	6	MPS	Held-out	0.092561597
APID	7	MPS	Held-out	0.092959832
APID	8	MPS	Held-out	0.094837655
APID	9	MPS	Held-out	0.096820641
APID	10	MPS	Held-out	0.097203832
BIND	1	MPS	Held-out	0.337175793
BIND	2	MPS	Held-out	0.356428571
BIND	3	MPS	Held-out	0.31834404
BIND	4	MPS	Held-out	0.344123856
BIND	5	MPS	Held-out	0.339143065
BIND	6	MPS	Held-out	0.348853868
BIND	7	MPS	Held-out	0.350864553
BIND	8	MPS	Held-out	0.338319088
BIND	9	MPS	Held-out	0.35371179
BIND	10	MPS	Held-out	0.340698503
BioGRID	1	MPS	Held-out	0.122499422
BioGRID	2	MPS	Held-out	0.12320596
BioGRID	3	MPS	Held-out	0.12441566
BioGRID	4	MPS	Held-out	0.123576899
BioGRID	5	MPS	Held-out	0.123811263
BioGRID	6	MPS	Held-out	0.124884321
BioGRID	7	MPS	Held-out	0.126074568
BioGRID	8	MPS	Held-out	0.122154595
BioGRID	9	MPS	Held-out	0.125284544
BioGRID	10	MPS	Held-out	0.121870434
BioPlex 293T	1	MPS	Held-out	0.145811789
BioPlex 293T	2	MPS	Held-out	0.150339726
BioPlex 293T	3	MPS	Held-out	0.143004735
BioPlex 293T	4	MPS	Held-out	0.141247312
BioPlex 293T	5	MPS	Held-out	0.146871777
BioPlex 293T	6	MPS	Held-out	0.15063302
BioPlex 293T	7	MPS	Held-out	0.145038827
BioPlex 293T	8	MPS	Held-out	0.154051494
BioPlex 293T	9	MPS	Held-out	0.146494624
BioPlex 293T	10	MPS	Held-out	0.145015884
BioPlex HCT116	1	MPS	Held-out	0.176855895
BioPlex HCT116	2	MPS	Held-out	0.172683776
BioPlex HCT116	3	MPS	Held-out	0.181699156
BioPlex HCT116	4	MPS	Held-out	0.171602787
BioPlex HCT116	5	MPS	Held-out	0.179004234
BioPlex HCT116	6	MPS	Held-out	0.1707993
BioPlex HCT116	7	MPS	Held-out	0.178014288
BioPlex HCT116	8	MPS	Held-out	0.177648766
BioPlex HCT116	9	MPS	Held-out	0.173356603
BioPlex HCT116	10	MPS	Held-out	0.174621653
ComPPI	1	MPS	Held-out	0.116025606
ComPPI	2	MPS	Held-out	0.123972414
ComPPI	3	MPS	Held-out	0.119396397
ComPPI	4	MPS	Held-out	0.1214471
ComPPI	5	MPS	Held-out	0.121161963
ComPPI	6	MPS	Held-out	0.120601628
ComPPI	7	MPS	Held-out	0.123864985
ComPPI	8	MPS	Held-out	0.118568788
ComPPI	9	MPS	Held-out	0.117348347
ComPPI	10	MPS	Held-out	0.121698816
DIP	1	MPS	Held-out	0.592519685
DIP	2	MPS	Held-out	0.588292683
DIP	3	MPS	Held-out	0.545988258
DIP	4	MPS	Held-out	0.577148438
DIP	5	MPS	Held-out	0.571288102
DIP	6	MPS	Held-out	0.55019685
DIP	7	MPS	Held-out	0.586444008
DIP	8	MPS	Held-out	0.548577036
DIP	9	MPS	Held-out	0.589215686
DIP	10	MPS	Held-out	0.577864838
GeneMANIA	1	MPS	Held-out	0.083996805
GeneMANIA	2	MPS	Held-out	0.083793557
GeneMANIA	3	MPS	Held-out	0.081010745
GeneMANIA	4	MPS	Held-out	0.083034165
GeneMANIA	5	MPS	Held-out	0.081988474
GeneMANIA	6	MPS	Held-out	0.082402858
GeneMANIA	7	MPS	Held-out	0.081170448
GeneMANIA	8	MPS	Held-out	0.083140084
GeneMANIA	9	MPS	Held-out	0.082598987
GeneMANIA	10	MPS	Held-out	0.082745708
Havugimana	1	MPS	Held-out	0.239599384
Havugimana	2	MPS	Held-out	0.241009946
Havugimana	3	MPS	Held-out	0.232950192
Havugimana	4	MPS	Held-out	0.210606061
Havugimana	5	MPS	Held-out	0.220858896
Havugimana	6	MPS	Held-out	0.213569776
Havugimana	7	MPS	Held-out	0.228203184
Havugimana	8	MPS	Held-out	0.213292117
Havugimana	9	MPS	Held-out	0.227692308
Havugimana	10	MPS	Held-out	0.24
Hein	1	MPS	Held-out	0.168008785
Hein	2	MPS	Held-out	0.186744782
Hein	3	MPS	Held-out	0.168797954
Hein	4	MPS	Held-out	0.177867056
Hein	5	MPS	Held-out	0.186932849
Hein	6	MPS	Held-out	0.180459351
Hein	7	MPS	Held-out	0.179355783
Hein	8	MPS	Held-out	0.204007286
Hein	9	MPS	Held-out	0.178348624
Hein	10	MPS	Held-out	0.188872621
HuRI	1	MPS	Held-out	0.084009942
HuRI	2	MPS	Held-out	0.079148653
HuRI	3	MPS	Held-out	0.083416583
HuRI	4	MPS	Held-out	0.084858569
HuRI	5	MPS	Held-out	0.086023295
HuRI	6	MPS	Held-out	0.088744589
HuRI	7	MPS	Held-out	0.082670643
HuRI	8	MPS	Held-out	0.084785134
HuRI	9	MPS	Held-out	0.090517955
HuRI	10	MPS	Held-out	0.081054202
HINT	1	MPS	Held-out	0.115325303
HINT	2	MPS	Held-out	0.115423135
HINT	3	MPS	Held-out	0.115897906
HINT	4	MPS	Held-out	0.115756565
HINT	5	MPS	Held-out	0.112459851
HINT	6	MPS	Held-out	0.11399525
HINT	7	MPS	Held-out	0.117791564
HINT	8	MPS	Held-out	0.113519823
HINT	9	MPS	Held-out	0.11293951
HINT	10	MPS	Held-out	0.11490994
HIPPIE	1	MPS	Held-out	0.174168273
HIPPIE	2	MPS	Held-out	0.175104488
HIPPIE	3	MPS	Held-out	0.172383782
HIPPIE	4	MPS	Held-out	0.173384238
HIPPIE	5	MPS	Held-out	0.176350637
HIPPIE	6	MPS	Held-out	0.171794553
HIPPIE	7	MPS	Held-out	0.173372803
HIPPIE	8	MPS	Held-out	0.17331874
HIPPIE	9	MPS	Held-out	0.17576225
HIPPIE	10	MPS	Held-out	0.174748228
HPRD	1	MPS	Held-out	0.069271758
HPRD	2	MPS	Held-out	0.068368545
HPRD	3	MPS	Held-out	0.072119613
HPRD	4	MPS	Held-out	0.067682391
HPRD	5	MPS	Held-out	0.072647059
HPRD	6	MPS	Held-out	0.07299912
HPRD	7	MPS	Held-out	0.068864038
HPRD	8	MPS	Held-out	0.070636311
HPRD	9	MPS	Held-out	0.068731563
HPRD	10	MPS	Held-out	0.066901408
HumanNet	1	MPS	Held-out	0.213919518
HumanNet	2	MPS	Held-out	0.216483487
HumanNet	3	MPS	Held-out	0.21428381
HumanNet	4	MPS	Held-out	0.21552582
HumanNet	5	MPS	Held-out	0.214031222
HumanNet	6	MPS	Held-out	0.217891192
HumanNet	7	MPS	Held-out	0.216725308
HumanNet	8	MPS	Held-out	0.215670594
HumanNet	9	MPS	Held-out	0.2160145
HumanNet	10	MPS	Held-out	0.213395293
IID	1	MPS	Held-out	0.129475081
IID	2	MPS	Held-out	0.128462863
IID	3	MPS	Held-out	0.130799207
IID	4	MPS	Held-out	0.128958041
IID	5	MPS	Held-out	0.130657866
IID	6	MPS	Held-out	0.12747321
IID	7	MPS	Held-out	0.12883858
IID	8	MPS	Held-out	0.127681016
IID	9	MPS	Held-out	0.129364933
IID	10	MPS	Held-out	0.128839096
InBio	1	MPS	Held-out	0.370572655
InBio	2	MPS	Held-out	0.37582038
InBio	3	MPS	Held-out	0.370496496
InBio	4	MPS	Held-out	0.37052881
InBio	5	MPS	Held-out	0.368359593
InBio	6	MPS	Held-out	0.375343457
InBio	7	MPS	Held-out	0.3665625
InBio	8	MPS	Held-out	0.372208151
InBio	9	MPS	Held-out	0.375176862
InBio	10	MPS	Held-out	0.374763511
InnateDB	1	MPS	Held-out	0.068221178
InnateDB	2	MPS	Held-out	0.072393168
InnateDB	3	MPS	Held-out	0.072868984
InnateDB	4	MPS	Held-out	0.06903158
InnateDB	5	MPS	Held-out	0.070305731
InnateDB	6	MPS	Held-out	0.071034867
InnateDB	7	MPS	Held-out	0.070099524
InnateDB	8	MPS	Held-out	0.071653787
InnateDB	9	MPS	Held-out	0.072900551
InnateDB	10	MPS	Held-out	0.069649589
IntAct	1	MPS	Held-out	0.108328407
IntAct	2	MPS	Held-out	0.104983037
IntAct	3	MPS	Held-out	0.104986468
IntAct	4	MPS	Held-out	0.107801374
IntAct	5	MPS	Held-out	0.104231487
IntAct	6	MPS	Held-out	0.101813544
IntAct	7	MPS	Held-out	0.107310551
IntAct	8	MPS	Held-out	0.105808419
IntAct	9	MPS	Held-out	0.106489547
IntAct	10	MPS	Held-out	0.104449284
iRefIndex	1	MPS	Held-out	0.126793151
iRefIndex	2	MPS	Held-out	0.127465688
iRefIndex	3	MPS	Held-out	0.125153609
iRefIndex	4	MPS	Held-out	0.125275286
iRefIndex	5	MPS	Held-out	0.126406512
iRefIndex	6	MPS	Held-out	0.125883949
iRefIndex	7	MPS	Held-out	0.125384996
iRefIndex	8	MPS	Held-out	0.123412065
iRefIndex	9	MPS	Held-out	0.127420153
iRefIndex	10	MPS	Held-out	0.127819189
MatrixDB	1	MPS	Held-out	0.121349862
MatrixDB	2	MPS	Held-out	0.118365108
MatrixDB	3	MPS	Held-out	0.124034216
MatrixDB	4	MPS	Held-out	0.121045392
MatrixDB	5	MPS	Held-out	0.117614729
MatrixDB	6	MPS	Held-out	0.123658872
MatrixDB	7	MPS	Held-out	0.123988479
MatrixDB	8	MPS	Held-out	0.125051646
MatrixDB	9	MPS	Held-out	0.124157844
MatrixDB	10	MPS	Held-out	0.117638965
Mentha	1	MPS	Held-out	0.091833308
Mentha	2	MPS	Held-out	0.090592547
Mentha	3	MPS	Held-out	0.091460996
Mentha	4	MPS	Held-out	0.088503677
Mentha	5	MPS	Held-out	0.094479539
Mentha	6	MPS	Held-out	0.092427481
Mentha	7	MPS	Held-out	0.094166845
Mentha	8	MPS	Held-out	0.092687542
Mentha	9	MPS	Held-out	0.086770677
Mentha	10	MPS	Held-out	0.093860613
MINT	1	MPS	Held-out	0.091152815
MINT	2	MPS	Held-out	0.096928124
MINT	3	MPS	Held-out	0.094985251
MINT	4	MPS	Held-out	0.085365854
MINT	5	MPS	Held-out	0.087905605
MINT	6	MPS	Held-out	0.087992937
MINT	7	MPS	Held-out	0.092725104
MINT	8	MPS	Held-out	0.091152019
MINT	9	MPS	Held-out	0.088967972
MINT	10	MPS	Held-out	0.090989399
MultiNet	1	MPS	Held-out	0.176017497
MultiNet	2	MPS	Held-out	0.17712771
MultiNet	3	MPS	Held-out	0.175900409
MultiNet	4	MPS	Held-out	0.169734345
MultiNet	5	MPS	Held-out	0.175123527
