Gene Set Group	Gene Set Name	Source	Gene List (NCBI Gene IDs)	
Experimental	Reed24_Histone demethylation module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"412,83869,414,8226,9383,90665,1964,22829,6192,5168,8908,8653,7503,64595,8284,8287,220001,5858,352887,100421480,7403,7404,246126,5616,7543,7544,7037,9086,9087"	29
Experimental	Reed24_Leukocyte module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"896,7040,80896,6275,84868,644,6277,391,7431,80774,51338,6282,7305,397,7940,123920,1043,10261,409,3614,2207,6688,5538,51108,10148,7846,1192,27180,2350,10287,11314,695,3384,7351,9535,962,834,53827,63940,7107,25927,712,713,7114,714,966,199,5199,9168,2769,4818,9046,128346,23643,2014,2015,4064,100506115,112616,51177,10603,10861,23406,3965,8685,83442,51316,10870,3958,9976,2170,55803,57085,11006,1535"	75
Experimental	Reed24_Neutrophil activation module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"389634,1032,91662,115727,9744,23569,79887,9750,3101,9770,124460,9262,10288,23601,653361,3635,10804,79930,1084,353345,202309,201799,28232,3148,2124,201294,10320,4688,10321,257106,4689,10326,3579,374872,8794,51291,5724,283234,64098,3684,101,8807,3687,8809,120425,137835,3689,51312,113,64115,58484,266747,8826,200315,7805,374403,81030,6279,6280,3718,84106,6283,26253,5777,100505746,5778,56978,2204,5788,5791,115362,2215,54440,10409,7850,8875,2219,5293,23214,4778,84658,100049587,3772,10943,6850,25797,25801,719,9938,51411,5330,2268,4317,4318,353514,4332,57580,752,7409,241,240,89846,5880,283897,83706,116986,762,9473,6402,11010,6404,60675,128193286,6916,1794,2313,10507,64780,8972,116496,11025,84243,11031,222487,7454,7456,8993,57126,7462,29992,81704,133418,146225,306,2357,2358,822,255809,64333,8530,643418,9051,3936,1378,126308,150372,80228,6503,57705,26996,8569,9595,64386,393,11151,64407,9625,6556,126364,924,1439,64926,5023,1441,338339,10659,79865,9123,94120,10154,5552,10673,1462,951,953,7097,4542,54210,963,152007,5579,5580,11213,4046,9170,80342,85464,7130,84958,4069,2533,23526,11240,3561,55784,2539,23533,3055,1520,3059,4600,3577,8698,199675"	204
Experimental	Reed24_Organic acid metabolic process module	"Sosa, R. A. et al. Myeloid spatial and transcriptional molecular signature of ischemia-reperfusion injury in human liver transplantation. Hepatol Commun 8, (2024)"	"140290,134147,7172,2053,10247,9,10,10249,1548,116236,55825,8722,51733,1558,1559,54810,85021,30,55328,33,4129,8743,1579,90668,23600,57393,563,282679,51768,6718,132158,203328,64577,56898,51268,143941,1610,10826,64077,2639,23632,64081,3155,131669,3158,5207,10841,54363,1628,7263,27232,53345,51302,3176,10857,115817,9324,1644,622,221294,7276,8309,414328,58488,56954,635,126,10367,127,128,130,5763,92292,58510,5264,2705,80017,10901,6296,664,8856,670,58527,9380,6821,56998,153769,173,686,112817,1719,189,101929664,25793,5824,5827,6342,90313,5833,151242,54988,101101775,4817,210,91860,4311,10455,217,87769,216,1757,223,229,126695,7399,8424,3818,9963,64236,25837,10991,9455,64241,9970,283375,10998,554235,135932,644861,25854,148738,29958,150280,64776,79629,6414,1807,275,93974,388886,2328,7447,8991,92960,2346,28970,57134,83758,64816,164656,101927219,57142,2875,5950,284992,80195,839,25934,847,8529,6999,254295,282969,345,89953,1892,126823,11112,57715,9588,2938,100507008,57733,84869,646023,79754,90507,2954,6540,51084,5009,100131733,11162,56731,6554,7069,10144,373156,420,79783,1962,6576,6580,387509,8630,55224,155066,1471,140738,23491,93129,23498,219595,6603,462,3029,55256,80344,84954,3033,51166,2534,5096,55273,54762,51179,3053,51181,5106,388595,501,23541,5624,9211,6652,348158"	226
Experimental	Veleri24_cilia	"Jayarajan, R. O., Chakraborty, S., Raghu, K. G., Purushothaman, J. & Veleri, S. Joubert syndrome causing mutation in C2 domain of CC2D2A affects structural integrity of cilia and cellular signaling molecules. Exp. Brain Res. (2024) doi:10.1007/s00221-023-06762-y"	"167691,9371,128505377,150051,220070,90410,11057,2737,100874291,9654,132090872,124602,28987,3004,105372233,100874314,118597836,22863,102725201,23251,9940,81631,54498,867,100174949,93035,147183,114,5108,1656"	30
Experimental	Yu24	"Shah, A. M. et al. Large scale plasma proteomics identifies novel proteins and protein networks associated with heart failure development. Nat. Commun. 15, 528 (2024)"	"4481,2690,9353,4239,148113,7058,10516,285,3485,11167,10272,5789,3490,1956,10406,7079,9518,10418,319,27329,54210,1990,7123,6359,6876,735,4321,481,7139,114798,3699,79987,4982,55799,57722,8829"	36
Experimental	Zhao24_CAFRGs	"Li, C. et al. Integrating single-cell and bulk transcriptomic analyses to develop a cancer-associated fibroblast-derived biomarker for predicting prognosis and therapeutic response in breast cancer. Front. Immunol. 14, 1307588 (2023)"	"1028,5764,7046,91653,1545,4239,171024,83987,1301,6934,1303,5627,55323,667,3487,3489,5796,8613,79783,128553,4907,8507,53826,60485,716,83660,8910,79827,8404,9563,9180,861,1759,25825,79586,10085,92521,2922,30061,6382,1519,9467,8572"	43
Literature	ACTH-Secreting Pituitary Adenoma	DisGeNET	"2688,1153,3458,2691,10628,1029,5126,9095,3977,652,9101,100302736,5626,1813,5655,6423,3486,673,1956,2597,10534,7078,3290,10671,5566,190,3066,5443,51014,115482696,10062,104909134,51025,5457,5715,595,55384,9049,2778,115482713,5468,2908,83550,6750,353376,6752,574434,6755,84196,3429,6753,999,1392,1393,1394,3569,7157,5595,3320,1018,4221"	
Literature	AICARDI-GOUTIERES SYNDROME	DisGeNET	"11274,2572,11277,23586,442917,1581,51763,6223,595,596,3156,8277,55384,340061,3170,102724197,103,104,5743,627,2678,4094,2691,2694,64135,5265,23186,84126,728226,23207,182,84153,8378,9402,4803,196,4311,4313,4314,64221,25825,402665,729838,4853,4854,57084,1282,2309,79621,653590,2332,7965,5920,10535,25897,2875,115004,7486,4928,51520,836,841,842,10059,8530,25939,1364,1366,23395,10598,3433,3439,9074,9076,885,1398,3447,887,728441,129401,106478973,3456,147339,3981,64399,55190,1432,7064,22938,26524,114086,2477,80309,92086,8635,1471,649159,51655,27086,406991,7124,2520,26073,5594,1499,23523,5604,1509,27113,3569,9203,7157,3576,574457,407035,8190"	
Literature	AIDS related complex	DisGeNET	"407040,2068,2074,3105,51750,252969,9260,57410,2638,596,9817,2152,387700,641,4739,142,2703,5265,9365,84639,4255,26276,27306,4780,182,4790,9402,23237,718,6866,4318,81631,3299,3814,3831,1786,7422,4353,7430,1302,4891,7965,25897,2876,2878,2879,7486,328,1871,6996,7508,7515,10587,100500831,351,10598,4968,133482,23411,1398,2944,1409,113026,7040,2947,23424,2950,2952,3981,63894,1432,1946,406942,7071,373156,4524,4016,1969,4018,947,8647,406991,4047,59348,7124,472,26073,5594,407006,3553,407021,3566,3569,1012,7157,2551,2041"	
Literature	AMYOTROPHIC LATERAL SCLEROSIS 1	DisGeNET	"9217,3082,400916,3605,31,9782,9790,11328,2130,596,84061,5216,51303,7295,7296,4747,56975,9896,5805,4280,4820,171221,3798,3801,644314,23770,2280,2281,3308,2286,2287,2288,2289,3315,56052,9973,1270,7415,248,55033,51450,250,3320,60681,3337,51473,8468,29978,64283,283,1319,3375,164656,2876,834,837,331,847,7001,100302183,6506,25978,22920,4489,4490,23435,4493,4494,4495,4496,4498,4499,4500,4501,4502,10133,3483,7074,29110,4543,4544,961,51661,8148,2521,203228,1506,6647,6648,3065"	
Literature	ATRICHIA WITH PAPULAR LESIONS	DisGeNET	"4609,9474,4869,2185,84106,2187,4236,3212,5371,2322,2965,7704,5914,1051,1053,10269,4000,57761,10657,407975,406954,8878,5551,23089,6962,178,3123,23604,308,4146,10555,51780,5573,8900,644165,57412,5578,1611,4684,7291,5579,207,2258,2260,7253,10966,84823,2648,23636,6869,5595,112476,5468,51164,353,355,3684,2147,2150,2152,51176,6256,7409,115,7155,7161,283131,7421"	
Literature	"AURAL ATRESIA, CONGENITAL"	DisGeNET	"3586,2,9734,5130,12,5139,54808,5663,3106,497189,6696,4137,5175,1081,4155,60,3133,23621,590,8803,1636,7781,3684,105375847,344167,3687,55907,2147,7276,7278,2162,7291,3710,2688,2185,2201,5788,10911,1191,177,183,3769,5817,199,1742,10452,5332,8406,4311,213,116443,5340,4318,9445,7916,7917,240,90865,26353,3827,7920,4854,375033,1284,1292,780,4893,2335,10529,64805,2353,314,5444,325,3918,335,50514,11093,3416,5465,348,351,8553,6506,4973,2934,7040,1437,7078,4519,51112,63929,1471,8639,84417,4035,8648,4041,968,6094,10194,7122,7124,6622,3553,170474,3569,5621,4087,4088"	
Literature	Abnormality of the skeletal system	DisGeNET	"6662,83987,10262,10265,9241,51741,9759,545,23586,8741,554,560,4146,7227,4669,55870,2114,2629,2131,1108,1107,5727,100,5741,112752,5745,5744,6774,632,2688,5251,64135,4745,1674,650,652,653,60561,657,9361,3220,5781,57492,2200,668,3230,2719,2720,4773,9896,5290,2736,9401,57539,170691,5832,2260,2261,1750,2778,4827,4854,2296,5885,1278,1280,3339,2317,270,4880,145173,56603,29980,3371,90417,11061,79158,30008,9533,126792,6473,57167,5972,10586,3425,9572,9573,1387,57728,7042,8074,51082,10128,8085,3479,3481,7066,7067,414,4000,11168,55203,4010,2475,2990,51119,23476,204219,3516,29123,80333,1499,990,2018,200162,23522,3572,7157,9719,4088"	
Literature	Absence Epilepsy	DisGeNET	"2562,2563,2566,9254,3623,8243,2099,6720,6223,84061,51305,4204,2670,4208,1139,5243,10368,80003,2703,5266,114327,1181,7337,6323,6324,3766,5816,8378,6334,3786,54475,81614,8911,8912,8913,5332,221927,84720,4851,4852,248,250,3326,773,50966,3350,3356,6949,3375,348980,821,5955,1859,2891,2893,859,2911,2914,163175,6506,2923,6513,22906,4988,6529,7057,10656,114086,1958,3497,8629,693182,26047,961,6096,3569,2550,2554,2558,2559"	
Literature	Acoustic Neuroma	DisGeNET	"2048,146433,1026,1029,2056,2057,3082,3084,2064,2065,2066,20,140821,21,8216,9244,29,1571,6696,23089,55858,2099,9780,5172,94274,115482696,7248,7249,5715,595,596,3676,353376,4193,5728,2668,5743,627,9332,6772,8829,4233,4763,673,4771,6648,10409,5290,7852,6331,7869,57534,4288,326340,2246,2247,207,9429,4313,4318,107075310,4846,7422,3845,8462,5925,4902,10534,2346,3887,3892,7490,51014,1351,841,847,3920,79187,9048,857,7001,3429,358,359,361,363,367,114548,7039,896,7040,902,2950,55181,3984,83856,7057,100302736,1435,1950,6558,4513,1956,2475,10671,435,1973,1974,1977,1981,960,23493,29126,6598,574411,59341,406991,6611,7124,5594,57824,2022,3569,7157,5111,8184"	
Literature	Acquired Hypogammaglobulinemia	DisGeNET	"56832,3586,3077,359948,91662,57379,3107,23075,8741,3119,4153,60,3662,10320,596,3669,604,1118,115482723,3687,3702,6776,6777,64127,640,5265,9370,29851,5788,2217,8874,2220,7345,4790,4791,695,59067,1236,6363,3806,3812,23274,10986,7409,28407,50943,4360,5897,5896,1803,6949,79661,10541,6962,819,1847,51008,325,5450,331,54106,1380,7015,3439,3447,3458,930,943,51119,10673,952,958,959,115650,23495,4049,84433,7124,1493,987,4068,3558,3559,3565,3567,3569,7157"	
Literature	Acromegaly	DisGeNET	"4609,1027,1029,140821,83478,7200,7201,1585,54845,724030,581,4684,2641,55890,6737,115482713,83550,6750,6752,6751,10850,6755,1636,57447,100125288,2668,3692,5741,7291,4221,7295,2688,6271,2690,2691,2692,3717,8835,2695,1154,2696,5774,5775,9365,156,27295,5792,673,10911,690,26291,2740,181,183,185,57534,4288,196,2247,6345,6347,5325,2771,55507,4313,2778,1755,79068,3290,759,250,7421,7422,5894,9993,1803,2316,268,50964,80150,10519,796,4893,811,5443,5449,10058,1869,56654,5972,5973,9049,5979,348,5468,22882,4968,3952,3958,4982,1401,6524,54658,2950,22931,353174,10135,3480,3479,408,8600,6046,3486,4524,6574,26033,4023,55226,6590,1471,5567,11200,4548,5573,79813,4552,406991,6097,6611,470,3547,1508,5617,7157,7161"	
Literature	Actinic keratosis	DisGeNET	"4609,1026,3075,79876,1029,1030,140807,1019,9232,2067,4118,3099,10269,9252,8743,3632,1591,4157,4171,3662,51284,596,115482713,6750,6751,6752,10850,3691,51311,5743,27250,629,6774,50808,27259,3713,7299,1163,2191,5266,3221,81567,673,123041,5290,9402,57534,4288,3265,147138,196,203,204,205,6863,2261,4312,4313,4314,5338,4321,2273,9447,107075310,5362,6392,4345,7421,50943,25859,7431,2312,9997,1308,7965,3868,3872,25897,3371,90417,399668,10058,4436,7508,1366,5465,3930,9564,112476,1890,356,10598,360,367,6513,23411,9076,1398,2944,3981,100528016,5010,1432,1434,1950,4000,5536,5538,4513,1956,5037,7099,959,6595,29126,3014,5578,5579,406987,7124,26073,5594,1500,284131,6121,4594,644596,7157,7158,5111,4089,407035"	
Literature	Acute Chest Syndrome	DisGeNET	"2053,2056,28,31,32,55349,4150,55350,51271,53342,105375847,2152,2159,30834,2167,53369,2170,10365,6279,6280,6283,2194,2200,153,154,4256,4261,2214,2215,177,183,185,4282,2244,6347,8398,6352,213,214,4312,4313,4314,6363,217,4317,6366,4318,6376,240,241,6387,375033,6401,10498,4353,6402,6404,6403,317716,80149,22808,285,301,6462,203074,260431,335,338,348,355,51573,6524,383,4481,22915,6532,27022,8600,410,4512,4513,4524,8651,57817,80352,2539,8692,4597,8693,51703,2551,442902,162333,551,6696,27178,566,2615,2621,92737,4681,2641,596,2645,55902,611,100125288,6761,4718,10866,64115,64116,627,6774,6776,6777,2694,652,2701,8862,283297,6817,4771,682,4780,84654,4782,6833,2737,2740,4790,56005,84680,2773,738,4842,4843,4846,340719,90865,2811,23305,4879,6927,4883,790,8991,6943,4898,129831,92979,2875,101927746,834,842,58191,2908,4968,4973,23411,4982,7033,7035,2944,7040,7042,7043,2952,23437,7056,7057,375704,7066,23452,11167,929,931,5028,11173,7077,940,941,948,7097,7099,5054,959,960,342977,958,693190,5069,11213,7124,3039,3040,7137,7139,5104,7157,246778,3082,5130,7180,23569,23583,3105,7202,3107,3106,619554,574501,574504,1071,3123,5175,5176,724030,5196,23630,5205,3162,1116,23659,7276,54386,5243,7292,23676,7293,7299,1158,9360,5265,9370,9388,7350,7351,3263,5319,5320,5321,54474,5327,1234,5332,54487,79068,3303,25833,3308,7408,5362,7412,7422,1281,3329,54535,100422921,7439,7450,3356,9507,64805,25902,9518,3383,30009,5443,5444,5447,85320,64844,1361,79187,5465,5468,7517,5478,406891,1401,406906,406913,3458,1420,406924,9619,406932,406937,406938,406942,3487,1440,3491,1444,406948,406947,406959,406961,406962,3516,1471,5573,406982,5575,406991,406992,54738,407006,5599,3552,407009,407008,3553,3557,3558,3559,407021,3565,407024,407025,3570,3569,1524,3576,407033,407037,1535,407040,3586,9734,1543,3596,3600,151056,3604,1557,3606,3605,1565,1576,1577,9771,3645,9790,3659,3663,26191,3667,3669,3674,1636,5741,5742,5743,54898,100126336,3717,3728,5806,3791,1749,1750,3816,107075310,9973,255738,50943,5891,7941,79665,3897,5970,5972,3927,3931,8029,3934,3949,3952,3953,1906,114548,1909,3958,3959,200575,81794,59272,8074,83856,3988,3992,1950,6050,1956,4018,4023,4036,79813,26585,51182,2030,4088,57338"	
Literature	Acute Coronary Syndrome	DisGeNET	"2053,51206,28,35,10282,4150,4151,4153,101054525,51266,342096,114769,10327,53342,2147,2149,102,105375847,2152,10342,2155,2159,2167,2170,10365,8322,6279,6280,26762,6283,2191,2192,2194,151,153,154,4261,183,185,4282,2244,6347,8398,207,4306,213,214,4312,4313,4314,6363,217,4317,6366,4318,240,241,6387,375033,6401,10498,4353,6402,6404,6403,2321,221458,317716,22808,285,301,308,6462,325,335,338,345,348,355,356,26998,4481,22915,27022,410,22943,4512,4513,4524,8651,117196,117195,472,57817,51703,23038,442902,551,6696,27178,567,2621,6717,92737,6721,596,2645,8792,55902,10855,6761,2669,4718,64115,627,6774,23158,6776,633,6777,23164,55937,2694,2701,115352,8862,8864,672,682,6833,2740,4790,2744,10941,56005,84680,2784,738,23274,4846,23305,4878,4879,4881,4882,4883,790,11035,8991,4898,9002,6955,2875,2876,101927746,834,58191,2908,7012,4973,23411,4982,7035,7040,7052,7056,375704,23452,11167,929,7076,11173,7077,5028,940,941,947,948,7097,7099,5054,5055,959,958,693190,968,970,5069,7124,112935892,7137,7139,1004,9197,5104,246778,5130,23566,23569,7185,23583,3105,3106,619554,574501,1071,23600,3123,5175,5176,3146,23630,60495,1113,23659,7276,54386,58484,5243,7292,7293,7299,9360,5266,79001,9370,285852,140451,1191,9388,259249,7351,5319,5320,5321,3274,7369,554188,9415,5327,1234,54487,5340,79068,25830,3303,25833,3308,7408,5362,64755,134391,7422,3329,54535,100422921,64784,165140,7450,79135,9507,64805,25902,9518,30009,5444,5447,85320,1356,222545,1361,5465,5468,3439,3447,1401,406906,406913,3479,1432,406938,406942,3487,3491,406948,406962,155061,1471,406980,406991,50639,5599,3552,407009,407008,3553,1508,1509,3557,3559,3558,407024,407025,3569,1524,3574,3575,3576,3578,1535,3586,9734,1543,3600,151056,1555,3604,1557,3606,1559,3605,1565,1576,1577,441931,56910,3663,26191,3667,3669,3674,1628,1636,5741,5742,5743,54898,100126336,3717,3728,5786,5806,59082,3791,3811,3816,9961,9962,107075310,255738,50943,7939,440068,7941,1803,79665,10058,3921,5972,3931,8029,442206,3934,3949,3952,1906,114548,3958,3959,79746,59272,8074,59286,3992,1956,1958,55213,4018,4035,4036,79813,4051,59352,26585,4068"	
Literature	Acute Erythroblastic Leukemia	DisGeNET	"2048,4609,1026,1538,4099,1539,64006,54790,3078,2057,2056,57862,3589,3084,51727,2064,2065,2066,171023,1046,25,3609,7707,1050,2078,6688,6689,619554,51703,5155,3624,23089,2099,6709,100133941,6199,110006328,60,6717,23613,2623,2624,2113,11329,55363,581,2120,5705,5196,596,29785,161882,3163,3674,30816,2146,6754,613,65125,4200,3178,5741,5743,2672,4210,6772,23158,6774,6776,6777,4218,5243,3716,3717,64644,3718,648,8328,943,8843,2187,142,9361,148,3222,151,27287,2720,10401,3232,56996,57509,680,5290,5291,7852,5292,5294,57007,5293,64689,4778,10419,54963,4780,183,2232,10935,5818,4283,2235,695,3265,100775105,4291,1736,6857,4297,3276,5327,4306,212,84182,1756,4830,3298,5862,3815,231,6886,4841,3308,1773,238,239,4851,1267,3320,5371,2811,100616444,7422,4352,9474,6915,6916,4869,10498,5894,2313,2314,3339,4363,23305,3855,2322,6419,2324,83733,1302,5914,114971,5916,4893,8989,799,407010,79139,10533,22821,7975,27436,4914,307,2866,309,11059,728378,7486,109580095,834,7490,836,3399,6472,10058,5451,1869,110011217,1874,5970,51540,1876,7001,3418,1371,5468,861,6495,3425,1378,406885,358,6502,7018,7531,9071,7024,3047,1909,10614,6521,7033,7035,7036,7037,406910,7040,7042,7555,7045,2950,27020,7052,7054,6037,7067,1436,1437,23451,406943,930,1956,7076,1958,5031,10663,407975,5034,149420,10159,5552,2993,2994,947,6580,2996,4018,388015,5048,9141,3039,960,4547,2000,9170,5076,7124,5594,1499,5595,5599,3040,5089,4066,2530,84959,3043,3046,10726,3048,8678,3049,3050,3045,3562,2539,3567,3568,3569,2034,23028,7157,2549,5111,8698,100532731,4092,7167"	
Literature	Acute GVH disease	DisGeNET	"407040,3586,7124,1540,10244,3588,11270,4615,407050,3082,7184,8720,1043,9235,3605,7190,374291,442900,3606,9242,3091,28,3614,31,23583,3105,3106,3107,2551,5669,54822,442919,8740,3113,139818,3627,3115,574506,3119,3123,3635,3125,55350,5175,4153,3643,8764,2621,9790,3135,3133,929,64581,3576,930,10314,115482699,4684,3146,1440,26191,590,5713,51284,339541,3669,3673,3674,3162,604,10333,1116,9308,261726,5724,115482723,64102,8807,3688,6761,10855,2669,3695,113263,51312,4722,64115,10870,6774,81533,64127,1665,7298,2177,3717,6790,1670,648,6794,2187,5266,2706,115352,5028,671,26273,8874,4780,5806,4790,1719,4283,5024,1728,196,25797,6343,7367,4297,9933,718,719,6352,100188881,1234,100533970,1236,23765,768213,5029,25816,10969,3802,728,213,5340,3806,406947,5345,3809,3811,3812,6885,10468,3813,3304,3305,738,7404,3308,6892,57585,90865,149233,7412,494326,6905,9466,7421,7422,494335,50943,4353,6402,7431,2833,2322,2324,2837,3866,7450,10524,285,1822,284,3620,129831,100507436,22829,6962,3383,10747,79679,51008,834,10563,324,3918,4942,3921,4434,84818,857,54106,2908,406892,1901,3439,23411,114548,374,3447,1401,7040,693121,3458,22914,81793,7056,28560,406938,1437,1950,5023,100528032,201633,5026,5027,1956,406948,5025,9127,114086,406953,22953,406954,940,4524,6573,943,10673,8626,947,50616,952,7096,7099,80316,7100,5054,5048,3002,958,100132285,406942,406980,406979,29126,406982,574411,5068,23500,27087,50639,4049,10194,6609,79828,1493,406996,112935892,472,348120,693210,2523,5594,7133,9181,2524,3552,3553,7132,8163,51684,5091,3558,3559,23526,407017,3557,3565,407021,8174,3566,3569,7157,407030,3575,4088,407029,3578,100532731,3574,80381"	
