NCBI Gene ID A	NCBI Gene ID B	Network/Network Coverage	Analysis Set	Model Number	pTM	ipTM	Model Confidence
4509	7352	GeneMANIA	Unreported	2	0.69	0.24	0.33
4509	7352	GeneMANIA	Unreported	3	0.69	0.25	0.338
4509	7352	GeneMANIA	Unreported	4	0.67	0.26	0.342
50649	56142	GeneMANIA	Unreported	0	0.38	0.23	0.26
50649	56142	GeneMANIA	Unreported	1	0.36	0.21	0.24
50649	56142	GeneMANIA	Unreported	2	0.34	0.23	0.252
50649	56142	GeneMANIA	Unreported	3	0.36	0.27	0.288
50649	56142	GeneMANIA	Unreported	4	0.34	0.26	0.276
139741	653269	GeneMANIA	Unreported	0	0.37	0.21	0.242
139741	653269	GeneMANIA	Unreported	1	0.37	0.25	0.274
139741	653269	GeneMANIA	Unreported	2	0.37	0.21	0.242
139741	653269	GeneMANIA	Unreported	3	0.36	0.25	0.272
139741	653269	GeneMANIA	Unreported	4	0.36	0.2	0.232
9069	125875	GeneMANIA	Unreported	0	0.45	0.19	0.242
9069	125875	GeneMANIA	Unreported	1	0.45	0.18	0.234
9069	125875	GeneMANIA	Unreported	2	0.46	0.22	0.268
9069	125875	GeneMANIA	Unreported	3	0.46	0.23	0.276
9069	125875	GeneMANIA	Unreported	4	0.42	0.16	0.212
25818	646424	GeneMANIA	Unreported	0	0.62	0.22	0.3
25818	646424	GeneMANIA	Unreported	1	0.6	0.21	0.288
25818	646424	GeneMANIA	Unreported	2	0.62	0.27	0.34
25818	646424	GeneMANIA	Unreported	3	0.62	0.27	0.34
25818	646424	GeneMANIA	Unreported	4	0.63	0.29	0.358
25818	408187	GeneMANIA	Unreported	0	0.61	0.22	0.298
25818	408187	GeneMANIA	Unreported	1	0.62	0.27	0.34
25818	408187	GeneMANIA	Unreported	2	0.61	0.26	0.33
25818	408187	GeneMANIA	Unreported	3	0.74	0.67	0.684
25818	408187	GeneMANIA	Unreported	4	0.6	0.19	0.272
168374	441234	GeneMANIA	Unreported	0	0.27	0.22	0.23
168374	441234	GeneMANIA	Unreported	1	0.21	0.18	0.186
168374	441234	GeneMANIA	Unreported	2	0.21	0.18	0.186
168374	441234	GeneMANIA	Unreported	3	0.21	0.18	0.186
168374	441234	GeneMANIA	Unreported	4	0.21	0.17	0.178
9753	342945	GeneMANIA	Unreported	0	0.29	0.3	0.298
9753	342945	GeneMANIA	Unreported	1	0.29	0.31	0.306
9753	342945	GeneMANIA	Unreported	2	0.29	0.31	0.306
9753	342945	GeneMANIA	Unreported	3	0.28	0.3	0.296
9753	342945	GeneMANIA	Unreported	4	0.3	0.32	0.316
4537	7918	GeneMANIA	Unreported	0	0.29	0.12	0.154
4537	7918	GeneMANIA	Unreported	1	0.28	0.15	0.176
4537	7918	GeneMANIA	Unreported	2	0.29	0.16	0.186
4537	7918	GeneMANIA	Unreported	3	0.28	0.14	0.168
4537	7918	GeneMANIA	Unreported	4	0.28	0.16	0.184
2740	4537	GeneMANIA	Unreported	0	0.61	0.4	0.442
2740	4537	GeneMANIA	Unreported	1	0.59	0.53	0.542
2740	4537	GeneMANIA	Unreported	2	0.57	0.36	0.402
2740	4537	GeneMANIA	Unreported	3	0.52	0.32	0.36
2740	4537	GeneMANIA	Unreported	4	0.59	0.41	0.446
9069	100507421	GeneMANIA	Unreported	0	0.45	0.14	0.202
9069	100507421	GeneMANIA	Unreported	1	0.43	0.16	0.214
9069	100507421	GeneMANIA	Unreported	2	0.43	0.19	0.238
9069	100507421	GeneMANIA	Unreported	3	0.39	0.15	0.198
9069	100507421	GeneMANIA	Unreported	4	0.42	0.17	0.22
400713	100287226	GeneMANIA	Unreported	0	0.22	0.22	0.22
400713	100287226	GeneMANIA	Unreported	1	0.21	0.2	0.202
400713	100287226	GeneMANIA	Unreported	2	0.21	0.2	0.202
400713	100287226	GeneMANIA	Unreported	3	0.2	0.19	0.192
400713	100287226	GeneMANIA	Unreported	4	0.21	0.19	0.194
6386	101060389	GeneMANIA	Unreported	0	0.46	0.26	0.3
6386	101060389	GeneMANIA	Unreported	1	0.45	0.32	0.346
6386	101060389	GeneMANIA	Unreported	2	0.45	0.21	0.258
6386	101060389	GeneMANIA	Unreported	3	0.45	0.22	0.266
6386	101060389	GeneMANIA	Unreported	4	0.45	0.26	0.298
56107	653240	GeneMANIA	Unreported	0	0.5	0.15	0.22
56107	653240	GeneMANIA	Unreported	1	0.49	0.18	0.242
56107	653240	GeneMANIA	Unreported	2	0.5	0.19	0.252
56107	653240	GeneMANIA	Unreported	3	0.45	0.21	0.258
56107	653240	GeneMANIA	Unreported	4	0.5	0.23	0.284
56123	353332	GeneMANIA	Unreported	0	0.5	0.22	0.276
56123	353332	GeneMANIA	Unreported	1	0.45	0.11	0.178
56123	353332	GeneMANIA	Unreported	2	0.48	0.18	0.24
56123	353332	GeneMANIA	Unreported	3	0.49	0.13	0.202
56123	353332	GeneMANIA	Unreported	4	0.5	0.19	0.252
84527	728318	GeneMANIA	Unreported	0	0.3	0.11	0.148
84527	728318	GeneMANIA	Unreported	1	0.36	0.17	0.208
84527	728318	GeneMANIA	Unreported	2	0.35	0.14	0.182
84527	728318	GeneMANIA	Unreported	3	0.3	0.11	0.148
84527	728318	GeneMANIA	Unreported	4	0.29	0.1	0.138
84527	728279	GeneMANIA	Unreported	0	0.35	0.14	0.182
84527	728279	GeneMANIA	Unreported	1	0.34	0.15	0.188
84527	728279	GeneMANIA	Unreported	2	0.41	0.17	0.218
84527	728279	GeneMANIA	Unreported	3	0.37	0.13	0.178
84527	728279	GeneMANIA	Unreported	4	0.38	0.17	0.212
84527	728255	GeneMANIA	Unreported	0	0.34	0.15	0.188
84527	728255	GeneMANIA	Unreported	1	0.34	0.12	0.164
84527	728255	GeneMANIA	Unreported	2	0.39	0.16	0.206
84527	728255	GeneMANIA	Unreported	3	0.33	0.16	0.194
84527	728255	GeneMANIA	Unreported	4	0.34	0.13	0.172
84527	440051	GeneMANIA	Unreported	0	0.36	0.14	0.184
84527	440051	GeneMANIA	Unreported	1	0.35	0.13	0.174
84527	440051	GeneMANIA	Unreported	2	0.32	0.1	0.144
84527	440051	GeneMANIA	Unreported	3	0.38	0.15	0.196
84527	440051	GeneMANIA	Unreported	4	0.33	0.1	0.146
84527	439915	GeneMANIA	Unreported	0	0.32	0.1	0.144
84527	439915	GeneMANIA	Unreported	1	0.31	0.09	0.134
84527	439915	GeneMANIA	Unreported	2	0.31	0.1	0.142
84527	439915	GeneMANIA	Unreported	3	0.36	0.12	0.168
84527	439915	GeneMANIA	Unreported	4	0.34	0.15	0.188
84527	387273	GeneMANIA	Unreported	0	0.3	0.12	0.156
84527	387273	GeneMANIA	Unreported	1	0.31	0.11	0.15
84527	387273	GeneMANIA	Unreported	2	0.37	0.13	0.178
84527	387273	GeneMANIA	Unreported	3	0.33	0.13	0.17
84527	387273	GeneMANIA	Unreported	4	0.32	0.13	0.168
84527	387267	GeneMANIA	Unreported	0	0.29	0.1	0.138
84527	387267	GeneMANIA	Unreported	1	0.3	0.1	0.14
84527	387267	GeneMANIA	Unreported	2	0.31	0.11	0.15
84527	387267	GeneMANIA	Unreported	3	0.34	0.14	0.18
84527	387267	GeneMANIA	Unreported	4	0.36	0.13	0.176
84527	386685	GeneMANIA	Unreported	0	0.27	0.13	0.158
84527	386685	GeneMANIA	Unreported	1	0.36	0.15	0.192
84527	386685	GeneMANIA	Unreported	2	0.31	0.13	0.166
84527	386685	GeneMANIA	Unreported	3	0.35	0.17	0.206
84527	386685	GeneMANIA	Unreported	4	0.26	0.12	0.148
84527	386683	GeneMANIA	Unreported	0	0.37	0.15	0.194
84527	386683	GeneMANIA	Unreported	1	0.41	0.17	0.218
84527	386683	GeneMANIA	Unreported	2	0.36	0.13	0.176
84527	386683	GeneMANIA	Unreported	3	0.36	0.16	0.2
84527	386683	GeneMANIA	Unreported	4	0.36	0.16	0.2
84527	386679	GeneMANIA	Unreported	0	0.3	0.12	0.156
84527	386679	GeneMANIA	Unreported	1	0.35	0.18	0.214
84527	386679	GeneMANIA	Unreported	2	0.31	0.14	0.174
84527	386679	GeneMANIA	Unreported	3	0.37	0.14	0.186
84527	386679	GeneMANIA	Unreported	4	0.3	0.12	0.156
84527	386674	GeneMANIA	Unreported	0	0.27	0.14	0.166
84527	386674	GeneMANIA	Unreported	1	0.32	0.14	0.176
84527	386674	GeneMANIA	Unreported	2	0.28	0.15	0.176
84527	386674	GeneMANIA	Unreported	3	0.34	0.18	0.212
84527	386674	GeneMANIA	Unreported	4	0.24	0.15	0.168
84527	386672	GeneMANIA	Unreported	0	0.27	0.15	0.174
84527	386672	GeneMANIA	Unreported	1	0.24	0.15	0.168
84527	386672	GeneMANIA	Unreported	2	0.34	0.18	0.212
84527	386672	GeneMANIA	Unreported	3	0.31	0.15	0.182
84527	386672	GeneMANIA	Unreported	4	0.27	0.16	0.182
84527	100533177	GeneMANIA	Unreported	0	0.27	0.11	0.142
84527	100533177	GeneMANIA	Unreported	1	0.29	0.17	0.194
84527	100533177	GeneMANIA	Unreported	2	0.27	0.14	0.166
84527	100533177	GeneMANIA	Unreported	3	0.33	0.14	0.178
84527	100533177	GeneMANIA	Unreported	4	0.23	0.11	0.134
84527	100505753	GeneMANIA	Unreported	0	0.29	0.16	0.186
84527	100505753	GeneMANIA	Unreported	1	0.3	0.15	0.18
84527	100505753	GeneMANIA	Unreported	2	0.25	0.13	0.154
84527	100505753	GeneMANIA	Unreported	3	0.24	0.16	0.176
84527	100505753	GeneMANIA	Unreported	4	0.23	0.11	0.134
84527	100505724	GeneMANIA	Unreported	0	0.32	0.12	0.16
84527	100505724	GeneMANIA	Unreported	1	0.36	0.17	0.208
84527	100505724	GeneMANIA	Unreported	2	0.34	0.13	0.172
84527	100505724	GeneMANIA	Unreported	3	0.37	0.14	0.186
84527	100505724	GeneMANIA	Unreported	4	0.33	0.11	0.154
56128	60437	GeneMANIA	Unreported	0	0.33	0.16	0.194
56128	60437	GeneMANIA	Unreported	1	0.32	0.16	0.192
56128	60437	GeneMANIA	Unreported	2	0.32	0.17	0.2
56128	60437	GeneMANIA	Unreported	3	0.31	0.16	0.19
56128	60437	GeneMANIA	Unreported	4	0.33	0.16	0.194
8655	23054	BioPlex 293T	Unreported	0	0.23	0.42	0.382
8655	23054	BioPlex 293T	Unreported	1	0.25	0.61	0.538
8655	23054	BioPlex 293T	Unreported	2	0.23	0.4	0.366
8655	23054	BioPlex 293T	Unreported	3	0.26	0.5	0.452
8655	23054	BioPlex 293T	Unreported	4	0.24	0.37	0.344
140735	256949	BioPlex 293T	Unreported	0	0.37	0.84	0.746
140735	256949	BioPlex 293T	Unreported	1	0.38	0.34	0.348
140735	256949	BioPlex 293T	Unreported	2	0.35	0.87	0.766
140735	256949	BioPlex 293T	Unreported	3	0.37	0.81	0.722
140735	256949	BioPlex 293T	Unreported	4	0.37	0.88	0.778
79654	124995	BioPlex 293T	Unreported	0	0.44	0.14	0.2
79654	124995	BioPlex 293T	Unreported	1	0.42	0.13	0.188
79654	124995	BioPlex 293T	Unreported	2	0.41	0.11	0.17
79654	124995	BioPlex 293T	Unreported	3	0.41	0.12	0.178
79654	124995	BioPlex 293T	Unreported	4	0.42	0.12	0.18
6595	56156	BioPlex 293T	Unreported	0	0.3	0.15	0.18
6595	56156	BioPlex 293T	Unreported	1	0.3	0.14	0.172
6595	56156	BioPlex 293T	Unreported	2	0.3	0.15	0.18
6595	56156	BioPlex 293T	Unreported	3	0.29	0.14	0.17
6595	56156	BioPlex 293T	Unreported	4	0.29	0.13	0.162
9623	23389	BioPlex 293T	Unreported	0	0.6	0.26	0.328
9623	23389	BioPlex 293T	Unreported	1	0.6	0.28	0.344
9623	23389	BioPlex 293T	Unreported	2	0.6	0.38	0.424
9623	23389	BioPlex 293T	Unreported	3	0.59	0.29	0.35
9623	23389	BioPlex 293T	Unreported	4	0.59	0.39	0.43
64795	256302	BioPlex 293T	Unreported	0	0.49	0.11	0.186
64795	256302	BioPlex 293T	Unreported	1	0.46	0.13	0.196
64795	256302	BioPlex 293T	Unreported	2	0.49	0.11	0.186
64795	256302	BioPlex 293T	Unreported	3	0.47	0.1	0.174
64795	256302	BioPlex 293T	Unreported	4	0.5	0.12	0.196
6616	10456	BioPlex 293T	Unreported	0	0.44	0.23	0.272
6616	10456	BioPlex 293T	Unreported	1	0.43	0.21	0.254
6616	10456	BioPlex 293T	Unreported	2	0.42	0.15	0.204
6616	10456	BioPlex 293T	Unreported	3	0.36	0.17	0.208
6616	10456	BioPlex 293T	Unreported	4	0.41	0.22	0.258
221301	641654	BioPlex 293T	Unreported	0	0.47	0.21	0.262
221301	641654	BioPlex 293T	Unreported	1	0.42	0.18	0.228
221301	641654	BioPlex 293T	Unreported	2	0.44	0.16	0.216
221301	641654	BioPlex 293T	Unreported	3	0.44	0.15	0.208
221301	641654	BioPlex 293T	Unreported	4	0.39	0.13	0.182
6789	23619	BioPlex 293T	Unreported	0	0.35	0.17	0.206
6789	23619	BioPlex 293T	Unreported	1	0.35	0.22	0.246
6789	23619	BioPlex 293T	Unreported	2	0.39	0.35	0.358
6789	23619	BioPlex 293T	Unreported	3	0.35	0.18	0.214
6789	23619	BioPlex 293T	Unreported	4	0.36	0.2	0.232
55172	57468	BioPlex 293T	Unreported	0	0.47	0.25	0.294
55172	57468	BioPlex 293T	Unreported	1	0.45	0.2	0.25
55172	57468	BioPlex 293T	Unreported	2	0.43	0.23	0.27
55172	57468	BioPlex 293T	Unreported	3	0.45	0.19	0.242
55172	57468	BioPlex 293T	Unreported	4	0.47	0.2	0.254
9678	128312	BioPlex 293T	Unreported	0	0.44	0.2	0.248
9678	128312	BioPlex 293T	Unreported	1	0.43	0.14	0.198
9678	128312	BioPlex 293T	Unreported	2	0.43	0.18	0.23
9678	128312	BioPlex 293T	Unreported	3	0.43	0.15	0.206
9678	128312	BioPlex 293T	Unreported	4	0.42	0.15	0.204
7533	27115	BioPlex 293T	Unreported	0	0.56	0.17	0.248
7533	27115	BioPlex 293T	Unreported	1	0.57	0.28	0.338
7533	27115	BioPlex 293T	Unreported	2	0.57	0.28	0.338
7533	27115	BioPlex 293T	Unreported	3	0.55	0.2	0.27
7533	27115	BioPlex 293T	Unreported	4	0.58	0.26	0.324
51340	140886	BioPlex 293T	Unreported	0	0.39	0.16	0.206
51340	140886	BioPlex 293T	Unreported	1	0.37	0.14	0.186
51340	140886	BioPlex 293T	Unreported	2	0.38	0.14	0.188
51340	140886	BioPlex 293T	Unreported	3	0.38	0.2	0.236
51340	140886	BioPlex 293T	Unreported	4	0.38	0.15	0.196
6431	54534	BioPlex 293T	Unreported	0	0.27	0.15	0.174
6431	54534	BioPlex 293T	Unreported	1	0.27	0.15	0.174
6431	54534	BioPlex 293T	Unreported	2	0.32	0.37	0.36
6431	54534	BioPlex 293T	Unreported	3	0.38	0.31	0.324
6431	54534	BioPlex 293T	Unreported	4	0.37	0.41	0.402
332	23389	BioPlex 293T	Unreported	0	0.58	0.3	0.356
332	23389	BioPlex 293T	Unreported	1	0.59	0.25	0.318
332	23389	BioPlex 293T	Unreported	2	0.59	0.27	0.334
332	23389	BioPlex 293T	Unreported	3	0.58	0.27	0.332
332	23389	BioPlex 293T	Unreported	4	0.59	0.39	0.43
5414	116983	BioPlex 293T	Unreported	0	0.39	0.14	0.19
5414	116983	BioPlex 293T	Unreported	1	0.41	0.15	0.202
5414	116983	BioPlex 293T	Unreported	2	0.4	0.14	0.192
5414	116983	BioPlex 293T	Unreported	3	0.39	0.16	0.206
5414	116983	BioPlex 293T	Unreported	4	0.38	0.14	0.188
6854	26747	BioPlex 293T	Unreported	0	0.39	0.19	0.23
6854	26747	BioPlex 293T	Unreported	1	0.42	0.33	0.348
6854	26747	BioPlex 293T	Unreported	2	0.39	0.24	0.27
6854	26747	BioPlex 293T	Unreported	3	0.39	0.22	0.254
6854	26747	BioPlex 293T	Unreported	4	0.4	0.24	0.272
55257	128312	BioPlex 293T	Unreported	0	0.3	0.12	0.156
55257	128312	BioPlex 293T	Unreported	1	0.3	0.12	0.156
55257	128312	BioPlex 293T	Unreported	2	0.4	0.32	0.336
55257	128312	BioPlex 293T	Unreported	3	0.3	0.11	0.148
55257	128312	BioPlex 293T	Unreported	4	0.33	0.18	0.21
51264	79654	BioPlex 293T	Unreported	0	0.51	0.2	0.262
51264	79654	BioPlex 293T	Unreported	1	0.48	0.16	0.224
51264	79654	BioPlex 293T	Unreported	2	0.49	0.13	0.202
51264	79654	BioPlex 293T	Unreported	3	0.48	0.11	0.184
51264	79654	BioPlex 293T	Unreported	4	0.51	0.15	0.222
2805	5753	BioPlex 293T	Unreported	0	0.52	0.13	0.208
2805	5753	BioPlex 293T	Unreported	1	0.54	0.16	0.236
2805	5753	BioPlex 293T	Unreported	2	0.52	0.14	0.216
2805	5753	BioPlex 293T	Unreported	3	0.53	0.16	0.234
2805	5753	BioPlex 293T	Unreported	4	0.51	0.14	0.214
2805	386618	BioPlex 293T	Unreported	0	0.61	0.12	0.218
2805	386618	BioPlex 293T	Unreported	1	0.63	0.14	0.238
2805	386618	BioPlex 293T	Unreported	2	0.62	0.12	0.22
2805	386618	BioPlex 293T	Unreported	3	0.62	0.12	0.22
2805	386618	BioPlex 293T	Unreported	4	0.61	0.11	0.21
2805	285386	BioPlex 293T	Unreported	0	0.63	0.17	0.262
2805	285386	BioPlex 293T	Unreported	1	0.61	0.14	0.234
2805	285386	BioPlex 293T	Unreported	2	0.62	0.14	0.236
2805	285386	BioPlex 293T	Unreported	3	0.61	0.12	0.218
2805	285386	BioPlex 293T	Unreported	4	0.62	0.13	0.228
9623	10001	BioPlex 293T	Unreported	0	0.35	0.13	0.174
9623	10001	BioPlex 293T	Unreported	1	0.35	0.11	0.158
9623	10001	BioPlex 293T	Unreported	2	0.35	0.13	0.174
9623	10001	BioPlex 293T	Unreported	3	0.36	0.14	0.184
9623	10001	BioPlex 293T	Unreported	4	0.35	0.12	0.166
85438	122553	BioPlex 293T	Unreported	0	0.37	0.61	0.562
85438	122553	BioPlex 293T	Unreported	1	0.35	0.3	0.31
85438	122553	BioPlex 293T	Unreported	2	0.35	0.23	0.254
85438	122553	BioPlex 293T	Unreported	3	0.35	0.31	0.318
85438	122553	BioPlex 293T	Unreported	4	0.34	0.29	0.3
6430	10884	BioPlex 293T	Unreported	0	0.64	0.11	0.216
6430	10884	BioPlex 293T	Unreported	1	0.65	0.14	0.242
6430	10884	BioPlex 293T	Unreported	2	0.65	0.14	0.242
6430	10884	BioPlex 293T	Unreported	3	0.62	0.12	0.22
6430	10884	BioPlex 293T	Unreported	4	0.65	0.14	0.242
56157	85456	BioPlex 293T	Unreported	0	0.27	0.42	0.39
56157	85456	BioPlex 293T	Unreported	1	0.25	0.3	0.29
56157	85456	BioPlex 293T	Unreported	2	0.25	0.3	0.29
56157	85456	BioPlex 293T	Unreported	3	0.23	0.19	0.198
56157	85456	BioPlex 293T	Unreported	4	0.26	0.26	0.26
9623	219541	BioPlex 293T	Unreported	0	0.36	0.12	0.168
9623	219541	BioPlex 293T	Unreported	1	0.35	0.1	0.15
9623	219541	BioPlex 293T	Unreported	2	0.35	0.11	0.158
9623	219541	BioPlex 293T	Unreported	3	0.35	0.11	0.158
9623	219541	BioPlex 293T	Unreported	4	0.34	0.12	0.164
6431	10884	BioPlex 293T	Unreported	0	0.53	0.14	0.218
6431	10884	BioPlex 293T	Unreported	1	0.54	0.16	0.236
6431	10884	BioPlex 293T	Unreported	2	0.57	0.42	0.45
6431	10884	BioPlex 293T	Unreported	3	0.57	0.48	0.498
6431	10884	BioPlex 293T	Unreported	4	0.54	0.15	0.228
3400	145873	BioPlex 293T	Unreported	0	0.31	0.46	0.43
3400	145873	BioPlex 293T	Unreported	1	0.31	0.45	0.422
3400	145873	BioPlex 293T	Unreported	2	0.32	0.44	0.416
3400	145873	BioPlex 293T	Unreported	3	0.31	0.44	0.414
3400	145873	BioPlex 293T	Unreported	4	0.31	0.45	0.422
3250	10575	BioPlex 293T	Unreported	0	0.54	0.18	0.252
3250	10575	BioPlex 293T	Unreported	1	0.53	0.14	0.218
3250	10575	BioPlex 293T	Unreported	2	0.5	0.15	0.22
3250	10575	BioPlex 293T	Unreported	3	0.52	0.16	0.232
3250	10575	BioPlex 293T	Unreported	4	0.54	0.17	0.244
9623	54797	BioPlex 293T	Unreported	0	0.59	0.15	0.238
9623	54797	BioPlex 293T	Unreported	1	0.57	0.11	0.202
9623	54797	BioPlex 293T	Unreported	2	0.57	0.12	0.21
9623	54797	BioPlex 293T	Unreported	3	0.58	0.14	0.228
9623	54797	BioPlex 293T	Unreported	4	0.57	0.11	0.202
51699	441933	BioPlex 293T	Unreported	0	0.59	0.2	0.278
51699	441933	BioPlex 293T	Unreported	1	0.61	0.22	0.298
51699	441933	BioPlex 293T	Unreported	2	0.6	0.22	0.296
51699	441933	BioPlex 293T	Unreported	3	0.61	0.21	0.29
51699	441933	BioPlex 293T	Unreported	4	0.6	0.18	0.264
6620	10456	BioPlex 293T	Unreported	0	0.19	0.12	0.134
6620	10456	BioPlex 293T	Unreported	1	0.2	0.12	0.136
6620	10456	BioPlex 293T	Unreported	2	0.18	0.11	0.124
6620	10456	BioPlex 293T	Unreported	3	0.19	0.12	0.134
