,ptm,iptm,Model,Pair_str,model_conf,Background
2,0.75,0.51,2,51186_150737,0.558,All random
4,0.54,0.56,4,163882_91289,0.556,All random
2,0.46,0.58,2,26118_9600,0.5559999999999999,All random
2,0.46,0.58,2,52_115939,0.5559999999999999,All random
4,0.73,0.51,4,2079_158219,0.554,All random
3,0.4,0.59,3,1859_55839,0.552,All random
4,0.32,0.61,4,83860_376267,0.552,All random
0,0.44,0.58,0,79784_145553,0.5519999999999999,All random
3,0.55,0.55,3,55188_11329,0.55,All random
2,0.55,0.55,2,25852_5170,0.55,All random
3,0.74,0.5,3,23395_5160,0.548,All random
2,0.7,0.51,2,55860_196483,0.548,All random
1,0.42,0.58,1,89848_7428,0.5479999999999999,All random
1,0.78,0.48,1,54205_25809,0.54,All random
3,0.66,0.51,3,3312_26097,0.54,All random
4,0.5,0.55,4,23016_6871,0.54,All random
1,0.56,0.53,1,55647_219790,0.536,All random
2,0.55,0.53,2,79871_54704,0.534,All random
1,0.39,0.57,1,53938_120,0.534,All random
2,0.54,0.53,2,55839_64689,0.532,All random
3,0.41,0.56,3,56943_2778,0.53,All random
4,0.81,0.46,4,1373_1917,0.53,All random
0,0.49,0.54,0,27258_84895,0.53,All random
4,0.56,0.52,4,57226_219790,0.528,All random
3,0.76,0.47,3,9354_138716,0.528,All random
4,0.68,0.49,4,7407_26118,0.528,All random
4,0.47,0.54,4,64093_5423,0.526,All random
4,0.75,0.47,4,80169_8089,0.526,All random
2,0.39,0.56,2,6275_2073,0.526,All random
3,0.47,0.54,3,10569_23326,0.526,All random
4,0.46,0.54,4,131076_3799,0.524,All random
1,0.34,0.57,1,10775_84159,0.524,All random
4,0.61,0.5,4,6879_55188,0.522,All random
0,0.45,0.54,0,51163_93643,0.522,All random
4,0.49,0.53,4,960_10427,0.522,All random
2,0.63,0.49,2,2491_138716,0.518,All random
4,0.54,0.51,4,23028_64847,0.516,All random
0,0.82,0.44,0,55647_91039,0.516,All random
0,0.53,0.51,0,91289_7049,0.514,All random
0,0.57,0.5,0,8841_219790,0.514,All random
0,0.56,0.5,0,2246_945,0.512,All random
2,0.56,0.5,2,889_10171,0.512,All random
1,0.71,0.46,1,79023_27335,0.51,All random
2,0.38,0.54,2,51742_11004,0.508,All random
1,0.3,0.56,1,7917_9535,0.508,All random
2,0.54,0.5,2,6936_84959,0.508,All random
1,0.58,0.49,1,7384_64426,0.508,All random
2,0.37,0.54,2,93343_159195,0.506,All random
3,0.49,0.51,3,83741_10467,0.506,All random
1,0.24,0.57,1,2079_55320,0.504,All random
4,0.32,0.55,4,159195_245972,0.504,All random
0,0.5,0.5,0,85450_9361,0.5,All random
3,0.42,0.52,3,5073_9204,0.5,All random
4,0.65,0.46,4,6385_23390,0.49800000000000005,All random
3,0.57,0.48,3,151963_27429,0.498,All random
2,0.57,0.48,2,57111_54994,0.498,All random
3,0.61,0.47,3,55311_3303,0.498,All random
3,0.38,0.52,3,118_54913,0.49200000000000005,All random
4,0.48,0.49,4,5629_6877,0.488,All random
3,0.43,0.5,3,51534_80011,0.48600000000000004,All random
1,0.62,0.45,1,51186_79184,0.48400000000000004,All random
0,0.46,0.49,0,57509_2068,0.48400000000000004,All random
1,0.38,0.51,1,23528_23326,0.48400000000000004,All random
1,0.36,0.51,1,51566_80254,0.48000000000000004,All random
1,0.44,0.49,1,8667_81628,0.48000000000000004,All random
2,0.52,0.47,2,11044_2314,0.48,All random
2,0.55,0.46,2,64146_3276,0.4780000000000001,All random
3,0.3,0.52,3,283149_90864,0.47600000000000003,All random
2,0.62,0.44,2,51072_23532,0.47600000000000003,All random
0,0.38,0.5,0,11158_7469,0.47600000000000003,All random
4,0.33,0.51,4,1176_64793,0.47400000000000003,All random
2,0.6,0.44,2,80301_25821,0.47200000000000003,All random
0,0.51,0.46,0,51317_6773,0.4700000000000001,All random
3,0.43,0.48,3,26058_150737,0.47000000000000003,All random
2,0.62,0.43,2,23564_23582,0.468,All random
3,0.53,0.45,3,1386_84067,0.4660000000000001,All random
2,0.29,0.51,2,84191_11215,0.466,All random
2,0.37,0.49,2,79954_9204,0.466,All random
1,0.41,0.48,1,8798_25959,0.466,All random
2,0.45,0.47,2,10171_132320,0.466,All random
2,0.55,0.44,2,10427_91289,0.4620000000000001,All random
4,0.27,0.51,4,26122_51367,0.462,All random
1,0.31,0.5,1,51072_85456,0.462,All random
2,0.35,0.49,2,64146_6872,0.462,All random
4,0.5,0.45,4,63898_57805,0.4600000000000001,All random
1,0.49,0.45,1,10043_2639,0.4580000000000001,All random
4,0.37,0.48,4,102157402_26093,0.458,All random
3,0.33,0.49,3,159195_51150,0.458,All random
0,0.57,0.43,0,51072_27246,0.458,All random
1,0.29,0.5,1,9819_7428,0.458,All random
4,0.72,0.39,4,57130_4246,0.45600000000000007,All random
1,0.28,0.5,1,220001_83608,0.456,All random
4,0.36,0.48,4,7384_254102,0.456,All random
0,0.47,0.45,0,11004_7536,0.45400000000000007,All random
2,0.39,0.47,2,6929_26063,0.454,All random
4,0.27,0.5,4,80223_79172,0.454,All random
1,0.35,0.48,1,219988_254552,0.454,All random
4,0.59,0.42,4,4643_27246,0.454,All random
1,0.34,0.48,1,10902_64320,0.452,All random
4,0.73,0.38,4,25852_83699,0.45000000000000007,All random
4,0.45,0.45,4,8607_4605,0.45000000000000007,All random
1,0.49,0.44,1,5887_79184,0.45000000000000007,All random
4,0.61,0.41,4,50617_64359,0.45,All random
0,0.37,0.47,0,79983_5414,0.45,All random
0,0.4,0.46,0,80325_9819,0.44800000000000006,All random
1,0.52,0.43,1,9701_10907,0.44800000000000006,All random
3,0.48,0.44,3,54468_10009,0.44800000000000006,All random
1,0.4,0.46,1,79919_8243,0.44800000000000006,All random
0,0.52,0.43,0,9946_51704,0.44800000000000006,All random
4,0.51,0.43,4,10775_81839,0.44600000000000006,All random
1,0.55,0.42,1,1386_3312,0.44600000000000006,All random
1,0.51,0.43,1,3305_11129,0.44600000000000006,All random
2,0.39,0.46,2,3032_55320,0.44600000000000006,All random
4,0.35,0.47,4,1116_81792,0.446,All random
1,0.35,0.47,1,9546_10542,0.446,All random
0,0.54,0.42,0,351_2068,0.44400000000000006,All random
4,0.42,0.45,4,351_5160,0.44400000000000006,All random
2,0.58,0.41,2,80325_9652,0.444,All random
2,0.26,0.49,2,79983_28956,0.444,All random
2,0.37,0.46,2,5971_7428,0.44200000000000006,All random
3,0.61,0.4,3,55188_2968,0.44200000000000006,All random
0,0.41,0.45,0,51072_56134,0.44200000000000006,All random
0,0.4,0.45,0,989_8563,0.44000000000000006,All random
2,0.6,0.4,2,7936_3303,0.44000000000000006,All random
1,0.32,0.47,1,54926_9819,0.44,All random
0,0.43,0.44,0,5859_7917,0.43800000000000006,All random
2,0.47,0.43,2,55964_8662,0.43800000000000006,All random
0,0.43,0.44,0,4528_26507,0.43800000000000006,All random
3,0.31,0.47,3,80314_57213,0.438,All random
1,0.38,0.45,1,25959_653333,0.43600000000000005,All random
1,0.38,0.45,1,53938_6617,0.43600000000000005,All random
0,0.62,0.39,0,80169_96764,0.43600000000000005,All random
0,0.3,0.47,0,55904_10556,0.436,All random
0,0.37,0.45,0,25809_9411,0.43400000000000005,All random
3,0.45,0.43,3,11158_57695,0.43400000000000005,All random
0,0.37,0.45,0,50618_83608,0.43400000000000005,All random
0,0.65,0.38,0,7384_1022,0.43400000000000005,All random
1,0.44,0.43,1,5137_7936,0.43200000000000005,All random
0,0.56,0.4,0,94032_4548,0.43200000000000005,All random
3,0.48,0.42,3,118_84067,0.43200000000000005,All random
1,0.4,0.44,1,54521_55100,0.43200000000000005,All random
2,0.56,0.4,2,3726_1116,0.43200000000000005,All random
3,0.4,0.44,3,55357_80254,0.43200000000000005,All random
0,0.68,0.37,0,7323_158219,0.432,All random
1,0.28,0.47,1,147339_9403,0.432,All random
2,0.55,0.4,2,10239_10901,0.43000000000000005,All random
2,0.47,0.42,2,54521_6871,0.43000000000000005,All random
4,0.71,0.36,4,2967_3030,0.42999999999999994,All random
2,0.34,0.45,2,10325_55809,0.42800000000000005,All random
1,0.73,0.35,1,80011_23335,0.42599999999999993,All random
0,0.69,0.36,0,57186_9403,0.42599999999999993,All random
4,0.48,0.41,4,55245_3720,0.42400000000000004,All random
1,0.56,0.39,1,55011_55561,0.42400000000000004,All random
1,0.36,0.44,1,26100_55339,0.42400000000000004,All random
4,0.48,0.41,4,10474_727936,0.42400000000000004,All random
1,0.52,0.4,1,199692_409,0.42400000000000004,All random
1,0.4,0.43,1,8664_9819,0.42400000000000004,All random
2,0.51,0.4,2,10274_2491,0.42200000000000004,All random
3,0.43,0.42,3,8664_10009,0.42200000000000004,All random
0,0.39,0.43,0,1902_54762,0.42200000000000004,All random
2,0.43,0.42,2,3032_9701,0.42200000000000004,All random
4,0.47,0.41,4,199692_222229,0.42200000000000004,All random
4,0.51,0.4,4,51534_9535,0.42200000000000004,All random
4,0.59,0.38,4,51148_51412,0.42200000000000004,All random
1,0.47,0.41,1,28988_26100,0.42200000000000004,All random
1,0.59,0.38,1,83608_23274,0.42200000000000004,All random
2,0.58,0.38,2,23390_79980,0.42000000000000004,All random
1,0.54,0.39,1,10274_54531,0.42000000000000004,All random
2,0.7,0.35,2,10239_7384,0.41999999999999993,All random
4,0.45,0.41,4,83699_9600,0.41800000000000004,All random
2,0.41,0.42,2,51072_9204,0.41800000000000004,All random
4,0.37,0.43,4,80223_4528,0.41800000000000004,All random
0,0.45,0.41,0,7049_23390,0.41800000000000004,All random
0,0.65,0.36,0,404636_23408,0.418,All random
4,0.52,0.39,4,25852_55684,0.41600000000000004,All random
4,0.48,0.4,4,10468_50674,0.41600000000000004,All random
4,0.32,0.44,4,7189_58513,0.41600000000000004,All random
2,0.39,0.42,2,10492_254552,0.41400000000000003,All random
0,0.39,0.42,0,93624_50618,0.41400000000000003,All random
2,0.31,0.44,2,57509_26063,0.41400000000000003,All random
1,0.67,0.35,1,26100_83443,0.414,All random
4,0.46,0.4,4,80145_55357,0.4120000000000001,All random
2,0.46,0.4,2,8436_222229,0.4120000000000001,All random
0,0.42,0.41,0,2778_79184,0.41200000000000003,All random
0,0.42,0.41,0,1808_55320,0.41200000000000003,All random
3,0.26,0.45,3,80314_7428,0.41200000000000003,All random
0,0.58,0.37,0,5073_115106,0.412,All random
4,0.62,0.36,4,145553_2071,0.412,All random
0,0.66,0.35,0,57609_27097,0.412,All random
2,0.53,0.38,2,25809_23408,0.41000000000000003,All random
0,0.33,0.43,0,54443_79780,0.41000000000000003,All random
0,0.37,0.42,0,819_51534,0.41000000000000003,All random
4,0.65,0.35,4,79718_2720,0.41,All random
4,0.65,0.35,4,145553_528,0.41,All random
3,0.52,0.38,3,55561_64743,0.40800000000000003,All random
2,0.76,0.32,2,51560_2068,0.40800000000000003,All random
2,0.4,0.41,2,7090_64359,0.40800000000000003,All random
3,0.64,0.35,3,4141_389541,0.408,All random
4,0.47,0.39,4,145553_80011,0.406,All random
3,0.75,0.32,3,57609_56943,0.406,All random
4,0.51,0.38,4,26505_25852,0.406,All random
3,0.51,0.38,3,10427_5971,0.406,All random
0,0.39,0.41,0,10799_7871,0.406,All random
1,0.47,0.39,1,51654_284403,0.406,All random
4,0.59,0.36,4,57187_23059,0.40599999999999997,All random
4,0.42,0.4,4,2783_28981,0.4040000000000001,All random
1,0.42,0.4,1,219988_151963,0.4040000000000001,All random
1,0.38,0.41,1,66008_23597,0.404,All random
4,0.41,0.4,4,55245_2778,0.4020000000000001,All random
2,0.37,0.41,2,80349_6314,0.402,All random
4,0.49,0.38,4,5603_5170,0.402,All random
4,0.49,0.38,4,91408_138716,0.402,All random
3,0.4,0.4,3,93643_79184,0.4000000000000001,All random
4,0.52,0.37,4,3298_1368,0.4,All random
0,0.32,0.42,0,55729_5423,0.4,All random
1,0.64,0.34,1,7374_4246,0.4,All random
4,0.72,0.32,4,80349_80169,0.4,All random
0,0.72,0.32,0,3305_10094,0.4,All random
2,0.6,0.35,2,5121_6275,0.39999999999999997,All random
0,0.43,0.39,0,57805_6386,0.3980000000000001,All random
3,0.43,0.39,3,8061_9252,0.3980000000000001,All random
2,0.39,0.4,2,57805_6242,0.3980000000000001,All random
0,0.55,0.36,0,199692_80179,0.398,All random
3,0.51,0.37,3,4141_55188,0.398,All random
4,0.67,0.33,4,64847_2539,0.398,All random
3,0.47,0.38,3,64795_80145,0.398,All random
4,0.47,0.38,4,54620_8563,0.398,All random
3,0.46,0.38,3,9108_58513,0.3960000000000001,All random
2,0.42,0.39,2,23309_64359,0.3960000000000001,All random
1,0.42,0.39,1,51566_219790,0.3960000000000001,All random
2,0.5,0.37,2,91289_66008,0.396,All random
3,0.66,0.33,3,57111_3312,0.396,All random
4,0.62,0.34,4,50614_27296,0.396,All random
0,0.5,0.37,0,6874_3030,0.396,All random
2,0.7,0.32,2,3305_57132,0.396,All random
1,0.58,0.35,1,257218_55004,0.39599999999999996,All random
3,0.58,0.35,3,2783_27246,0.39599999999999996,All random
3,0.45,0.38,3,57111_8061,0.3940000000000001,All random
4,0.41,0.39,4,10325_80254,0.3940000000000001,All random
2,0.53,0.36,2,6936_84693,0.394,All random
0,0.49,0.37,0,55964_8563,0.394,All random
0,0.36,0.4,0,2256_23059,0.39200000000000007,All random
0,0.4,0.39,0,9701_5514,0.39200000000000007,All random
0,0.72,0.31,0,221823_10248,0.392,All random
4,0.76,0.3,4,7323_80169,0.392,All random
4,0.56,0.35,4,53938_64121,0.392,All random
1,0.76,0.3,1,83443_29015,0.392,All random
1,0.39,0.39,1,904_9765,0.39000000000000007,All random
3,0.71,0.31,3,8841_52,0.39,All random
4,0.71,0.31,4,23395_27296,0.39,All random
1,0.34,0.4,1,55722_23468,0.38800000000000007,All random
1,0.38,0.39,1,9869_96764,0.38800000000000007,All random
2,0.42,0.38,2,79954_9014,0.38800000000000007,All random
1,0.78,0.29,1,51072_83699,0.388,All random
1,0.66,0.32,1,3312_84693,0.388,All random
3,0.7,0.31,3,57609_1993,0.388,All random
4,0.37,0.39,4,404636_56134,0.38600000000000007,All random
1,0.41,0.38,1,6938_7881,0.38600000000000007,All random
1,0.69,0.31,1,51367_10095,0.386,All random
1,0.45,0.37,1,63898_10239,0.386,All random
4,0.57,0.34,4,10570_2068,0.386,All random
2,0.45,0.37,2,94032_23162,0.386,All random
4,0.53,0.35,4,27309_727936,0.386,All random
4,0.36,0.39,4,7917_79780,0.38400000000000006,All random
3,0.36,0.39,3,5097_115939,0.38400000000000006,All random
4,0.79,0.28,4,84191_64847,0.38200000000000006,All random
4,0.35,0.39,4,10362_9270,0.38200000000000006,All random
3,0.39,0.38,3,57695_10782,0.38200000000000006,All random
1,0.55,0.34,1,8798_9741,0.382,All random
1,0.47,0.36,1,6314_23274,0.382,All random
1,0.51,0.35,1,81839_1663,0.382,All random
4,0.55,0.34,4,3297_2071,0.382,All random
4,0.43,0.37,4,5971_6242,0.382,All random
4,0.55,0.34,4,23028_4089,0.382,All random
4,0.43,0.37,4,81839_83987,0.382,All random
1,0.47,0.36,1,284403_4209,0.382,All random
2,0.43,0.37,2,3799_27309,0.382,All random
1,0.34,0.39,1,1116_254102,0.38000000000000006,All random
0,0.46,0.36,0,2720_9600,0.38,All random
2,0.46,0.36,2,55135_9546,0.38,All random
3,0.42,0.37,3,147339_9372,0.38,All random
3,0.66,0.31,3,54331_79718,0.38,All random
2,0.46,0.36,2,6386_27246,0.38,All random
1,0.54,0.34,1,3305_112939,0.38,All random
4,0.33,0.39,4,81849_9411,0.37800000000000006,All random
0,0.37,0.38,0,81792_3312,0.37800000000000006,All random
3,0.49,0.35,3,138716_5927,0.378,All random
4,0.69,0.3,4,51_8624,0.378,All random
2,0.41,0.37,2,91408_2778,0.378,All random
0,0.61,0.32,0,2961_114781,0.378,All random
2,0.45,0.36,2,10202_56970,0.378,All random
1,0.45,0.36,1,50614_8662,0.378,All random
1,0.69,0.3,1,55964_23335,0.378,All random
3,0.53,0.34,3,3727_2783,0.378,All random
0,0.53,0.34,0,55341_10248,0.378,All random
3,0.53,0.34,3,11004_6383,0.378,All random
4,0.28,0.4,4,79983_138716,0.37600000000000006,All random
3,0.76,0.28,3,10799_83443,0.37600000000000006,All random
2,0.48,0.35,2,10799_8563,0.376,All random
4,0.48,0.35,4,29993_84058,0.376,All random
4,0.4,0.37,4,26063_9765,0.376,All random
3,0.52,0.34,3,222229_196483,0.376,All random
2,0.48,0.35,2,9701_113026,0.376,All random
0,0.35,0.38,0,145553_7049,0.37400000000000005,All random
4,0.55,0.33,4,6229_115939,0.374,All random
4,0.51,0.34,4,7125_5414,0.374,All random
0,0.51,0.34,0,388115_55561,0.374,All random
4,0.43,0.36,4,51290_64403,0.374,All random
2,0.67,0.3,2,9343_54438,0.374,All random
4,0.51,0.34,4,27097_27254,0.374,All random
0,0.26,0.4,0,10467_147339,0.37200000000000005,All random
4,0.54,0.33,4,26052_3030,0.372,All random
0,0.42,0.36,0,376267_4089,0.372,All random
3,0.41,0.36,3,26052_8844,0.37,All random
0,0.53,0.33,0,10492_57187,0.37,All random
2,0.73,0.28,2,131076_51520,0.37,All random
1,0.57,0.32,1,10799_5509,0.37,All random
1,0.76,0.27,1,23395_91408,0.36800000000000005,All random
3,0.6,0.31,3,5256_9603,0.368,All random
1,0.44,0.35,1,51163_6497,0.368,All random
1,0.68,0.29,1,6383_91875,0.368,All random
2,0.23,0.4,2,6938_23421,0.36600000000000005,All random
0,0.35,0.37,0,159195_93624,0.366,All random
2,0.35,0.37,2,9411_54765,0.366,All random
3,0.47,0.34,3,10212_1112,0.366,All random
1,0.47,0.34,1,79657_29899,0.366,All random
2,0.46,0.34,2,79784_23764,0.36400000000000005,All random
0,0.46,0.34,0,58513_25920,0.36400000000000005,All random
1,0.42,0.35,1,10227_9600,0.364,All random
1,0.62,0.3,1,26118_83930,0.364,All random
3,0.38,0.36,3,254552_96764,0.364,All random
4,0.54,0.32,4,10379_4643,0.364,All random
4,0.5,0.33,4,5927_55004,0.364,All random
1,0.74,0.27,1,9354_1471,0.364,All random
2,0.65,0.29,2,26118_55330,0.362,All random
4,0.41,0.35,4,7050_79954,0.362,All random
3,0.61,0.3,3,26118_23408,0.362,All random
1,0.41,0.35,1,119_9765,0.362,All random
1,0.57,0.31,1,80349_56937,0.362,All random
2,0.49,0.33,2,1859_7384,0.362,All random
3,0.49,0.33,3,5927_147339,0.362,All random
2,0.76,0.26,2,83443_25821,0.36000000000000004,All random
1,0.4,0.35,1,50614_55719,0.36,All random
0,0.36,0.36,0,1859_10048,0.36,All random
0,0.72,0.27,0,57609_11165,0.36,All random
1,0.4,0.35,1,51290_26205,0.36,All random
0,0.48,0.33,0,6879_81839,0.36,All random
1,0.52,0.32,1,5137_57187,0.36,All random
2,0.72,0.27,2,57130_10467,0.36,All random
1,0.52,0.32,1,59345_64359,0.36,All random
0,0.43,0.34,0,149603_1105,0.35800000000000004,All random
3,0.43,0.34,3,5629_23326,0.35800000000000004,All random
2,0.43,0.34,2,6229_5097,0.35800000000000004,All random
4,0.51,0.32,4,4528_57132,0.358,All random
4,0.47,0.33,4,9586_64359,0.358,All random
4,0.39,0.35,4,23157_83987,0.358,All random
1,0.63,0.29,1,7407_1116,0.358,All random
4,0.71,0.27,4,6385_57130,0.358,All random
2,0.51,0.32,2,100505876_3720,0.358,All random
3,0.31,0.37,3,6871_147339,0.358,All random
0,0.46,0.33,0,50617_57646,0.35600000000000004,All random
2,0.46,0.33,2,27254_5871,0.35600000000000004,All random
3,0.46,0.33,3,55140_5871,0.35600000000000004,All random
0,0.54,0.31,0,8663_26097,0.356,All random
0,0.74,0.26,0,23335_55004,0.356,All random
0,0.7,0.27,0,91408_10552,0.356,All random
4,0.54,0.31,4,57665_10325,0.356,All random
3,0.74,0.26,3,26118_6275,0.356,All random
4,0.38,0.35,4,23370_64093,0.356,All random
2,0.3,0.37,2,2969_8089,0.356,All random
4,0.54,0.31,4,54331_10542,0.356,All random
2,0.38,0.35,2,84191_8844,0.356,All random
4,0.38,0.35,4,3725_79172,0.356,All random
2,0.7,0.27,2,51367_84058,0.356,All random
0,0.45,0.33,0,3925_9372,0.35400000000000004,All random
0,0.45,0.33,0,11044_79980,0.35400000000000004,All random
1,0.41,0.34,1,59345_80254,0.35400000000000004,All random
1,0.45,0.33,1,4528_7536,0.35400000000000004,All random
3,0.45,0.33,3,114882_115207,0.35400000000000004,All random
2,0.73,0.26,2,27297_1368,0.354,All random
0,0.61,0.29,0,9354_51317,0.354,All random
0,0.57,0.3,0,3306_2068,0.354,All random
0,0.73,0.26,0,23395_529,0.354,All random
1,0.37,0.35,1,130617_54472,0.354,All random
1,0.49,0.32,1,7027_284403,0.354,All random
0,0.57,0.3,0,84669_5886,0.354,All random
3,0.37,0.35,3,10227_54443,0.354,All random
0,0.33,0.36,0,3727_64651,0.354,All random
0,0.61,0.29,0,5290_64793,0.354,All random
2,0.37,0.35,2,53938_3726,0.354,All random
3,0.4,0.34,3,6936_8662,0.35200000000000004,All random
4,0.68,0.27,4,10483_10212,0.35200000000000004,All random
3,0.64,0.28,3,57609_26205,0.35200000000000004,All random
3,0.68,0.27,3,8669_25821,0.35200000000000004,All random
0,0.44,0.33,0,10227_55684,0.35200000000000004,All random
1,0.4,0.34,1,9147_967,0.35200000000000004,All random
4,0.44,0.33,4,5634_7090,0.35200000000000004,All random
2,0.44,0.33,2,5170_8816,0.35200000000000004,All random
1,0.48,0.32,1,7374_5927,0.352,All random
3,0.32,0.36,3,6275_64651,0.352,All random
0,0.36,0.35,0,29066_136319,0.352,All random
0,0.56,0.3,0,3725_1663,0.352,All random
3,0.63,0.28,3,8798_51186,0.35000000000000003,All random
2,0.39,0.34,2,6738_55729,0.35000000000000003,All random
4,0.67,0.27,4,25821_23788,0.35000000000000003,All random
3,0.67,0.27,3,52_29015,0.35000000000000003,All random
3,0.79,0.24,3,51148_100505876,0.35000000000000003,All random
4,0.63,0.28,4,64146_100505876,0.35000000000000003,All random
2,0.31,0.36,2,6878_54812,0.35,All random
1,0.59,0.29,1,6877_27309,0.35,All random
2,0.31,0.36,2,27102_84159,0.35,All random
4,0.42,0.33,4,9869_10474,0.34800000000000003,All random
1,0.62,0.28,1,93343_54887,0.34800000000000003,All random
0,0.42,0.33,0,5137_8550,0.34800000000000003,All random
0,0.42,0.33,0,1663_84159,0.34800000000000003,All random
1,0.58,0.29,1,5290_26084,0.348,All random
4,0.58,0.29,4,2965_25821,0.348,All random
1,0.3,0.36,1,529_10782,0.348,All random
3,0.74,0.25,3,57226_124997,0.348,All random
2,0.37,0.34,2,54443_28981,0.34600000000000003,All random
1,0.65,0.27,1,10556_57186,0.34600000000000003,All random
4,0.69,0.26,4,10239_51520,0.346,All random
4,0.68,0.26,4,10901_28956,0.34400000000000003,All random
4,0.36,0.34,4,124401_389541,0.34400000000000003,All random
3,0.44,0.32,3,54531_26499,0.34400000000000003,All random
2,0.68,0.26,2,54472_113026,0.34400000000000003,All random
1,0.4,0.33,1,54069_120,0.34400000000000003,All random
0,0.52,0.3,0,5121_114884,0.344,All random
0,0.48,0.31,0,284403_6683,0.344,All random
0,0.28,0.36,0,9741_11215,0.344,All random
0,0.72,0.25,0,91289_54069,0.344,All random
2,0.56,0.29,2,6645_23047,0.344,All random
4,0.32,0.35,4,7050_136319,0.344,All random
4,0.48,0.31,4,6776_120534,0.344,All random
0,0.39,0.33,0,23369_254552,0.342,All random
4,0.59,0.28,4,23408_8867,0.342,All random
1,0.63,0.27,1,51290_7407,0.342,All random
0,0.67,0.26,0,57226_145553,0.342,All random
4,0.75,0.24,4,3032_4246,0.342,All random
4,0.31,0.35,4,1917_254102,0.34199999999999997,All random
4,0.71,0.25,4,124997_138716,0.34199999999999997,All random
3,0.47,0.31,3,5566_8662,0.34199999999999997,All random
1,0.51,0.3,1,523_89848,0.34199999999999997,All random
1,0.55,0.29,1,91289_6929,0.34199999999999997,All random
2,0.47,0.31,2,9741_945,0.34199999999999997,All random
0,0.55,0.29,0,8548_55561,0.34199999999999997,All random
0,0.58,0.28,0,54887_3575,0.34,All random
3,0.42,0.32,3,6776_23309,0.34,All random
2,0.62,0.27,2,57226_2071,0.34,All random
0,0.38,0.33,0,6874_1116,0.34,All random
