	ligase activity	nucleobase-containing small molecule metabolic process	mitochondrion organization	mitochondrion	generation of precursor metabolites and energy	isomerase activity	amino acid metabolic process	oxidoreductase activity	meiotic nuclear division	nucleolus	lysosome organization	autophagy	cytokinesis	protein catabolic process	nuclear envelope	protein-containing complex assembly	ATP-dependent activity	intracellular protein transport	establishment or maintenance of cell polarity	microtubule organizing center	cytoskeleton organization	cytoskeletal protein binding	structural molecule activity	programmed cell death	transcription regulator activity	regulation of DNA-templated transcription	DNA binding	protein glycosylation	peroxisome	lipid droplet	carbohydrate metabolic process	detoxification	sulfur compound metabolic process	cellular modified amino acid metabolic process	vitamin metabolic process	wound healing	protein localization to plasma membrane	lysosome	endosome	muscle system process	catalytic activity, acting on a protein	transferase activity	vesicle-mediated transport	GTPase activity	lipid binding	Golgi apparatus	extracellular space	immune system process	defense response to other organism	cell junction organization	cell motility	cell adhesion	lyase activity	endoplasmic reticulum	lipid metabolic process	transporter activity	transmembrane transport	extracellular matrix organization	cargo receptor activity	inflammatory response	circulatory system process	renal system process	digestive system process	cytoskeletal motor activity	microtubule-based movement	cilium	cilium organization	cyclase activity	nervous system process	receptor ligand activity	extracellular matrix	translation regulator activity	regulatory ncRNA-mediated gene silencing	cytoplasmic translation	DNA recombination	chromosome segregation	DNA repair	catalytic activity, acting on DNA	telomere organization	nuclear chromosome	DNA replication	nucleocytoplasmic transport	chromatin organization	histone binding	protein folding	molecular carrier activity	RNA binding	mRNA metabolic process	catalytic activity, acting on RNA	tRNA metabolic process	mitochondrial gene expression	ribosome biogenesis	ribosome
lysosome organization	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45000881678716276	0.3562324941578136	0.29446342443729906	0.2693770826056996	0.2759757383966245	0.24555443349212971	0.2998685281412383	0.354784021969092	0.25181159420289856	0.21913570015800932	0.20343300611140608	0.22479329822359265	0.1979218714512832	0.2337834018616609	0.23838794428196103	0.22761372573823418	0.22884229310729423	0.20044672402382527	0.2568627450980392	0.2858975533767067	0.2510206130370767	0.20242664355577566	0.22022439585730724	0.22133214656579142	0.2049451950038236	0.23187883159033537	0.28809625004086703	0.3739142798056044	0.3310667696922867	0.18777796079723275	0.19876908068403534	0.2054733238094954	0.26366986651184077	0.23690511194186584	0.22352721234315376	0.24605462172883194	0.20305590433326082	0.18853186638780356	0.1924998832484939	0.19480942012663613	0.18334642576590732	0.17202630371616456	0.18180102915951973	0.2368460823330601	0.21309635678986472	0.18283356190617395	0.1876210968570904	0.1537164660297554	0.17471601885480256	0.18551634484289292	0.1786690267685237	0.1659357250700985	0.16662418217350666	0.18972679341747883	0.18236405931956964	0.1529222673580149	0.1482978574265754	0.11048432858239594	0.11410078260817257	0.08600120947790871	0.11576757319066726	0.10878743897611823	0.050962305746784425	0.3815014869211628	0.22930796801764544	0.2597233038618352	0.25117609364987575	0.2672913037336974	0.29541706232195514	0.27350311568680574	0.26045156103443656	0.30097170375858434	0.2931587762251173	0.30572429906542054	0.31991748410727067	0.3312861593235425	0.24657076100538367	0.255339237268892	0.2244131455399061	0.21164920230340792	0.23165033052199682	0.2888895720609936	0.3042953386035282
autophagy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3825820457157451	0.32051846371409576	0.2981859754736024	0.2919173626373626	0.2713410189814292	0.3099892265318749	0.34520771583902615	0.2894403159989856	0.25124128007200974	0.23460652289324227	0.2527141615897463	0.22521561305236953	0.26887573801223247	0.27113049995999644	0.2614108845253757	0.26149783482234584	0.17826301505057982	0.25507677671939605	0.2786044125192406	0.24623159552823295	0.21290888524665852	0.20096063127197872	0.21572965349409584	0.20234720220465957	0.2568014851094083	0.2903460104126612	0.3005227978037718	0.2924632944908937	0.2176140512702256	0.23272639027284225	0.23561914808693435	0.2554118992500845	0.2528018392634567	0.2246838244528305	0.23452462882049477	0.20387223381269073	0.2129162557660166	0.2228759966201894	0.22276749930477172	0.21035618353935176	0.19903676048182534	0.19842265639003406	0.2315840613606659	0.20868747079549904	0.1752428337796723	0.18820891711005747	0.17040410668107608	0.18031417834156455	0.21273905484431802	0.20143340713863417	0.18035534696614147	0.18260745575817108	0.2086454129874771	0.19907413688772146	0.17358323828313654	0.17216315147289524	0.14091432483739458	0.12691857308860544	0.12767847381655187	0.13044093969442383	0.11987125607331024	0.05945342184951073	0.41580215627934336	0.264554671273161	0.30013529605080647	0.28781927348969316	0.30223880597014924	0.3355698443761066	0.3069309430627446	0.2994704501174002	0.3474831553961276	0.3328737748751917	0.3397676950998185	0.33148017275225755	0.33616844207723034	0.2750975395681833	0.2930323759442055	0.2534742858073288	0.23847108201567985	0.25863406031891045	0.3230407748073011	0.3302143598603358
cytokinesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41895233166580415	0.2871841835910144	0.31019787238633667	0.2985930368526272	0.33293709047943	0.34454696039754495	0.3485874772839914	0.326084728609677	0.2871513669178271	0.3080594658597553	0.26232097930738574	0.25940346369181916	0.26704655330230637	0.2663941004843872	0.27140890149270064	0.1504898017131229	0.22094240837696336	0.23955329523410057	0.22030671501143245	0.16938768282749583	0.17596051007815713	0.19036301389242566	0.17361077349409304	0.2447977299185099	0.29140696651505793	0.24892353908876333	0.26452881062890427	0.21685795762532112	0.2295420639607084	0.23456098107003762	0.2555203275548803	0.2748418969151795	0.2124962269846061	0.21881204877318386	0.2012303707301279	0.1967780826553706	0.19612965822959458	0.23777056044279066	0.21304458751669594	0.1957644537665057	0.19044160942100097	0.20300531504253866	0.17887993450903011	0.15027889571418485	0.16661425942748004	0.15543822240273478	0.14274981217129978	0.17933797404104126	0.18704447683720268	0.16565174456879525	0.1554766882201371	0.3154442456768038	0.24511588298156559	0.20902989936557936	0.22141804047714783	0.1404778730637737	0.12794120681472718	0.0960260039844815	0.11308472142175527	0.132683233721296	0.06574986263417353	0.4725675394124592	0.3183976776107158	0.3997337061447307	0.34770042949176805	0.3528484636213005	0.4099124864153749	0.39286083540115796	0.37882970972813373	0.38629507020433457	0.3783619655243057	0.3876336898395722	0.33937948643830995	0.34501375165529186	0.3190058961449101	0.3395680599627968	0.28702084062172023	0.26492194674012853	0.2861614712403808	0.3961616943428089	0.37455436720142604
protein catabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31560215564745253	0.2743934096421705	0.2613570869656129	0.28987591553738035	0.301846042232978	0.2599019555697392	0.2390432829536468	0.21733457198117662	0.22985848155459654	0.22960272317889854	0.25140456367945097	0.266992302418198	0.25915248407017316	0.2628954984481023	0.16725913732120215	0.2280086327496151	0.23373997771181176	0.2250281422512	0.18842799121113257	0.1899375661310183	0.20381382978723403	0.19215091304586251	0.2312762474522017	0.24434436936857634	0.23836191049846228	0.23176782318165132	0.19712778987328874	0.22465516483194325	0.22831293153591026	0.2138271729963147	0.20806654371636119	0.18990956574774623	0.19954395494790467	0.18933676973511857	0.19730021547114132	0.20549259317852106	0.19791545861798332	0.19194000781985143	0.18343052883759628	0.17884035241477927	0.20704538509886147	0.18666699636507506	0.14728092815164467	0.1611189250034559	0.16417986519030084	0.16223808771827755	0.19042672079551157	0.17824054341812542	0.15440465788802202	0.1603600310686709	0.19359327887019045	0.17625458613325407	0.15461792893889495	0.15605942535381212	0.11593042666618801	0.11300342558177613	0.11376977572075676	0.1290023820528318	0.12093527188081056	0.06150610392009414	0.43733023401587967	0.28489891573592013	0.3076294775493283	0.3145031415539297	0.31844977336608343	0.3570990806945863	0.32978382472905254	0.32945585585585585	0.3447076642324554	0.34796747743516354	0.3573473502424875	0.3273612313437909	0.31856879889553613	0.28632918396127544	0.30930557912982654	0.26999159336298356	0.25611012694851504	0.27599583282264983	0.34843520095227076	0.3501909835653616
nuclear envelope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3668381255273577	0.2820206931043085	0.3131089268883802	0.322771436799903	0.27405790930381096	0.25684618243146673	0.23212851797109466	0.248006573502822	0.25117635964149504	0.2550796444150486	0.26720011028730034	0.263315143554494	0.26985976492831604	0.18539265803394903	0.24117067679752358	0.25331991554687344	0.22937094665884056	0.1945540857691487	0.20253227254434572	0.22140590728081944	0.20882035522874023	0.23280642866264115	0.2515343900447648	0.23529950219824303	0.23118616406198636	0.20981370208309294	0.21846286486195216	0.23016241836922535	0.22024867344091278	0.2192738693012966	0.19927567943492588	0.20928860831518434	0.19330478543944574	0.195159433373739	0.1972783072472319	0.2066205245965264	0.19530257501278867	0.1852013387445317	0.19462556368743994	0.22712335919300294	0.20317894571231285	0.16768140227683795	0.1791002174750716	0.15954174653412384	0.15956225988324713	0.18525194592380173	0.19135139475823856	0.15948602833036613	0.16713010390750768	0.22587191304946	0.192393560891906	0.1661603549636333	0.16807610461869715	0.1326267957032542	0.11907906150551667	0.10684625612012609	0.12305788826235663	0.13262527877872426	0.06690467939627082	0.4672894754034102	0.30350164510803074	0.34484121494773035	0.33119946091644203	0.34355084844582573	0.3854118457448526	0.36712270159369137	0.361566997214163	0.38868997803940325	0.3656809983990124	0.37673169708411997	0.3516406753213764	0.3702080209174453	0.3170345549066685	0.337500611446799	0.3026493335527398	0.287176203977521	0.33370960221835044	0.40219010480459205	0.39334641246206214
protein-containing complex assembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28220505830683024	0.2990661275021196	0.2942325198566392	0.2725629894273311	0.25055808747380426	0.2322679209008514	0.2483337651637996	0.25736418606591693	0.2454105801536581	0.2596327751206382	0.25602732827532154	0.2624205731395654	0.15594513579798347	0.2254377940675776	0.2189465205258767	0.22052409083177055	0.18922867689916456	0.19017177725824358	0.20538416411364294	0.1976034811915402	0.23031037214038966	0.24121458989076097	0.21773743203240295	0.2135263759521034	0.20996199747686042	0.21067713085666134	0.22132163539188357	0.2109532891090647	0.21504077530749854	0.19034500226292253	0.19235592480611474	0.19016905274998097	0.19250729140079262	0.19690561358794326	0.20902685019404263	0.19493586974481275	0.18692555507183284	0.1894278062999692	0.2003728931622969	0.18452436035341552	0.15828044234703842	0.1706200840044799	0.16065125472798747	0.1575696158340566	0.1846218103887716	0.1864089909601759	0.16140928993815737	0.16411993811022782	0.2349359215509242	0.19323584689433876	0.16782205594299818	0.1722611821556957	0.1265696798513139	0.11937197126829056	0.11281290092453558	0.13036241855719066	0.13170812580736524	0.06505183260742213	0.47069199716849375	0.3032849000032948	0.3293154886540533	0.32675368621750556	0.33588551133271405	0.3797116736990155	0.36271486737423125	0.35619575877086607	0.3547298993623172	0.35917094802392946	0.3713842582253754	0.3316338975142106	0.33383111290088036	0.3100113698202999	0.3290949476753505	0.30368352058639836	0.29648485423198423	0.34490346495684904	0.40518725618693824	0.40501889555887016
ATP-dependent activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37450694041764204	0.33518571978444955	0.28750442060591774	0.2808488341629552	0.253880939086624	0.2705248406705509	0.2762879162009721	0.25659576192636385	0.2672559877845584	0.26681874907426956	0.27699242907444505	0.18442753871818837	0.2814223254159216	0.2609750659094188	0.2496771076499177	0.21166842333684668	0.2296101115731401	0.2423284240906583	0.2264627950506843	0.22879140825896233	0.26305227458776753	0.25232566059515404	0.24462642319421665	0.2197603076278364	0.22716610228558853	0.24478286433621937	0.23556168256345303	0.2298184178472979	0.20693275989990065	0.21655844711950586	0.20381469812801187	0.1960530440221471	0.20055921705155094	0.21098347126671357	0.19715347044954476	0.18388758175426803	0.20750550793191264	0.22824163666095276	0.21467078235079598	0.18478752552825306	0.1929171549592773	0.15992181186614937	0.1612942437536605	0.17911483080047877	0.1979437537847754	0.1710568269478015	0.1765649690044974	0.2671463714637146	0.2209833507418547	0.19048454834098644	0.19785872540947944	0.11993983669961324	0.12458124151194284	0.09191641960065744	0.12262956488874191	0.14542365949950453	0.07063791248345422	0.501332800791866	0.33862313912189224	0.3672618421744388	0.3640088879234661	0.36980379813241004	0.4260589173118079	0.4000038946876461	0.3929248628540825	0.38642946306917847	0.38391062231287326	0.3898969590349334	0.37328473804100226	0.36880771389214834	0.3392101641051626	0.358687315533216	0.34231205507932344	0.33731278782394963	0.35752309059338544	0.43786286308333405	0.4178545764467989
intracellular protein transport	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3788432104401063	0.3114280627485114	0.27266544820844135	0.2550344924960041	0.274245512142072	0.2568112640796447	0.2673596685783203	0.27277725229271416	0.2673560800037051	0.26981492413639685	0.20876808765441085	0.2678865066979482	0.2806284104911107	0.24894303500903675	0.2029545139507713	0.2156892507244377	0.22697038003717326	0.20718333401280117	0.256861663049771	0.30573898871886046	0.29080563042827196	0.2954459236259856	0.22092701350576419	0.2344598396723338	0.24334793883402053	0.2672187078835857	0.27380960432489954	0.2300216458222154	0.24969406005836392	0.21223409667499438	0.20797431570548244	0.21016061182607743	0.2349423691822562	0.21232243422711608	0.2008773529590562	0.2028813303513851	0.24556069316373322	0.21356316100580405	0.18175184646872125	0.19294712226266308	0.171843345892421	0.1767256823039573	0.19634564141606395	0.20287971128321883	0.17590749582925846	0.17779227663825797	0.24657131536229662	0.2184471572616888	0.18525384676500967	0.1919595921803386	0.1404481478514008	0.12961024869515364	0.11204664921327825	0.12966602216657686	0.1373222098732432	0.06558508428813735	0.48789105345408307	0.28768361681579446	0.3370970985611642	0.3164658875536953	0.3308904940159224	0.37138037447434485	0.34821950849624117	0.33981139152333495	0.37471427044143624	0.35591382671650007	0.3668552064385917	0.37366202407850807	0.3703805447920884	0.3178545044143566	0.334454096523339	0.29847337042508826	0.29206018466091394	0.31937912428451637	0.3967385959045577	0.3982261751278362
establishment or maintenance of cell polarity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3841565630969553	0.28988507313289696	0.28756845954376753	0.3053015181363148	0.25316801603163464	0.26879536747791855	0.273234832802717	0.26528477505327447	0.26058703391728144	0.14857410186935927	0.1909368164874773	0.22204942111629514	0.21998313460007723	0.17688245762464627	0.16888063545422508	0.18302177054682767	0.18130481797428813	0.2909812308860861	0.3152641515273436	0.23645357865512212	0.25287438949616253	0.24445588006835484	0.22954440740439602	0.22940754752591971	0.25356652980921546	0.284699922213136	0.21578971892457197	0.22188996179452872	0.20832761246000028	0.21198728250995738	0.20704994444098093	0.2889667876880153	0.2485189134935073	0.24557905308047215	0.19458568091246392	0.20437161063199175	0.1806978645434042	0.15759419842975952	0.17673604693309777	0.20818964915464838	0.18812349814315882	0.2074689623562703	0.224207889609914	0.1988135593220339	0.18624584451475948	0.29075288265882887	0.22917729459940162	0.20301624733852874	0.2145524861878453	0.1641596122982031	0.14032789116803784	0.1479410620922093	0.1682356513817188	0.11477703837303314	0.061482751805784885	0.40292359184140514	0.2620291663417297	0.32599576179561474	0.28607109965002764	0.299535028242318	0.33489610328417285	0.3152685242342323	0.30626875098689404	0.35251508513526225	0.33448870349383936	0.3408102204519173	0.2927109999801552	0.2838801711840228	0.2718709208301576	0.2889559907159114	0.2321935855737165	0.2114092466515374	0.2308746105082196	0.3123985624855089	0.3114043943537877
microtubule organizing center	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3347853455873096	0.2528540682527194	0.26108162166320487	0.21860801944944955	0.2225664348724033	0.25675540709364114	0.2483287247232915	0.2553635473878142	0.12609771278237175	0.17919404835709857	0.18599853982454717	0.1869526404413569	0.1389173744569259	0.14877938780260708	0.16246036064773986	0.15397758411330445	0.19996201136448757	0.2253965493683779	0.1847955211808715	0.19224023753864888	0.1854885776221444	0.19578681966511255	0.2028816153562682	0.20725918774732374	0.20603881181377137	0.1667895439102177	0.17292391494963097	0.15962414217795995	0.169454684491587	0.16730157042706875	0.19377162629757785	0.18229700764409285	0.16555048395471206	0.15789245267870125	0.16319015777267284	0.15225507899713553	0.12180359701674258	0.1348619369080745	0.1368984157267643	0.12608071275753935	0.15486218711856975	0.15625626333722398	0.13140856597253797	0.13402538229257338	0.2981658821619867	0.247453038588686	0.21197708067548887	0.24792086005398742	0.10889981166653999	0.10974392374320549	0.08159850181015821	0.09893155342441722	0.11016826588791545	0.06013018227228794	0.39352441776563246	0.2876354506057082	0.360983157452524	0.3115824334909917	0.32194985057872755	0.36541852176008727	0.3537174380808497	0.34121637397110827	0.33349566396837077	0.344970156526469	0.35554351306746806	0.28530102766545734	0.27869849133078134	0.2674735687248431	0.29283325088387335	0.24786966933953536	0.2285050718537491	0.23528224643948567	0.3235059637005666	0.3046341307249418
cytoskeleton organization	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25256779174283306	0.2548038801078395	0.2214020380409471	0.21745822862491332	0.23716560399069786	0.22832721285886676	0.22979351020283606	0.1196351129056378	0.16643312962150117	0.18278500790085755	0.18497236590224572	0.14657505226258	0.14356068836038083	0.1577337331200286	0.14953886331590469	0.22476125746220912	0.23839006658513384	0.18606785727836272	0.19296126255046092	0.2090483284922668	0.18647607878053818	0.18840265763370906	0.20217403672346743	0.21463776817346428	0.17337095194158722	0.17201487388239628	0.16752247029984643	0.17084243448696546	0.1692611693099782	0.21368329591278495	0.19315781811430152	0.18523030337482577	0.16273083379966424	0.16436780418963878	0.14942961034790583	0.1289720252200052	0.14280274858581954	0.1626844862308294	0.14390172127427167	0.16499116224961416	0.17753350111142083	0.15774628252788103	0.1498572056239016	0.2771496927334991	0.21214892941258967	0.18702905118978952	0.20331373542656378	0.12824582210242588	0.11707950988611683	0.10534531973610962	0.1307047434532408	0.1003483647590631	0.0545080077142378	0.36488440722205023	0.23774755164785055	0.2882612535781445	0.2573022986902459	0.27091139498549444	0.30512486035143005	0.29052900650425006	0.27772402911518157	0.30309458470713774	0.30175826046852233	0.30779271734045605	0.26218188347834603	0.2507905479215776	0.24068957809578287	0.2578984905415711	0.2090100481396982	0.18736417309034603	0.19958048906143627	0.27878508736229596	0.2788997100662095
cytoskeletal protein binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.294833275870561	0.24082255411806258	0.23013981444811252	0.24312280606223907	0.23519177458846832	0.23552782589290458	0.12814177424423084	0.18549231962339624	0.19753934191702432	0.19928481769640963	0.16262168761637233	0.15872778319874048	0.17612422731086166	0.16503935615105686	0.24057820575113742	0.26356138725873873	0.20474894777093922	0.2113677197921929	0.2380026939035791	0.19659440723998764	0.19861293328305696	0.21625053835201763	0.22611697818540213	0.18954981173778476	0.1861371073230303	0.18199477940246947	0.1798566047452975	0.17797145393592742	0.23891162277750955	0.20372801303742452	0.19870965919232986	0.17649139417108048	0.17929601925756516	0.16035628952916373	0.14918624572889183	0.1627397094347381	0.17045556044930807	0.15168887137883624	0.17277918991186084	0.19755638487749472	0.17226635916405214	0.1622642510880719	0.29718968550220964	0.2118930945312934	0.18505964333482977	0.19452185508239236	0.13825221123603315	0.1298423420594508	0.10716029695642554	0.13918549297978086	0.10893489038531086	0.05706337731739902	0.40171323524766733	0.2427313483384709	0.30112982998080234	0.2635685166130482	0.27819360849258984	0.31342040901285323	0.2978906525573192	0.28292424337539324	0.31742997824480385	0.30863766896502143	0.3160085772540626	0.2814746584205101	0.2688441047023396	0.255974138774119	0.26987298309344016	0.2178722572492261	0.19751794478753668	0.20863164263386105	0.296831649583836	0.3028044277451493
structural molecule activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31499498895796935	0.2258662262573325	0.22473548623719908	0.22635352502511577	0.23306906536198288	0.13015731351950022	0.18837414815696005	0.1912488236064949	0.20315971150460174	0.18118245390972665	0.17572483409664455	0.18879824104611467	0.18114437203137082	0.23776655567071692	0.22076806639794547	0.19116601348784504	0.17686531860203353	0.21756222964052252	0.1908381916533602	0.19544880447601143	0.18138193650904189	0.18977497893896028	0.1670911542495131	0.16725459702848552	0.19803890648567907	0.17523858606204157	0.1798586844134007	0.2099011361959569	0.19077335996845265	0.1950834738434151	0.1789025904679519	0.18528856327446028	0.16186855637315328	0.14362758625115515	0.15746240606479311	0.21110406362967776	0.16729766914046415	0.16909319117497618	0.18847364613936046	0.1752318103641666	0.1598736037300158	0.254608905183785	0.17105325340879662	0.15147688748396554	0.14876720984773917	0.11995747266099635	0.1180629567972526	0.11962351819860606	0.1879960967976403	0.12633520128087833	0.059641440918642784	0.46616797559550854	0.2665153536135852	0.29412131876493597	0.28622723827444735	0.29916015768467963	0.35409312927385217	0.3328460725607608	0.31532645808654447	0.32491612481814675	0.3336510549079637	0.3364115493856225	0.32634373289545704	0.307526732398278	0.2939162691069575	0.30021909719524514	0.27294096939311435	0.2628226370632203	0.3082502676699893	0.3798140237047506	0.3755856898737666
programmed cell death	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26770852044787735	0.26330368777620244	0.25144644734602967	0.25306050345844044	0.15603077009340152	0.21312442258063416	0.21968520120642598	0.2292486309716225	0.21037428553868848	0.18953544762393792	0.20525368447420544	0.21137172988482808	0.2696098202444782	0.24618880544954655	0.22595764659110376	0.22023445564343808	0.2265010795398002	0.21670091873916983	0.21923886984598664	0.20926615273484903	0.21659821416158304	0.19942568787504514	0.19780068839343115	0.19785043116513304	0.21018388626007248	0.21788346392261462	0.22617766142324663	0.21880686507220268	0.21635424061080294	0.20536119782364018	0.20385861395332433	0.1946684714154118	0.16255260518451883	0.1777925871690432	0.2037160012817	0.19736629894845495	0.22682331276253812	0.21711683065371118	0.20138372154201148	0.1979992902138231	0.19309462915601022	0.1730769960599112	0.16119601718550305	0.15747590923220392	0.17053833747439082	0.13487842329100624	0.1840553241698818	0.1744019854032764	0.10515487892205283	0.056079326555896876	0.35917713504204235	0.25968579580338763	0.2733301311233305	0.2739410896472935	0.29027535890216855	0.31767906799601403	0.293215226532523	0.29222758934509435	0.3169172370505425	0.31527621996704897	0.31811024262818033	0.28236987667255825	0.2795868225371214	0.2486708771538924	0.26721102446544404	0.2397268857778264	0.2270949480031998	0.25150325320936756	0.29357352212184945	0.296225882391175
transcription regulator activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3350814834249042	0.306604696365092	0.3128380969890584	0.1879902969997077	0.2308011357122143	0.2201831392737776	0.23556870746772057	0.18789412148045925	0.20059945544517727	0.20505970606246174	0.21913237905258773	0.25285712880280975	0.2433451226238002	0.2203106739854804	0.22362566271508605	0.22581946019795154	0.23389429932362424	0.24235591351910166	0.22232643164357463	0.22029504258004154	0.20951428014558904	0.21374749383629119	0.19049768946695483	0.2103384579946819	0.21012282291555787	0.2298896207560309	0.2261876365305562	0.21648526064146084	0.2081199218393776	0.2115107896681755	0.20797585805406676	0.17522704588038085	0.18671003578267406	0.20616128224086624	0.18586419777688326	0.2114056530021251	0.21384370962953453	0.19304460725215616	0.19854250160044198	0.21489915848642946	0.21323559747569043	0.1970833856497529	0.20983470177596122	0.17149574158435452	0.14843918723445115	0.17409646533454434	0.17053741763808217	0.10679944431329108	0.06119587651900449	0.34638024208950924	0.2997635024433332	0.3027768140978894	0.31854398951988544	0.32629086282932906	0.34997729899290075	0.33413147685306077	0.33427956096421807	0.32860981948692564	0.36390095853913446	0.3675155795261244	0.2680716479639936	0.2771991697433919	0.26585464817766974	0.29750531933964774	0.27163408444482506	0.2632564550260685	0.27930833735166477	0.3202757154641792	0.2957659042280686
regulation of DNA-templated transcription	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.301262480516982	0.29704723145958234	0.1729691657943935	0.21683861383286487	0.20851398949381658	0.22363818684086564	0.17850792710031116	0.18858401718943968	0.19424856953797048	0.20413469872556259	0.24096927458123726	0.23285529320515555	0.20909296423635887	0.21120600734414324	0.2148711361160344	0.2219573518550529	0.23070141729714258	0.21022279219928613	0.21136637514203782	0.1961263980338268	0.2006667503291292	0.18363130660474508	0.1987835915101028	0.19983082240511424	0.21753845545494088	0.21237583084329292	0.20340015687703017	0.19664918883041305	0.1993537075622649	0.19373006080057284	0.1610662934833841	0.17305869748768696	0.19214359536895048	0.1737256390048357	0.19866915632186155	0.20036046168144137	0.1795415372837862	0.18350966312222827	0.20810597412002554	0.19923520248222631	0.18242115988455898	0.19235028568695478	0.15718523987257838	0.13584777836701578	0.15727685795045387	0.15754930131536085	0.10976885154387554	0.06158197940676518	0.364597825920773	0.3001515683306006	0.30544020577583214	0.31893859732976454	0.3290301675977654	0.36030467618293194	0.3417372702973843	0.33963981143069016	0.33006166745773785	0.3597561001185776	0.36804185436860576	0.2724515295131409	0.27989978055978276	0.2703359048705683	0.30198786922887827	0.2747057682225552	0.2639823921579118	0.28021445643046317	0.3363751996830259	0.30834237514635476
DNA binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32138589480666213	0.1772487051869464	0.22054065138548773	0.20903730051013245	0.22521088865738395	0.1784223927773397	0.19174382675570897	0.19745214885859083	0.20674656812291514	0.23373298122700506	0.22693148466392293	0.20753698870166606	0.20864159813369637	0.20985474361009565	0.22506063544743446	0.23574702906366934	0.20888848933133966	0.20774458796672535	0.19510561128571863	0.2001526509495188	0.183431421415799	0.1995547396388207	0.20048281424832126	0.21156454158555366	0.20961790992971394	0.19918575722941378	0.1961724076168575	0.2001744813946354	0.19445122838697582	0.16099971586444528	0.17223977401549925	0.186305145966755	0.16946635024605272	0.19579582289692923	0.19472217399543604	0.17186848352109535	0.17962853864996434	0.21490269447990068	0.2035928366082697	0.1845706530560426	0.19645868321668186	0.1497008905083887	0.13442971253552521	0.14965375239817938	0.15127974935229258	0.11467027970259877	0.06334341401997211	0.3836628564974054	0.32504468564087724	0.3244462382383455	0.34175427391694074	0.34987730934049327	0.3853661959347672	0.37089410441478404	0.3641628907569705	0.337039324471226	0.38063297721196987	0.3894889613360787	0.2791015958010571	0.2896631453836337	0.28259591720654764	0.31385181735991086	0.2926185463595094	0.28053317441672204	0.29743588677228655	0.3589725173414913	0.3266237133541233
