index,Network,Performance,method,num_nets,min_nets,Group,GeneSet,Comparator,Disease
Adult Hepatocellular Carcinoma,OC_nocite_10__composite_min2,27.99803745920299,OC,10,2,NOCITE,Literature,False,52
Adult Hodgkin Lymphoma,OC_nocite_10__composite_min2,211.5023556613184,OC,10,2,NOCITE,Literature,False,53
Adult Leiomyosarcoma,OC_nocite_10__composite_min2,35.286313368834406,OC,10,2,NOCITE,Literature,False,54
Adult Liposarcoma,OC_nocite_10__composite_min2,41.608548809145766,OC,10,2,NOCITE,Literature,False,55
Adult Lymphoblastic Lymphoma,OC_nocite_10__composite_min2,35.30716013215258,OC,10,2,NOCITE,Literature,False,56
Adult Malignant Peripheral Nerve Sheath Tumor,OC_nocite_10__composite_min2,45.97127591552922,OC,10,2,NOCITE,Literature,False,57
Adult Meningioma,OC_nocite_10__composite_min2,83.68072135581487,OC,10,2,NOCITE,Literature,False,58
Adult Myelodysplastic Syndrome,OC_nocite_10__composite_min2,37.49524599914669,OC,10,2,NOCITE,Literature,False,59
Adult Non-Hodgkin Lymphoma,OC_nocite_10__composite_min2,100.84411489802945,OC,10,2,NOCITE,Literature,False,60
Adult Oligodendroglioma,OC_nocite_10__composite_min2,20.77693857715273,OC,10,2,NOCITE,Literature,False,61
Adult Pilocytic Astrocytoma,OC_nocite_10__composite_min2,68.45502215533203,OC,10,2,NOCITE,Literature,False,62
Adult Soft Tissue Sarcoma,OC_nocite_10__composite_min2,109.23886677386578,OC,10,2,NOCITE,Literature,False,63
Adult Synovial Sarcoma,OC_nocite_10__composite_min2,95.12747477993678,OC,10,2,NOCITE,Literature,False,64
Adult Undifferentiated Pleomorphic Sarcoma,OC_nocite_10__composite_min2,13.703204709433408,OC,10,2,NOCITE,Literature,False,65
Adult type dermatomyositis,OC_nocite_10__composite_min2,128.34040957136486,OC,10,2,NOCITE,Literature,False,66
Adult-Onset Still Disease,OC_nocite_10__composite_min2,198.6240458155312,OC,10,2,NOCITE,Literature,False,67
Advanced breast cancer,OC_nocite_10__composite_min2,36.63221794779822,OC,10,2,NOCITE,Literature,False,68
African Trypanosomiasis,OC_nocite_10__composite_min2,5.702632179608198,OC,10,2,NOCITE,Literature,False,69
Age-related cataract,OC_nocite_10__composite_min2,23.151929672524847,OC,10,2,NOCITE,Literature,False,70
Agenesis,OC_nocite_10__composite_min2,204.3695518138812,OC,10,2,NOCITE,Literature,False,71
Agenesis of corpus callosum,OC_nocite_10__composite_min2,73.36612641263174,OC,10,2,NOCITE,Literature,False,72
Aggressive Non-Hodgkin Lymphoma,OC_nocite_10__composite_min2,18.82662297548552,OC,10,2,NOCITE,Literature,False,73
Agnosia for Pain,OC_nocite_10__composite_min2,222.6039943626332,OC,10,2,NOCITE,Literature,False,74
Alcohol Use Disorder,OC_nocite_10__composite_min2,94.23794951160326,OC,10,2,NOCITE,Literature,False,75
Alcohol or Other Drugs use,OC_nocite_10__composite_min2,30.74171242562796,OC,10,2,NOCITE,Literature,False,76
"Alcoholic Intoxication, Chronic",OC_nocite_10__composite_min2,319.9432804112662,OC,10,2,NOCITE,Literature,False,77
Allergic asthma,OC_nocite_10__composite_min2,163.5491525314111,OC,10,2,NOCITE,Literature,False,78
Allergic rhinitis (disorder),OC_nocite_10__composite_min2,216.6413764719188,OC,10,2,NOCITE,Literature,False,79
Alopecia,OC_nocite_10__composite_min2,66.35474850016992,OC,10,2,NOCITE,Literature,False,80
Alveolar Soft Part Sarcoma,OC_nocite_10__composite_min2,8.389677272831886,OC,10,2,NOCITE,Literature,False,81
Alveolar rhabdomyosarcoma,OC_nocite_10__composite_min2,94.07858426959594,OC,10,2,NOCITE,Literature,False,82
"Alzheimer Disease, Early Onset",OC_nocite_10__composite_min2,25.125598776319947,OC,10,2,NOCITE,Literature,False,83
"Alzheimer Disease, Late Onset",OC_nocite_10__composite_min2,55.00056504262166,OC,10,2,NOCITE,Literature,False,84
"Alzheimer disease, familial, type 3",OC_nocite_10__composite_min2,34.070971107881434,OC,10,2,NOCITE,Literature,False,85
Ameloblastoma,OC_nocite_10__composite_min2,91.463156337818,OC,10,2,NOCITE,Literature,False,86
Amnesia,OC_nocite_10__composite_min2,35.196866597438785,OC,10,2,NOCITE,Literature,False,87
"Amyotrophic Lateral Sclerosis, Familial",OC_nocite_10__composite_min2,6.582300129563844,OC,10,2,NOCITE,Literature,False,88
"Amyotrophic Lateral Sclerosis, Sporadic",OC_nocite_10__composite_min2,12.09657066513113,OC,10,2,NOCITE,Literature,False,89
Anaplastic astrocytoma,OC_nocite_10__composite_min2,79.32660956643429,OC,10,2,NOCITE,Literature,False,90
Anaplastic thyroid carcinoma,OC_nocite_10__composite_min2,56.93561621861285,OC,10,2,NOCITE,Literature,False,91
Anastomosis,OC_nocite_10__composite_min2,45.04439197489452,OC,10,2,NOCITE,Literature,False,92
Androgen-Insensitivity Syndrome,OC_nocite_10__composite_min2,109.31572494315164,OC,10,2,NOCITE,Literature,False,93
"Anemia, Diamond-Blackfan",OC_nocite_10__composite_min2,9.24286594889838,OC,10,2,NOCITE,Literature,False,94
"Anemia, Hemolytic",OC_nocite_10__composite_min2,26.826955421133448,OC,10,2,NOCITE,Literature,False,95
"Anemia, Sickle Cell",OC_nocite_10__composite_min2,178.63748453358633,OC,10,2,NOCITE,Literature,False,96
"Anemia, severe",OC_nocite_10__composite_min2,41.89966122414929,OC,10,2,NOCITE,Literature,False,97
Angelman Syndrome,OC_nocite_10__composite_min2,12.001790814717673,OC,10,2,NOCITE,Literature,False,98
Angioimmunoblastic Lymphadenopathy,OC_nocite_10__composite_min2,53.6257985083472,OC,10,2,NOCITE,Literature,False,99
Anhedonia,OC_nocite_10__composite_min2,23.362817856507583,OC,10,2,NOCITE,Literature,False,100
Anorexia Nervosa,OC_nocite_10__composite_min2,79.14604445156787,OC,10,2,NOCITE,Literature,False,101
Anthrax disease,OC_nocite_10__composite_min2,8.191450361300857,OC,10,2,NOCITE,Literature,False,102
Aortic Aneurysm,OC_nocite_10__composite_min2,135.06971356836635,OC,10,2,NOCITE,Literature,False,103
Aortic Valve Insufficiency,OC_nocite_10__composite_min2,86.35813972452368,OC,10,2,NOCITE,Literature,False,104
Aortic Valve Stenosis,OC_nocite_10__composite_min2,75.16159928124897,OC,10,2,NOCITE,Literature,False,105
Aortic aneurysm without mention of rupture NOS,OC_nocite_10__composite_min2,48.48107809831398,OC,10,2,NOCITE,Literature,False,106
Aplasia Cutis Congenita,OC_nocite_10__composite_min2,56.70258558869649,OC,10,2,NOCITE,Literature,False,107
Aplastic Anemia,OC_nocite_10__composite_min2,228.6685170239172,OC,10,2,NOCITE,Literature,False,108
"Arthritis, Psoriatic",OC_nocite_10__composite_min2,160.16917913681664,OC,10,2,NOCITE,Literature,False,109
Arthrogryposis,OC_nocite_10__composite_min2,23.11048866932341,OC,10,2,NOCITE,Literature,False,110
Asthenozoospermia,OC_nocite_10__composite_min2,14.65444328504744,OC,10,2,NOCITE,Literature,False,111
Ataxia Telangiectasia,OC_nocite_10__composite_min2,62.64082547012997,OC,10,2,NOCITE,Literature,False,112
"Ataxia, Spinocerebellar",OC_nocite_10__composite_min2,26.92495796270437,OC,10,2,NOCITE,Literature,False,113
Atherosclerotic lesion,OC_nocite_10__composite_min2,115.33189603853911,OC,10,2,NOCITE,Literature,False,114
Atherothrombosis,OC_nocite_10__composite_min2,214.31378263071664,OC,10,2,NOCITE,Literature,False,115
Atrial Premature Complexes,OC_nocite_10__composite_min2,28.277998501622715,OC,10,2,NOCITE,Literature,False,116
Atypical Teratoid Rhabdoid Tumor,OC_nocite_10__composite_min2,7.93526435414234,OC,10,2,NOCITE,Literature,False,117
Autoimmune arthritis,OC_nocite_10__composite_min2,52.60626366276404,OC,10,2,NOCITE,Literature,False,118
Autoinflammatory disease,OC_nocite_10__composite_min2,52.44519191802634,OC,10,2,NOCITE,Literature,False,119
Autosomal dominant retinitis pigmentosa,OC_nocite_10__composite_min2,35.65418829352831,OC,10,2,NOCITE,Literature,False,120
Avellino corneal dystrophy,OC_nocite_10__composite_min2,40.10915074726096,OC,10,2,NOCITE,Literature,False,121
Axonal neuropathy,OC_nocite_10__composite_min2,26.567260456587764,OC,10,2,NOCITE,Literature,False,122
Azoospermia,OC_nocite_10__composite_min2,33.719301270669405,OC,10,2,NOCITE,Literature,False,123
"B-CELL MALIGNANCY, LOW-GRADE",OC_nocite_10__composite_min2,209.17422492542696,OC,10,2,NOCITE,Literature,False,124
Bacteremia,OC_nocite_10__composite_min2,131.68889370818655,OC,10,2,NOCITE,Literature,False,125
Barrett Esophagus,OC_nocite_10__composite_min2,134.92281562731054,OC,10,2,NOCITE,Literature,False,126
Basal-Like Breast Carcinoma,OC_nocite_10__composite_min2,109.9968075770508,OC,10,2,NOCITE,Literature,False,127
Basophilic leukemia,OC_nocite_10__composite_min2,3.366238524880296,OC,10,2,NOCITE,Literature,False,128
Beckwith-Wiedemann Syndrome,OC_nocite_10__composite_min2,29.67684856735348,OC,10,2,NOCITE,Literature,False,129
Behcet Syndrome,OC_nocite_10__composite_min2,346.6078584017884,OC,10,2,NOCITE,Literature,False,130
Benign melanocytic nevus,OC_nocite_10__composite_min2,24.67664213117846,OC,10,2,NOCITE,Literature,False,131
Bernard-Soulier Syndrome,OC_nocite_10__composite_min2,129.38316738463186,OC,10,2,NOCITE,Literature,False,132
Bicuspid aortic valve,OC_nocite_10__composite_min2,32.660748183424815,OC,10,2,NOCITE,Literature,False,133
Bilateral cataracts (disorder),OC_nocite_10__composite_min2,54.400683847397545,OC,10,2,NOCITE,Literature,False,134
Biliary Atresia,OC_nocite_10__composite_min2,156.746955166019,OC,10,2,NOCITE,Literature,False,135
Biliary Tract Cancer,OC_nocite_10__composite_min2,58.75838264953272,OC,10,2,NOCITE,Literature,False,136
Blast Phase,OC_nocite_10__composite_min2,50.49698253222796,OC,10,2,NOCITE,Literature,False,137
Blastic plasmacytoid dendritic cell neoplasm,OC_nocite_10__composite_min2,9.649283139809938,OC,10,2,NOCITE,Literature,False,138
Blepharoptosis,OC_nocite_10__composite_min2,3.3750208107771558,OC,10,2,NOCITE,Literature,False,139
Blood spots,OC_nocite_10__composite_min2,27.26995263800337,OC,10,2,NOCITE,Literature,False,140
Bloom Syndrome,OC_nocite_10__composite_min2,45.18371972245836,OC,10,2,NOCITE,Literature,False,141
Borderline Personality Disorder,OC_nocite_10__composite_min2,65.50420635172912,OC,10,2,NOCITE,Literature,False,142
Brain Ischemia,OC_nocite_10__composite_min2,66.27553298617512,OC,10,2,NOCITE,Literature,False,143
"Brain Tumor, Primary",OC_nocite_10__composite_min2,26.62643926588668,OC,10,2,NOCITE,Literature,False,144
"Breast Cancer, Familial",OC_nocite_10__composite_min2,61.315731277297054,OC,10,2,NOCITE,Literature,False,145
Breast adenocarcinoma,OC_nocite_10__composite_min2,35.65209417179106,OC,10,2,NOCITE,Literature,False,146
Bronchioloalveolar Adenocarcinoma,OC_nocite_10__composite_min2,37.971631530719975,OC,10,2,NOCITE,Literature,False,147
Bronchopulmonary Dysplasia,OC_nocite_10__composite_min2,114.92127020788176,OC,10,2,NOCITE,Literature,False,148
Brucellosis,OC_nocite_10__composite_min2,57.15283046157866,OC,10,2,NOCITE,Literature,False,149
Brugada Syndrome (disorder),OC_nocite_10__composite_min2,44.035688011397774,OC,10,2,NOCITE,Literature,False,150
"Bulbo-Spinal Atrophy, X-Linked",OC_nocite_10__composite_min2,8.19077131737391,OC,10,2,NOCITE,Literature,False,151
Bullous pemphigoid,OC_nocite_10__composite_min2,124.07012067540607,OC,10,2,NOCITE,Literature,False,152
CHARGE Syndrome,OC_nocite_10__composite_min2,30.977294464431896,OC,10,2,NOCITE,Literature,False,153
Cancer cachexia,OC_nocite_10__composite_min2,56.9060090197174,OC,10,2,NOCITE,Literature,False,154
Cancer of Nasopharynx,OC_nocite_10__composite_min2,21.196192292037225,OC,10,2,NOCITE,Literature,False,155
Cannabis use,OC_nocite_10__composite_min2,60.39660133872924,OC,10,2,NOCITE,Literature,False,156
Carcinoma of larynx,OC_nocite_10__composite_min2,84.28331072400822,OC,10,2,NOCITE,Literature,False,157
"Carcinoma of urinary bladder, invasive",OC_nocite_10__composite_min2,73.53347486561943,OC,10,2,NOCITE,Literature,False,158
"Carcinoma, Endometrioid",OC_nocite_10__composite_min2,39.25221234955351,OC,10,2,NOCITE,Literature,False,159
"Carcinoma, Lewis Lung",OC_nocite_10__composite_min2,57.532969527907326,OC,10,2,NOCITE,Literature,False,160
"Carcinoma, Papillary",OC_nocite_10__composite_min2,59.94106390982527,OC,10,2,NOCITE,Literature,False,161
"Carcinoma, Small Cell",OC_nocite_10__composite_min2,70.63340391577655,OC,10,2,NOCITE,Literature,False,162
"Carcinoma, Spindle-Cell",OC_nocite_10__composite_min2,9.10336301367212,OC,10,2,NOCITE,Literature,False,163
Carcinosarcoma,OC_nocite_10__composite_min2,16.3488423926142,OC,10,2,NOCITE,Literature,False,164
Cardiac Arrest,OC_nocite_10__composite_min2,70.27156221788913,OC,10,2,NOCITE,Literature,False,165
Cardiac fibrosis,OC_nocite_10__composite_min2,116.2166358597496,OC,10,2,NOCITE,Literature,False,166
Carotid Atherosclerosis,OC_nocite_10__composite_min2,125.1465278294271,OC,10,2,NOCITE,Literature,False,167
Carotid Stenosis,OC_nocite_10__composite_min2,42.74751474429576,OC,10,2,NOCITE,Literature,False,168
Cataract,OC_nocite_10__composite_min2,85.0696842018652,OC,10,2,NOCITE,Literature,False,169
Cavernous Hemangioma of Brain,OC_nocite_10__composite_min2,54.15437945754892,OC,10,2,NOCITE,Literature,False,170
Celiac Disease,OC_nocite_10__composite_min2,231.15436688192287,OC,10,2,NOCITE,Literature,False,171
Central Serous Chorioretinopathy,OC_nocite_10__composite_min2,55.4983178584367,OC,10,2,NOCITE,Literature,False,172
Cerebellar Hypoplasia,OC_nocite_10__composite_min2,11.532787838209504,OC,10,2,NOCITE,Literature,False,173
Cerebellar atrophy,OC_nocite_10__composite_min2,7.355982172514098,OC,10,2,NOCITE,Literature,False,174
Cerebellar degeneration,OC_nocite_10__composite_min2,5.031423716766597,OC,10,2,NOCITE,Literature,False,175
Cerebral Palsy,OC_nocite_10__composite_min2,32.389544465604374,OC,10,2,NOCITE,Literature,False,176
Cerebral atrophy,OC_nocite_10__composite_min2,32.15868686595113,OC,10,2,NOCITE,Literature,False,177
Cervical Intraepithelial Neoplasia,OC_nocite_10__composite_min2,65.8068654319552,OC,10,2,NOCITE,Literature,False,178
Cervical Squamous Cell Carcinoma,OC_nocite_10__composite_min2,92.43091444086052,OC,10,2,NOCITE,Literature,False,179
Chagas Disease,OC_nocite_10__composite_min2,55.44267336458581,OC,10,2,NOCITE,Literature,False,180
Charcot-Marie-Tooth Disease,OC_nocite_10__composite_min2,14.1431073354899,OC,10,2,NOCITE,Literature,False,181
Chikungunya Fever,OC_nocite_10__composite_min2,71.53891119564581,OC,10,2,NOCITE,Literature,False,182
Childhood Acute Monocytic Leukemia,OC_nocite_10__composite_min2,30.166970150222756,OC,10,2,NOCITE,Literature,False,183
Childhood Acute Myeloid Leukemia,OC_nocite_10__composite_min2,42.238941303325305,OC,10,2,NOCITE,Literature,False,184
Childhood Anaplastic Large Cell Lymphoma,OC_nocite_10__composite_min2,54.85247070706046,OC,10,2,NOCITE,Literature,False,185
Childhood Angiosarcoma,OC_nocite_10__composite_min2,19.78626886739904,OC,10,2,NOCITE,Literature,False,186
Childhood B Acute Lymphoblastic Leukemia,OC_nocite_10__composite_min2,17.0397264825154,OC,10,2,NOCITE,Literature,False,187
Childhood Burkitt Lymphoma,OC_nocite_10__composite_min2,152.65659169152806,OC,10,2,NOCITE,Literature,False,188
Childhood Ependymoma,OC_nocite_10__composite_min2,49.31113595740106,OC,10,2,NOCITE,Literature,False,189
Childhood Hepatocellular Carcinoma,OC_nocite_10__composite_min2,36.31197677987258,OC,10,2,NOCITE,Literature,False,190
Childhood Hodgkin Lymphoma,OC_nocite_10__composite_min2,180.3628322320465,OC,10,2,NOCITE,Literature,False,191
Childhood Kidney Wilms Tumor,OC_nocite_10__composite_min2,76.65192250820294,OC,10,2,NOCITE,Literature,False,192
Childhood Leiomyosarcoma,OC_nocite_10__composite_min2,37.07817522145389,OC,10,2,NOCITE,Literature,False,193
Childhood Liposarcoma,OC_nocite_10__composite_min2,38.112987026727886,OC,10,2,NOCITE,Literature,False,194
Childhood Lymphoblastic Lymphoma,OC_nocite_10__composite_min2,36.99373067904174,OC,10,2,NOCITE,Literature,False,195
Childhood Malignant Peripheral Nerve Sheath Tumor,OC_nocite_10__composite_min2,31.20661341122328,OC,10,2,NOCITE,Literature,False,196
Childhood Myelodysplastic Syndrome,OC_nocite_10__composite_min2,46.17111056957312,OC,10,2,NOCITE,Literature,False,197
Childhood Non-Hodgkin Lymphoma,OC_nocite_10__composite_min2,99.8311435995734,OC,10,2,NOCITE,Literature,False,198
Childhood Oligodendroglioma,OC_nocite_10__composite_min2,21.83071408201157,OC,10,2,NOCITE,Literature,False,199
Childhood Pilocytic Astrocytoma,OC_nocite_10__composite_min2,61.69480311895428,OC,10,2,NOCITE,Literature,False,200
Childhood Pleomorphic Xanthoastrocytoma,OC_nocite_10__composite_min2,19.182210920310187,OC,10,2,NOCITE,Literature,False,201
Childhood Soft Tissue Sarcoma,OC_nocite_10__composite_min2,112.3545373268338,OC,10,2,NOCITE,Literature,False,202
Childhood Synovial Sarcoma,OC_nocite_10__composite_min2,84.25804715984593,OC,10,2,NOCITE,Literature,False,203
Childhood T Acute Lymphoblastic Leukemia,OC_nocite_10__composite_min2,40.96576524880181,OC,10,2,NOCITE,Literature,False,204
Childhood Undifferentiated Pleomorphic Sarcoma,OC_nocite_10__composite_min2,12.083374146354569,OC,10,2,NOCITE,Literature,False,205
Childhood asthma,OC_nocite_10__composite_min2,81.89245147377423,OC,10,2,NOCITE,Literature,False,206
Cholera,OC_nocite_10__composite_min2,30.5799291098734,OC,10,2,NOCITE,Literature,False,207
Cholestasis,OC_nocite_10__composite_min2,99.01606172099152,OC,10,2,NOCITE,Literature,False,208
Cholesteatoma,OC_nocite_10__composite_min2,135.29649616275307,OC,10,2,NOCITE,Literature,False,209
Chondrosarcoma,OC_nocite_10__composite_min2,166.23255001267452,OC,10,2,NOCITE,Literature,False,210
Chordoma,OC_nocite_10__composite_min2,62.33159079897996,OC,10,2,NOCITE,Literature,False,211
Choriocarcinoma,OC_nocite_10__composite_min2,110.18577620372604,OC,10,2,NOCITE,Literature,False,212
Chronic active hepatitis,OC_nocite_10__composite_min2,50.34972766426469,OC,10,2,NOCITE,Literature,False,213
Chronic graft-versus-host disease,OC_nocite_10__composite_min2,223.121520693971,OC,10,2,NOCITE,Literature,False,214
Chronic heart failure,OC_nocite_10__composite_min2,103.13831294906318,OC,10,2,NOCITE,Literature,False,215
Chronic myeloproliferative disorder,OC_nocite_10__composite_min2,122.9597396752609,OC,10,2,NOCITE,Literature,False,216
Chronic progressive external ophthalmoplegia,OC_nocite_10__composite_min2,3.6885275749155446,OC,10,2,NOCITE,Literature,False,217
Chronic schizophrenia,OC_nocite_10__composite_min2,27.694996001878547,OC,10,2,NOCITE,Literature,False,218
"Cicatrix, Hypertrophic",OC_nocite_10__composite_min2,130.01073131010563,OC,10,2,NOCITE,Literature,False,219
Classical Hodgkin's Lymphoma,OC_nocite_10__composite_min2,113.80037025333336,OC,10,2,NOCITE,Literature,False,220
Clear Cell Sarcoma of Soft Tissue,OC_nocite_10__composite_min2,16.12668010362778,OC,10,2,NOCITE,Literature,False,221
Clear-cell metastatic renal cell carcinoma,OC_nocite_10__composite_min2,52.28639088559491,OC,10,2,NOCITE,Literature,False,222
Cleft Lip with or without Cleft Palate,OC_nocite_10__composite_min2,53.17787215846506,OC,10,2,NOCITE,Literature,False,223
Cleft Palate,OC_nocite_10__composite_min2,50.35137348522708,OC,10,2,NOCITE,Literature,False,224
Cleft palate with cleft lip,OC_nocite_10__composite_min2,37.54307748117821,OC,10,2,NOCITE,Literature,False,225
"Cleft palate, isolated",OC_nocite_10__composite_min2,76.72164230331532,OC,10,2,NOCITE,Literature,False,226
Cleft upper lip,OC_nocite_10__composite_min2,32.79979865026366,OC,10,2,NOCITE,Literature,False,227
Clostridium; difficile (disorder),OC_nocite_10__composite_min2,9.166718875342696,OC,10,2,NOCITE,Literature,False,228
Cockayne Syndrome,OC_nocite_10__composite_min2,16.150362674709008,OC,10,2,NOCITE,Literature,False,229
"Cockayne Syndrome, Type II",OC_nocite_10__composite_min2,4.464948261550575,OC,10,2,NOCITE,Literature,False,230
Coffin-Siris syndrome,OC_nocite_10__composite_min2,21.674142847566134,OC,10,2,NOCITE,Literature,False,231
Color blindness,OC_nocite_10__composite_min2,8.78668555006506,OC,10,2,NOCITE,Literature,False,232
Combined immunodeficiency,OC_nocite_10__composite_min2,53.18062194912033,OC,10,2,NOCITE,Literature,False,233
Common Variable Immunodeficiency,OC_nocite_10__composite_min2,233.86455029506772,OC,10,2,NOCITE,Literature,False,234
Complete atrioventricular block,OC_nocite_10__composite_min2,241.81471377434733,OC,10,2,NOCITE,Literature,False,235
Complicated malaria,OC_nocite_10__composite_min2,200.6457686771194,OC,10,2,NOCITE,Literature,False,236
Cone-Rod Dystrophy 2,OC_nocite_10__composite_min2,51.10090488490327,OC,10,2,NOCITE,Literature,False,237
Congenital atresia of extrahepatic bile duct,OC_nocite_10__composite_min2,137.87066675764729,OC,10,2,NOCITE,Literature,False,238
Congenital cataract,OC_nocite_10__composite_min2,146.8755281257801,OC,10,2,NOCITE,Literature,False,239
